Maximum,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,It's Alright,3mcfbqknVPorkYkChxbvk3,Marc Vedo,5o6l0TdcG1YWhuhJpjXVVh,It's Alright,5wu5K6NY9vtKHEb4kQ4YSS,41,https://p.scdn.co/mp3-preview/f4fc35a9b42c930f1558446adcf0422bb372099c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Be Good To Me (feat. Lindy Layton),45AcZcCFwIZM6cMVtIEFqJ,Cloonee,7MdlXmq2HViAJWo9cf30sR,Be Good To Me (feat. Lindy Layton),4hLu1CdeKhtJSSshfFgLfX,54,https://p.scdn.co/mp3-preview/5e538cd7e1d3dd2462e905e2a18efe78f085b5d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Tight,1CnMonW2jPjo4OvGEw6esf,Kaskade,6TQj5BFPooTa08A7pk8AQ1,Tight,7hWPpbNPacEwcNFzjkgBE0,52,https://p.scdn.co/mp3-preview/d89f98ab622e778f76bb78053a3c2b2ac780f39f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Losing It,05LvE6ySn6hEcHdAJ7N19z,FISHER,1VJ0briNOlXRtJUAzoUJdt,Losing It,0q8ZO3GNm7PKdBtAxa4kI7,17,not available
25,Inside The Groove - 2019 Edit,7MYo1KxHpYOfpO48E4ORq2,Botnek,56coS2IZSVdhIlHyzR75mK,World Famous Miami 2019,79ykVuA62ptwlLqRXjQH0e,47,https://p.scdn.co/mp3-preview/3a6588ff3e65e0a7c36348dd82a11a531bee1051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Big Love - David Penn Remix,0eQ1j5MBA9Ja7zvtB9uggC,Pete Heller's Big Love,1KIT43QU793ZmRpuuQYrpy,Big Love (David Penn Remix),0EZHyVKxNr8mzKISGcd5Hr,60,https://p.scdn.co/mp3-preview/21a5951e9bfbe29b05696cb2a7cf0d57acb6f064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Loco Papi,382fuVEZi9acM1bYGp2Zbx,Sevenn,7bNqXqIrIfwJnipx7oGeU4,Loco Papi,284WBRr2OFtzI8qWV593Kt,39,https://p.scdn.co/mp3-preview/56482a3e527982bf7f7833b4997db6164d16a991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Later Bitches,53dnBokesLEOGKW8k8qQsd,The Prince Karma,6ew7qRw24oov125Oly8pFD,Later Bitches,4nfjXOzG26WDe7bXZk9UZr,61,https://p.scdn.co/mp3-preview/e17a1e81e22a5c1b69840f1451af9f8d5531b493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Thing For You - David Guetta Remix,0LtKw37CYqXqsRF9pyDGGx,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (David Guetta Remix),6gx82bA4SOtNQsuPzaEUeU,61,https://p.scdn.co/mp3-preview/69e2800cad3476a44a9cf2fe3c15147e6989b682?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,All Over The World,0XS2z0E0ox7F4JHYKKR4wK,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,All Over The World,1RRCrllIhLM6hfW366vsvP,65,https://p.scdn.co/mp3-preview/a6ff39b0e186f715e8fe829923717d6b6375dfdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
