Radio 1 Rocks (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,The Spaniards,3D1ij5diZrgaILfI1WpDdz,Billy Corgan,12B5JK11NOP7OQ9Fxjrpx2,The Spaniards,6IS2zCI3rX0kK1E9unkuTA,13,https://p.scdn.co/mp3-preview/3c5de073e0b381ffa7db8deaa79d0eaabcc98c03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Future Heroine,0aR6ct7Q3PO8eRzM8UYFyi,Ecca Vandal,0NhKCHTPG7Sz62S3zxV1Cf,Future Heroine,0WT8lFdjt6u1f1wCohCeay,0,not available
25,One More Light,3xXBsjrbG1xQIm1xv1cKOt,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,One More Light,5Eevxp2BCbWq25ZdiXRwYd,75,https://p.scdn.co/mp3-preview/7ea4eef2ed25e30cd90bbef3dc5ef3503ac1afeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,WE KNOW WHERE YOU FUCKING LIVE,29cq73YyctBzMjLZsAoKdb,Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj,WE KNOW WHERE YOU FUCKING LIVE,4nlr1kU83J9gDDfuCC6Doy,0,not available
27,Doomsday,4hLvUbH5dkCByoNFsM02Js,Architects,3ZztVuWxHzNpl0THurTFCv,Doomsday,5xD9RF7OL25i2xOaCnzuf7,46,https://p.scdn.co/mp3-preview/df2aea06dcfc9b9a3ebc5c7d73addc1d136bf28e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Hangman,6kS0hxC8CEWwqIOEoxqhRF,Selfish Things,4iQ7b56FZ0A06oJ0rt0paz,Hangman,0FojD5h6Qxkt6EiupseycA,0,not available
29,Play,34ywfaV8ZajQp0HhWYWsH2,Marmozets,3KEhhixoMshqSEJ71rS7w1,Play,0xZVsdqs36bY3Y17l5cVqb,37,https://p.scdn.co/mp3-preview/d8e6d22a3bf910f5c1a0c2208269ebaceec002c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,In Bloom,4D5MyN6zGPY2yLbAdjD2Vj,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,In Bloom,2LzlQWlnmAp5AgYpaKoB5C,38,https://p.scdn.co/mp3-preview/b9cad39e5e0421af43eb9c31190b064ab094e660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Vex,0585v2nifoMVdn2yszBVUh,Chelsea Wolfe,6ZK2nrW8aCTg8Bid7I7N10,Vex,3uMm1gymje91suJdac67SX,20,https://p.scdn.co/mp3-preview/33a0a32cb55e35967e65ed9b10d61462c73909d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Prism,1p7JDADyWQfXgjoufwSc1w,Milk Teeth,3i7Iv2QAdoCduoIZbWYCyY,Prism,2JWZLtYcde9aGZlI1pCyCi,12,https://p.scdn.co/mp3-preview/7289d3242a9a06967f211d23a19c39a6cfc63c4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Moth,15UrtUiEY4VLMjniF2BSzK,Manchester Orchestra,5wFXmYsg3KFJ8BDsQudJ4f,The Moth,54z9uRPSeUOczm1kS1TZ6z,0,not available
34,Feels Like Falling in Love,7JFFMRhoNa0UCYeasEh4YF,The XCERTS,7sKlSlGo7d1D3dhFYKO0Y5,Feels Like Falling in Love,1tlQlNVeKA5kmv50umlgEr,33,https://p.scdn.co/mp3-preview/66a597a103298ba7b0ca581494e347147114a9a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
