Essential Choices (BBC Radio 3),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
73,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": IV. W.M.B. (William Meath Baker). Allegro di molto",3I3mRIiWpKUZVmAa0yNV2w,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,2,https://p.scdn.co/mp3-preview/b32d4b3fbccc6f5fc1d498bd55f1686fe0975469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": V. R.P.A. (Richard Penrose Arnold). Moderato",5ccubBKhHIamVn5ppTuVDn,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,25,https://p.scdn.co/mp3-preview/dfef4857598283940f5f5272b284445bc036c30e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": VI. Ysobel (Isabel Fitton). Andantino",0nzSAyd1XKIMfVlcKa6X4m,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,24,https://p.scdn.co/mp3-preview/dd8350aa4627a612fa268539d58a0559c0f9dad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": VII. Troyte (Troyte Griffith). Presto",3FZcfQRVrPw7Z6Q3qo9dLN,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,24,https://p.scdn.co/mp3-preview/4d09c73bc9835d9b765bbe38533c7d9e8914462b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": VIII. W.N. (Winifred Norbury). Allegretto",4IZZuST1g8kxpRlUDi71z3,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,24,https://p.scdn.co/mp3-preview/b88b76808e90b0fb8cd8d04786f0277da0935865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,"Elgar: Variations on an Original Theme, Op. 36, Enigma: IX. Nimrod (Adagio)",23ryVoyGTrfO3F0GblIfnz,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,57,https://p.scdn.co/mp3-preview/18c0f107e5c96dc785c603566418f108ce484e64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": X. Dorabella (Dora Penny). Allegretto (Intermezzo)",5dcf9G8oGa1NlZOfqCRgDe,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,24,https://p.scdn.co/mp3-preview/747f5e9233fb6f898af6c62298418e5c542f44c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": XI. G.R.S. (George Robertson Sinclair). Allegro di molto",2wZM9gu4jW2S34Ng9phBpF,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,23,https://p.scdn.co/mp3-preview/4accf4c962d4eb0973cc340217f303d3c35771ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": XII. B.G.N. (Basil G. Nevinson). Andante",2g90Sqe3eDZ1qPH5wHAWd9,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,24,https://p.scdn.co/mp3-preview/699068d68bbd19e8056420b078c537f0639a1b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": XIII. *** (Lady Mary Lygon). Moderato (Romanza)",2tMpXdwYhPGarmZziEIkLv,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,23,https://p.scdn.co/mp3-preview/83fe65559cd01a720019e1cc451f42b3490d6789?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": XIV. E.D.U. (The Composer). Allegro presto (Finale)",38CWqyJmDgXpa3XTq5ed12,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,23,https://p.scdn.co/mp3-preview/f91c6edc92be00f729b9daf3c67dfcff07d0e959?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Introduction : Mäßiges Zeitmaß",5kxUiv6hAKmQEQthscLgV6,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
85,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Thema: Mäßig - Don Quixote. The Knight of the Mournful Countenance",24gEjWLrkDELa2zcVNxxoa,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
86,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation I: Gemächlich - Departure. The adventure of the windmills",0S9ENFQ9zB4M4aU0TlaCWq,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
87,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation II: Kriegerisch - The battle with the sheep",5P8tmIJYmS0af59X1F7rn6,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
88,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation III: Mäßiges Zeitmaß - Sancho's wishes, peculiarities of speech and maxims",0qAI9nlsZ1PbMlZrqlZrHh,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
89,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation IV: Etwas breiter - The adventure with the procession of penitents",57tE2J7c38L5B5Z0fp02kj,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
90,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation V: Sehr langsam - Don Quixote's vigil during the summer night",6S3YvGcppADrMG07MZdxrJ,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
91,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation VI: Schnell - Dulcinea",6Nb5MRgwYRLnBo0Q0ju9dn,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
92,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation VII: Ein wenig ruhiger als vorher - Don Quixote's ride through the air",21yfDWlVqpFQ2Nj34lTEjr,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
93,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation VIII: Gamächlich - The trip on the enchanted boat",2pXMDJ6ZQyW05zYJjtLBdZ,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
94,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation IX: Schnell und stürmisch - The attack on the medicant friars",3Cbr54eia1OjCDarl0PanB,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
95,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Variation X: Viel breiter - The duel and return home",2RaXdgGOHEnYNl9yr6GtsY,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
96,"Don Quixote - fantastic variations for cello, viola & orchestra Op.35 (1998 Digital Remaster): Epilogue: Sehr ruhig - Don Quixote's mind clears. Death of Don Quixote",6V2m8dZPWJ8P0ZPWBTM3OS,Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,R. Strauss: Don Quixote/Schumann: Cello Concerto in A minor,2kFSOpbvBYWsSOlpLk68S6,0,not available
97,"Harold en Italie, Op. 16: I. Harold Aux Montagnes. Scenes de melancolie, de bonheur et de joie",6Ka35CKg2kiKBOoAKRqgcU,Hector Berlioz,11T8SOX82xraocZzUXzkvM,Berlioz: Harold en Italie,1iVN9tOAJW0lEUvXkVMW34,0,not available
98,"Harold en Italie, Op. 16: II. Marche des pélerins chantant la priere du soir",36v9Sj0cuEyHLCdCFkFh4r,Hector Berlioz,11T8SOX82xraocZzUXzkvM,Berlioz: Harold en Italie,1iVN9tOAJW0lEUvXkVMW34,0,not available
99,"Harold en Italie, Op. 16: III. Sérénade d'un montagnard des abruzzes a sa maitresse",6rI3g9heSEekPuJOHNqdIl,Hector Berlioz,11T8SOX82xraocZzUXzkvM,Berlioz: Harold en Italie,1iVN9tOAJW0lEUvXkVMW34,0,not available
100,"Harold en Italie, Op. 16: IV. Orgie de brigands. Souvenirs des scenes precedentes",4HPBUKUaAqMeVIuGZzFmpU,Hector Berlioz,11T8SOX82xraocZzUXzkvM,Berlioz: Harold en Italie,1iVN9tOAJW0lEUvXkVMW34,0,not available
