Record Store Day 2017 (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,307,bbc_playlister
1,Crawfish,7L03i9G5jFMUpMHuOmVcLI,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,King Creole,7hdMmwpZmRf8efyh7G2pOl,38,https://p.scdn.co/mp3-preview/b4db790a0420ba6f490a70f2d4492c8acb58b3f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Atheist's Burden,71Nn07ISp7fBr2nxvhV55p,Disco Inferno,1YCFvBoIeRSc0HMU7fhUZA,The 5 EPs,3oK5i4PMocPI7yRnKL0w3L,1,not available
3,I'm Waiting For The Man,6dkHUE0h7urXcIZwBNcz24,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground & Nico 45th Anniversary,6MqUvJry4Z87cCWebJmzcu,1,not available
4,Human Fly,0ElRzK07sc9eszyk1ea9Ab,The Cramps,4lYtGx5NZQJHsMyhHc5iz3,Off The Bone,1n1znRLH7iRtkhjbrCs0wi,55,not available
5,(White Man) in Hammersmith Palais,45xBWOa6oEAk1WlVyr5QAB,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Hits Back,3Zkggi5I9uH5x94DuN6u1S,48,https://p.scdn.co/mp3-preview/36bc039df688f30f563a01fc7f95fdb560368ed2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,When You Were Mine,6Kbkge4WbvwWv1jVzSQsr8,Prince,5a2EaR3hamoenG9rDuVn8j,Dirty Mind,3Cijd5OjHeWBm97DsPHpgs,48,https://p.scdn.co/mp3-preview/955d9c30f69c0be7737ba65f44cf26e6e58c4ca5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,My Rival,2o5fdPvMjEno6NcZOKWBAK,Alex Chilton,7CW5MYWUsyUYiHbiTmVZHe,Like Flies On Sherbert,1ScW6aaiOwPcsbILm7TdcS,11,https://p.scdn.co/mp3-preview/74fe776fea2d9de3e1bd794bf0042addb268ec3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Life's Too Short,4QFcD5wZnHSmnHzJQ2fLcm,The Lafayettes,66JemjUumKkqBJicPaueVW,"The Anthology Of American Rock 'n' Roll, Vol. 3",3dbSsq9yDwQuGM9Q3HE7Vz,7,https://p.scdn.co/mp3-preview/dd8a735966ad0450bc67fb2b6a606e8c7c9dbbb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hail MI Idren,1OBbNLCmWreLIxRAsNlSUK,Ini Kamoze,1VJspRsoC6c0bvqhnSiFCs,Ini Kamoze,0RRP4qIFXHxmaMyMLzP86U,25,https://p.scdn.co/mp3-preview/1974e64bb4a7c0802096f853473143b4360bc076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,War & Friction,7v7fUA5h5ZOlavAR60TG1R,I-Roy,3sILhd3JYkhVDMy7CVhpZ7,I-Roy Anthology,7hIVj1OcAWSjvVUFaAYRk9,3,https://p.scdn.co/mp3-preview/cbc5b9afa722bf2e4f4706b95387f151bed439e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Door Peep,0ofjrzcWu1bUIjVirmW4ck,Burning Spear,6qaKS0nzGP4hfjl4aFZmEU,True Reggae,79xjnRFLaRf2VWHU5ys44Z,0,not available
12,Shy 'Dub' Man,5v4EbQ1tO5N9hKiBYaVBFs,Kiko Bun,7yMruV2Y0a7ib9RLj9mLQQ,Come Again,0kQAfBYg5X3qunaHqToOa5,0,not available
13,Shotta,6ZtErvdut7ZF079iWUW47I,No-Maddz,3VihEo5NBvn5McOUHwzuIl,Shotta-Single,4UDLSAGwRGv5IqHHbWlY8f,19,https://p.scdn.co/mp3-preview/7faff1f09fa89e0afdf16e171cee87af7fb9db75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I See You,3DpuyrkIQqGKoUmU33HYNJ,MIlton Henry,2rIipBQdOezkyBRs0I10XE,I See You,3xiK8LveP9hVZXF93GtRKp,3,https://p.scdn.co/mp3-preview/20e52bef5cb6fe7b1545b333990eb18cacf8dcef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Marquee Moon,7Me0vOSlJfaPY7Pc4GeItd,Television,0S7Zur2g8YhqlzqtlYStli,Marquee Moon,630o1rKTDsLeIPreOY1jqP,60,https://p.scdn.co/mp3-preview/ea17e9c75d096b1c44fecdf843b49bca479cbe9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Rest,3U8LOm8aYVyynAXdetQkPw,SACRED PAWS,0loUVauivVQPRdqkbd250b,Everyday,4DOBxHHHseG276czSHAxUB,8,https://p.scdn.co/mp3-preview/948785e73d97b90f93169def0c7cfbe6f1fd264e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Indian Lady,4zxAfUK07Ls7DJdNe5jJAl,The Don Ellis Orchestra,1VMMiJVqEH7zOhxndftm4V,Electric Bath,1AUQYgnYlRaNMVKrU3NIgW,12,https://p.scdn.co/mp3-preview/a2c41476585638d1628bb82b23d7a061ca20c585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Someone Great,2VGDntFPvgvqSiUf9ITEfW,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,Sound Of Silver,1R8kkopLT4IAxzMMkjic6X,61,https://p.scdn.co/mp3-preview/8cd01b585be5903f2a9b5740b59ecb3bd9333272?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,"Fare Thee Well, Miss Carousel",41U2BFC6LJhMHdtuIDJFsP,Townes Van Zandt,3ZWab2LEVkNKiBPIClTwof,Townes Van Zandt,3tJdK0ypb4TXjNxtWdnNaI,44,https://p.scdn.co/mp3-preview/ff3545a92aadfee8eccd609d90f0db9a2c780c75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Rise - Remastered 2011,2C752l9kMmEXOpLsgLlQc7,Public Image Ltd.,70MMkLXtue3Edj3RJhJkYp,The Greatest Hits... So Far,07qAsfLKZEKWtUsxhjHYe8,32,not available
21,Fade,1CJnWD3xbUiP3gEJwuVSsO,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,The Life Of Pablo,4xM1pUHZp9HsuKNxyOQDR0,5,not available
22,A Love Supreme Part II - Resolution,5ehWfTirh2HBUvGPi2reNQ,John Coltrane Quartet,67PZTxaHKMZBFRUh8wIzCy,A Love Supreme,5DXmUb5WnwvBeNJDgXx3sL,0,not available
23,Moments In Love,3NQ6b3KBgNpWkwEb2X4Owm,Art Of Noise,77zrvBORXcnTyysjjKRfBU,Moments In Love,4PJdf8pqVJH8ob4gvv5Vaq,36,https://p.scdn.co/mp3-preview/eea1a4b5ba90be7125c14e89c3db60d07f71e1cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Dancing Girl,14wptXR2xsGAbmbsNwQkQD,Terry Callier,5cHmjJA9Lo0ga8s8QdxEzs,What Color Is Love,61YKu9dRRskWOAT3ijKTr2,27,not available
25,1999,2H7PHVdQ3mXqEHXcvclTB0,Prince,5a2EaR3hamoenG9rDuVn8j,1999,3U1ht9EdWEI9nMvaqdQI67,69,https://p.scdn.co/mp3-preview/a9e29b17391150efb9a933faf491db7ea17f8274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Here Comes Your Man,0cs671lxX2eoDzr2KMuo3N,Pixies,6zvul52xwTWzilBZl6BUbT,Doolittle,6ymZBbRSmzAvoSGmwAFoxm,68,https://p.scdn.co/mp3-preview/189379bc8ea66d101c86f66244dfcd9b13cfbc8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Rebel Without A Pause,4iGZEhQn4iZmIptLphek60,Public Enemy,6Mo9PoU6svvhgEum7wh2Nd,It Takes A Nation Of Millions To Hold Us Back,3Y0Fer1NCitpAQnMAUaHSe,25,not available
28,Play The World,1zytnRbJAzI5xjMShTnOPG,Johnick,64Ga4k954wyRZLkxMD9LJs,Henry Street Music / The Story So Far 1993-1999,2pQZRUp86BKwBEyW8PwPVF,5,not available
29,Pulp Fiction,4bsF2ZJgmq2JiDfyIV3CaX,Alex Reece,74AkwPErO7y6jYZwR7ggJA,Pulp Fiction,7CrelOKM75tC3HaQ8a7dsV,43,https://p.scdn.co/mp3-preview/71cebbf232d2f63bc06fb0f0eae8b8e0aaff18f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Velocity Girl - Alt. Mix,0MjKOMvaI2TlbIYkgfwuhp,Primal Scream,3wury2nd8idV4GecUg5xze,Park Lane Archives,7rbSGx1JBT8pglptcILVNB,30,https://p.scdn.co/mp3-preview/f23594ab7de51846f95f13e1b21c7859d355edc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Never Understand,3tArKAiS8FGNpU9q3H2Iba,The Jesus and Mary Chain,4rjlerN21ygkIhmUv55irs,Psychocandy,2YUNV2XbvydCwHLTpBV5A0,20,https://p.scdn.co/mp3-preview/bfb85d10280fc7f0694edb8a863deadbf42b9c72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Rock & Roll - 2015 Remastered Full Length Version,1o6DclZHw0HomxXEQR1ijX,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,Loaded: Re-Loaded 45th Anniversary Edition,2ny1rPsLOoKNFZhMLubMrs,62,https://p.scdn.co/mp3-preview/1dd9e57ebc516be83ee96f980f6934ffce1f8c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,No Fun,7DDuClDoC1niziuParyepP,The Stooges,4BFMTELQyWJU1SwqcXMBm3,The Stooges [Deluxe Edition],5n9MNlvwkaVv6Q2ja52pE0,25,https://p.scdn.co/mp3-preview/c5cb52093a714a77779fe831788199ab0e4ef438?cid=fa83a2fec7c440b7a2795d600d6b2c7e
