Britpop at the BBC (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Female Of The Species,4oWmifC8SThccLseeRcKVj,Space,76vZk3TWaVcNiP7H7in9fu,Spiders,7q7XD0RZTDR9wLIi99Bq25,1,not available
26,The Greatest Show on Earth,1EBvhaNbBKE1pmtoH5cP6U,Strangelove,6arQFFRjYKcJzEsULbKnzD,Strangelove,6Mpfhn43NJ3y8X5NXc226X,10,https://p.scdn.co/mp3-preview/104c1e4561f8d73a4c3a58f99be4a51ec182e008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Animal Nitrate (Remastered),7FTmBYe7DHiOx1ZdaNzbZb,Suede,6PHIK3kjWggLtVygsOtpqS,Suede (Remastered),23dDYYL9z4gZjkR4cHrazY,38,https://p.scdn.co/mp3-preview/9f63c46759500f97ba0731b9f405da20b52efe41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Trash (Remastered),2FiaRFs6gjyHeMkeXifg4x,Suede,6PHIK3kjWggLtVygsOtpqS,Coming Up (Remastered),3XCVHuvuKhqPY5sOFEw0Qv,36,https://p.scdn.co/mp3-preview/a363f04db3b57cd0e3dac7df482916684c24ab44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Alright,5xC8uOesnn0udeXAYlAnoY,Supergrass,0sHeX8oQ6o7xic3wMf4NBU,I Should Coco,3YfIjaJEWqiSbKPguS9Bxd,72,https://p.scdn.co/mp3-preview/b8476ad1aa953668867aa8fadbfb2a9800ad017e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Smile,6P2kR0Dg8T2UAi9JuQmCts,The Supernaturals,12mJ3cmu4esPp9L3CYMQhd,It Doesn't Matter Anymore,0B4wslfGS3B0Z17u9RGVkp,34,https://p.scdn.co/mp3-preview/496643121b345220cd2e769facb5fdc6d61c022e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Slight Return,3SyPTIK2xO4UhlpmKPsnK6,The Bluetones,66nOkPJTFgK25NMmojG04V,Expecting To Fly,4TLznkyFO4xBof2f4alxmQ,50,not available
32,Bitter Sweet Symphony,5yEPxDjbbzUzyauGtnmVEC,The Verve,2cGwlqi3k18jFpUyTrsR84,Urban Hymns,2okCg9scHue9GNELoB8U9g,27,not available
33,Common People,5xMAMaVbW3tkjXTmSUBPTd,Pulp,36E7oYfz3LLRto6l2WmDcD,Hits (International version),6ZQrocyTNkEzbQrkjjDbls,9,not available
34,Don't Look Back In Anger,7H0jlAh4VoUtdeBUurXae9,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory,1FB977nQEiAr8jel6O2Zn3,17,not available
35,Staying Out For The Summer (Summer '95),3d1nT4G5MXHJTr7kNz9vQK,Dodgy,1dekSPU23UC5hw5b8Uxk9W,Ace A's + Killer B's,1mkXcNQ9jiQmyHDugV7vGf,1,not available
