Annie Mac's Power Down Playlist (BBC Radio 1),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,80902,bbc_playlister
1,Blue Lights,4jpBAzEAWq9GVyELGtkKAx,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights,3B8bqhCr3h9fX4EbTarSsq,4,not available
2,Treasure,6mtnu7p8tkUzlDO3KOoaTY,Sampha,2WoVwexZuODvclzULjPQtm,Beautiful Boy (Original Motion Picture Soundtrack),4rbWJkt4gXZI2UYvpNR0mD,51,https://p.scdn.co/mp3-preview/892cca0b154f2fbda9d72cd2ef85e98fb3c5b87c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Waking Up,5boGUtIrJjSd2uAueKCHKz,MJ Cole,49GY4uPAwdlk5lSGtfKWYl,Waking Up,46QS2IfiUfx5iZIkym8POs,3,not available
4,I Could Be Yours,1TSHC5T07g70Wqy9dyKi7S,Roses Gabor,2gcdX1NqiPU2F4QxSlBo7r,I Could Be Yours,77kXuj2g52OYKHzgEPP68V,26,https://p.scdn.co/mp3-preview/4e62b4ac809bc4f312d4be5213a4c8474511312a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Saint Claude,4YMvwS3xSiCUja0z9Hc33v,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Chaleur Humaine,0dwg19QWat3Rw6GvtiZRML,1,not available
6,If The Car Beside You Moves Ahead,3H1L1Rnofcx9ecitcrRaNN,James Blake,53KwLdlmrlCelAZMaLVZqU,If The Car Beside You Moves Ahead,6QE4jrzunLV7pKZVlk9ElV,1,not available
7,22 (OVER S∞∞N) - Bob Moose Extended Cab Version,4HEqM4RSvXQAXqSdqqD8qE,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,22/10,1hz6PP58vVLFpbfufj5c2z,49,https://p.scdn.co/mp3-preview/48dd462cefde6485af6fa5806b8ee78d2dc55a45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,STOP TRYING TO BE GOD,1xYpVRspgaLxdJLOTQkTjg,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,41GuZcammIkupMPKH2OJ6I,75,https://p.scdn.co/mp3-preview/0e6f40ee6843e26214fba4c6e13e4011ec2179f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,House Of Cards,3Jc6X15OZCCyhGSHBF4hwB,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,In Rainbows,7eyQXxuf2nGj9d2367Gi5f,61,https://p.scdn.co/mp3-preview/096e09089915ad8df9c83f2c3bebf6ea80b3f473?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Hello,1rqduvolf1CVHSzY519bPp,Erykah Badu,7IfculRW2WXyzNQ8djX8WX,But You Caint Use My Phone (Mixtape),2gc9WOWqVRrGUENUjozcpY,56,not available
11,No Ordinary Love - Remastered,1tV7RXsTGdwxAvEo8Rv9pp,Sade,47zz7sob9NUcODy0BTDvKx,The Ultimate Collection,3JYT9f8X9LOfpTzbKDWN4a,55,https://p.scdn.co/mp3-preview/c7b9b8571fa4d62d2153b91f7bf341da43b9a442?cid=fa83a2fec7c440b7a2795d600d6b2c7e
