Lauren Laverne: People's Playlist (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,And Then She Kissed Me,1mVj7sdHn0zjcjON0v1ShS,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,Universal Love - Wedding Songs Reimagined,1Roqqh9z76dk77g98fiR2E,37,https://p.scdn.co/mp3-preview/ea1e8723a472978e337a42687c8f75ae0391f67b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Do You Wanna Funk?,1S7VWDpdcFFzNVg6ZQNpRg,Patrick Cowley,1pggi3bfbAPkwrylE63MEO,A Night to Remember (Mixed By Tony Okungbowa & Jojoflores),1ADDWk1kGAsgKes4fik49O,50,https://p.scdn.co/mp3-preview/db65db40e56236b160a971c9e5a4b9755cdabdf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Smalltown Boy,0FrCX7P2C2hcRTcuhjEvK4,Bronski Beat,2wpWOzQE5TpA0dVnh5YD08,The Age Of Consent,7sJwidjwY9gt44I1AioyKm,21,not available
26,Freedom! '90,1D6nV9TPfMnWm7UdVsDVfI,George Michael,19ra5tSw0tWufvUp8GotLo,Listen Without Prejudice Vol. 1,4lGS8HxU3NYaQxfU0wx2r1,13,not available
27,Free,5RC9olve1FVs1bnIneatm8,Ultra Nate,1cK2Abwkni7m51wJCSGllN,Situation:Critical,5k8evXM0YJNZpCQ0dMXGCJ,54,https://p.scdn.co/mp3-preview/754cb5781b33a01936635fcda05ad0b7a06f08d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,On The Regular,4WxqOuzA0OG1851xcChR73,Shamir,7JgXEHI1oEiQICAMeCsKTj,On The Regular,1kkmVXFf065H85kP3BOfKA,34,https://p.scdn.co/mp3-preview/7eed0e05d24b04c011d8e978d851bef7614330b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Summertime,7q6WA4CdLHllqSJ3pU9uFD,Ella Fitzgerald & Louis Armstrong,0ZXEk4WDiPwEkjG6pQ408i,A Fine Romance,67mM91lN8YMeQWyHQ42f4p,8,https://p.scdn.co/mp3-preview/35e264b8fe0b50721ad73d37d00f4ddb944b94a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Under Pressure - Remastered 2011,5R3VPUyabw6xw3CyAfIbqV,Queen,1dfeR4HaWDbWqFHLkxsg1d,Greatest Hits II (2011 Remaster),3enuKERSauyNFVTa2n0t7S,10,not available
31,Love Lots of Lovin',09aLGPwiizTrqkS86fwVqV,Lee Dorsey,0En4EEcDMJ5kaUCf1aZ9js,Ride Your Pony,7AmWUlNaYvQlK8UqmD4tvF,27,https://p.scdn.co/mp3-preview/ba642ed4b6a2710cc9cbc79073ccf51d914a8c33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Some Velvet Morning,0NWDIJCR2vOYJN8ipD8Ktb,Nancy Sinatra,3IZrrNonYELubLPJmqOci2,Nancy & Lee,7I7z6Lfwyc1nghsFImEhYq,53,https://p.scdn.co/mp3-preview/24f3680583ca1f7bdf2b54f974992e3216ac09e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,I Want You,4PypnGPN1SZUSD18Evn4rS,Inspiral Carpets,66GWpx9iLxrvvfhDsG9STP,Devil Hopping,7vhsZvvArRpU9cXxjfiC06,27,https://p.scdn.co/mp3-preview/9957b91ca9710a1c68774bf6523bc157f97bca6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Dangerously In Love,6oxVabMIqCMJRYN1GqR3Vf,76,https://p.scdn.co/mp3-preview/ce8ace0ec425840416be78db07cf50dd331eed4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hear My Song Violetta,1KBasmw5Pm7jFoPHlwJH4x,Josef Locke,1lMRGmIVYl1UJy1nHCdZJf,The Very Best Of Josef Locke,4h7NqlQ37TVdLozDkPhryk,7,https://p.scdn.co/mp3-preview/369ee62643d3beff34337a57cd0d737deb395366?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Big Time,0QV9ks9Nr7dWjjc5CR75fk,Rudi,7cn9cxPh36ZnWTGXI78x55,The Singles,4edlj4LAQ8VDKJhF3VhYCt,23,https://p.scdn.co/mp3-preview/d7983099759be183edab535fc1f36beb67330362?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Don't Ring Me Up,35RCpftY0my8CK9QxI1Zjs,Protex,5gZJIbroE7gxH0ds6NWVIP,Good Vibrations: The Punk Singles Collection,00LOw4tsxRuVnKwfkILznb,0,not available
38,Take Your Name,2fcRvowXEim7THLBFoGz8I,Martha Ffion,5Hfe2K074kukMOuccDN5Lc,Sunday Best,6RuvxNU5aI9sXJ7XWxmhO5,9,https://p.scdn.co/mp3-preview/675aa5f480cb2cdb8fbfe10bd30c1d4c5959d1fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Freewheel,5zEdEx6ZenjF9Rtos9oMsT,Duke Special,4rPGB8TvljplPZDjpLAdAF,The Three EPs,3JmpNLkOBwH73VED5AGvty,27,https://p.scdn.co/mp3-preview/2b96f44c0bdd7c6be1bee7dd9de09b36f42f23b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
