Glastonbury 2017 (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Cranes in the Sky,48EjSdYh8wz2gBxxqzrsLe,Solange,2auiVi8sUZo17dLy1HwrTU,A Seat at the Table,3Yko2SxDk4hc6fncIBQlcM,65,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Legend Has It,3t8izcl6BTPg8kWoCEHFdT,Run The Jewels,4RnBFZRiMLRyZy0AzzTg2C,Legend Has It,24OukO41ZcjNVzpVzc6bvH,38,https://p.scdn.co/mp3-preview/0c5f7030c517d439c00b9f0ace19d401ad225483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Soothing,2QQGWZLoe4t19wkZ5nKOD9,Laura Marling,7B2edU3Q7btJoNsoHCNohM,Soothing,4nwrreIqpAbyOsLt4Dyztl,35,https://p.scdn.co/mp3-preview/ee5494daf7ce4f92d4469009a77d8aa55a1115d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Me and Bobby McGee,0VNZYdfyOM8FGmYSwEGUa1,Kris Kristofferson,0vYQRW5LIDeYQOccTviQNX,16 Biggest Hits,4V0B2o4rSXh7CwzqbDX6xo,46,https://p.scdn.co/mp3-preview/adf2bf2d1b13c2b572d0d9795aa157f5b5cfd22b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Can You Feel It,7zz6TEDnwmmRaUcRBHZDmq,The Jacksons,2yrbLiuBmc9j81lTX3XUuI,Can You Feel It: The Jacksons Collection,2CvbITS0dlUwUtXoWD4OwS,5,not available
26,Highs & Lows,28UNzWyq44hXquJkaYJ6nL,Emeli Sandé,7sfgqEdoeBTjd8lQsPT3Cy,Long Live The Angels,7FnYn2IYz5oxzV26pBLTcX,1,not available
27,If I Ever Feel Better,3AA8xNhDC0MpqwkGX3EP5V,Phoenix,1xU878Z1QtBldR7ru9owdU,United,5MBUL8d9FAYCCMrogOFX68,68,https://p.scdn.co/mp3-preview/1a42fab99c251f09cc72a7c9a37f37f57383eb2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Master Pretender,1yUNP810gdYDu61k2izbLB,First Aid Kit,21egYD1eInY6bGFcniCRT1,Stay Gold,6toF7GAattD7gLgqKbY8f9,47,https://p.scdn.co/mp3-preview/a92ddb4d9647e62cc7c18018665a0145f977ff16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,D.A.N.C.E,2AxPL4qPuMmzzadjorod4c,Justice,1gR0gsQYfi6joyO1dlp76N,A Cross The Universe,4M8DVXBJwQG7jb2Tj2yfXa,0,not available
30,Am I Wrong,5zJeBd3k9vOpbvJ9EkL2Lm,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Am I Wrong,4mSXmusurReECkmSC4LmOk,32,https://p.scdn.co/mp3-preview/36caee60ceabcb2971e3125c97b036d284f3c86f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Wire,7KdF7Zac5eC9jutk9Qret4,HAIM,4Ui2kfOqGujY81UcPrb5KE,Days Are Gone (Deluxe Edition),7CzrzGbCwqT8Y43tvIUPBX,61,not available
32,54-46 Was My Number,40KTypjh1VYHw8poxix0Rx,Toots & The Maytals,6ZFv3wQwwWPiVDWhv0mjQK,Pressure Drop: The Best Of Toots & The Maytals,4k2jeEYMTGI4aTlgou4Fgg,2,not available
33,Real Love Baby,2qEqMx1n0dnCBzWT9l3nGL,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Real Love Baby,0IpNqqkTlVMm54WIZTn6Pk,59,https://p.scdn.co/mp3-preview/a4b51c5a8491c66b9ed92b92bda191da20fa826f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Do You Realize??,2DFRFqWNahKtFD112H2iEZ,The Flaming Lips,16eRpMNXSQ15wuJoeqguaB,Yoshimi Battles The Pink Robots (U.S. Version),49LA20VMk65fQyEaIzYdvf,63,https://p.scdn.co/mp3-preview/6ad20465cb3cbb39cf8f278153c63102a275a8d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
