50 of the greatest ever indie breakup songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1754,nme.com
1,Love Will Tear Us Apart,2JO3HwMRPeya8bXbtbyPcf,Joy Division,432R46LaYsJZV2Gmc4jUV5,The Best Of,0p8Zy0wEzDYiFDcSt07UHe,72,https://p.scdn.co/mp3-preview/18a4b498250ed137d44823f2d49170be32336433?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I'm Goin' Down,0VkDedVtP7TQDlaCMq9QVx,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born In The U.S.A.,0PMasrHdpaoIRuHuhHp72O,56,https://p.scdn.co/mp3-preview/e83d269f47b25137e3ab8637e20a0b5f1fa96b00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Knowing Me, Knowing You",6lKHJ5df6jPEZjSntVw6zP,ABBA,0LcJLqbBmaGUft1e9Mm8HV,ABBA Gold,2rp5riHULWgrXPsDtsp1ir,4,not available
4,"Don't Think Twice, It's All Right",2WOjLF83vqjit2Zh4B69V3,Bob Dylan,74ASZWbe4lXaubB36ztrGX,The Freewheelin' Bob Dylan,0o1uFxZ1VTviqvNaYkTJek,66,https://p.scdn.co/mp3-preview/bd9315a5b98d2a824c3a97923f7e3476ba48f783?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,50 Ways to Leave Your Lover,7bdDULyOUqNyWu6XPeAnSO,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,The Essential Paul Simon,4kdOH3s9cRL9YykvHFpSlD,52,https://p.scdn.co/mp3-preview/1633ec5f9c9a6d4e4747d46d1c5e34474411d31b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Eyes To The Wind,1IWcHSvemRM9J3LJAlNoyQ,The War On Drugs,6g0mn3tzAds6aVeUYRsryU,Lost In The Dream,14xxjLlbGy8ACm4MorBjD5,50,https://p.scdn.co/mp3-preview/381b1600e7a8ecb441638864ebd929a1570d523f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tangled up in Blue,6Vcwr9tb3ZLO63F8DL8cqu,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Blood On The Tracks,4WD4pslu83FF6oMa1e19mF,66,https://p.scdn.co/mp3-preview/df5effa15c85a5a6283c4daa13dfddf1aeaf6fca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dry Your Eyes,1DlCpos9Lj8pK6cYMRjipp,The Streets,4GvOygVQquMaPm8oAc0vXi,Dry Your Eyes,5pCrRr8Hd1L80hIXmLIuUA,41,https://p.scdn.co/mp3-preview/7331ac618622630033c5ffd3c99e686ef5b6982d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Maps,3HeO6AcCnHQTDEntSCI2oa,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Valentine Disaster (International Version),0F3pdMrEVhzDf22Jcx3Ut3,34,not available
10,Switch,1aocDv6QqN7hP4AwiFJCym,TLC,0TImkz4nPqjegtVSMZnMRq,Crazysexycool,5eg56dCpFn32neJak2vk0f,37,https://p.scdn.co/mp3-preview/94bc1efbd289b012626380937bf9cf017c85d8db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Go Your Own Way,0FeCO85RKW8fDRytwXof2x,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours,63k57x0qOkUWEMR0dkMivh,28,not available
12,Stay Together (Edit),68yVUVWQ72XXT5uqzESnLv,Suede,6PHIK3kjWggLtVygsOtpqS,Stay Together,1aLM7sTxkFEkZCmpq5a00m,19,https://p.scdn.co/mp3-preview/740f36d16b04c555dfe9a5396ef2faaa53d8bafc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
