NME's New Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5344,nme.com
1,Ankle Deep (In a Warm Glass of Water),0HPTTMphUBXiQTMXFl2fOf,Talk Show,6maphvdwLWb9tIeiFAAaE3,Ankle Deep (In a Warm Glass of Water),00F9TQD2pDp3QuQVRvpKkM,30,https://p.scdn.co/mp3-preview/d0456a98ee032c2d35d607ddc3430546862cb0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Talk Nice,26ytdRiaqQGWWu2wD1MJ24,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,67yZgiOGcmzs07g0xGQ9Ag,56,https://p.scdn.co/mp3-preview/0527e8a5b064a0aeeb15be2cedca6fdb11e62e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Used To Love,6WC27GPEjsX24Vv12VX6mb,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,Used To Love,2oGxWLARSLplTHJ4HhiwPD,50,https://p.scdn.co/mp3-preview/2b7c8cc44731173ef40dfc48aac0358cb6d8ee62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Automatic,2oR8bDhXa7FXTlrDT3QpI5,Spencer.,20PdOyVym0ZZrOB1rfcvCR,Automatic,5w0CWV95NIvwbGFkMF2wzi,52,https://p.scdn.co/mp3-preview/5b923026b88be96a8985018ef9169f876ccfce85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Roses and Gold,7q2QAMBEbrjRfi9DoeCLwn,Biig Piig,4GoD5FJCgC0lbzde7ly44M,Roses and Gold,14rJxmRmWRgdJfk71DlElL,46,https://p.scdn.co/mp3-preview/0f9191233e2eeee5817e924baf0f2cf6474f75af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,One Of Us,30W0p4Gg7MeQKggG25b0J2,Catholic Action,7weMxddXvIGbPk8R8SkH5H,One Of Us,3yO97ochB2Y1Ta3T3Rm2Sk,39,https://p.scdn.co/mp3-preview/0ebb3d795b2f4ecc259e4a42a21ceaa6e3b3eac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Serafina,6IKtZ4yvPigfreFXh3Fgml,BAMBARA,0JHvODQe3KnriRMPuZPNL6,Serafina,7mEjnf2aTCsbdMTLvx11rx,34,https://p.scdn.co/mp3-preview/f4690064dbe4aa2c7b76ae824988bd9d156b2f17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dice,4HGaRd0wN8V86q0zepq85R,Konradsen,59CWeBMEzwj6U2HhTVLJ3O,Dice,5R5gIPOmRiQpTeUud1d1PC,31,https://p.scdn.co/mp3-preview/6fb1c28a73ac8bd4ff954144922065c6109daec1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tip Toe,53lm5Hj7ZYVv3JzuiDr74c,SAULT,1uRxRKC7d9zwYGSRflTKDR,7,19uWOx2aMKl7cdesfEyFms,33,https://p.scdn.co/mp3-preview/c7fcb2d0f75a3631734a79675c6fa203aa0f136b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Seven,0JnWDODEEVdGmnI13Ec4CO,Just Mustard,0wXaC3fHGVXbhwn5iLZMMi,Seven,3cNyfPEag1LgOHneSsMTlV,37,https://p.scdn.co/mp3-preview/27619588aa35d21fdba2bbd951ddb4c67f22d947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Second Guessing,0RqVERbWbIT2fVvOOvqcjr,Arlo Parks,4kIwETcbpuFgRukE8o7Opx,Second Guessing,70V6CskkJwrwwVVuFYnfok,56,https://p.scdn.co/mp3-preview/671b1b3b8970f935abd762a6d3f98522c8841b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Vámono,623mI2F1iCO4cqGbv6WUVn,Buscabulla,0MoaBi6dSquXp6rrlqlF8R,Vámono,0DAtzeZ09MxUORBOwGWxF5,55,https://p.scdn.co/mp3-preview/aa4ffe6ba6f2b5b56d3b1cca6cfc75a559806ffe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ruptured,4WlU0d19lU2DQHsMWV54HY,SCALPING,3pMZZzAKwSIftJmwtEx56W,Ruptured,1KA6fI4VGosn5kfvMuDG4d,25,https://p.scdn.co/mp3-preview/9cbc5ba9631f4e99773bda7fc65ffc239728bd0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
