Sounds of the 80s Danceathon - The Playlist (BBC Radio 2),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1332,bbc_playlister
1,I Wanna Dance with Somebody (Who Loves Me),2k1np6GRFvKjgjYfo2g39B,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney,6JDG7sbzX4uwQFFo1CHDLi,18,not available
2,Let's Dance - 1999 Remaster,0F0MA0ns8oXwGw66B2BSXm,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Let's Dance (1999 Remaster),37KYBt1Lzn4eJ4KoCFZcnR,65,not available
3,Flashdance...What a Feeling - Radio Edit,3cbV252akVZInSvJk7jAYX,Irene Cara,3oZa8Xs6IjlIUGLAhVyK4G,What a Feelin',0BK4XIgJ3AublHWN48vNzS,70,https://p.scdn.co/mp3-preview/bc04e2220baa910406c48ebb47362311d890d9a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,a-ha,2jzc5TC5TVFLXQlBNiIUzE,Hunting High And Low,1ER3B6zev5JEAaqhnyyfbf,84,https://p.scdn.co/mp3-preview/0f980d0fac59f77123d0272b78bce97f1374d9e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Heaven Is a Place on Earth,37Q5anxoGWYdRsyeXkkNoI,Belinda Carlisle,7xkAwz0bQTGDSbkofyQt3U,Greatest Vol.1 - Belinda Carlisle,3fzHLg5RfRXzQlHlR4F7JG,72,https://p.scdn.co/mp3-preview/d51127e836e3a7bf005ecc519f2766a862a5739d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Karma Chameleon - Remastered,2wSAWEYUHkt92X4SBAPqZE,Culture Club,6kz53iCdBSqhQCZ21CoLcc,Colour By Numbers,51NPMfa9QfxsYtqzcB2VfY,74,not available
7,You Spin Me Round (Like a Record),7uHO4AmKtyGa5v5fsElGoC,Dead Or Alive,5WWSL6rElJeUk3Uc1S2RyD,Youthquake,6d5tBL8NLw1Jdhr8D2w3PF,73,https://p.scdn.co/mp3-preview/2e45096a7f10a845f7f3b17b1e19aa29dba291f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Club Tropicana,6tASfEUyB7lE2r6DLzURji,Wham!,5lpH0xAS4fVfLkACg9DAuM,Fantastic,6vihnceXTNegYbpurc6qkR,65,https://p.scdn.co/mp3-preview/c380f76b8e0fdbc489850d98a626ce4b3e3f1132?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,She Drives Me Crazy,0Zt9fqRK58Y0onY1VwaKp7,Fine Young Cannibals,20p5D2KrE8CGuOjHtxsyTp,The Platinum Collection,5XMbe4Ie2mlpsKsrIx1x5r,21,not available
10,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,79,not available
11,"Footloose - From ""Footloose"" Soundtrack",2vz1CsL5WBsbpBcwgboTAw,Kenny Loggins,3Y3xIwWyq5wnNHPp5gPjOW,Footloose (15th Anniversary Collectors' Edition),4FZ9s0pelFSliPWhVEWRcC,72,https://p.scdn.co/mp3-preview/ab731e85f55caa38a697c1e825728df2f78e5c85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Don't You Want Me,3L7RtEcu1Hw3OXrpnthngx,The Human League,1aX2dmV8XoHYCOQRxjPESG,Dare!,3ls7tE9D2SIvjTmRuEtsQY,75,not available
13,Walk This Way (feat. Aerosmith),6qUEOWqOzu1rLPUPQ1ECpx,Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,Raising Hell,7AFsTiojVaB2I58oZ1tMRg,69,https://p.scdn.co/mp3-preview/1779acd431c65ec238885c1ea187f251c8cb3e56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I Should Be So Lucky,1MK5FOmm5ppLIS2Ga3jHlT,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Kylie,2xuoy4Qfrk9wlucZ8anDzE,49,https://p.scdn.co/mp3-preview/9c5ab68ce3fa8bbb11eae00ffe78b56a094dbdb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I'm Still Standing,0lzpfrTARexLFXEACKSXTh,Elton John,3PhoLpVuITZKcymswpck5b,Rocket Man (Deluxe Edition),1vsWzNT3lzLt7RNLUdUVZB,26,not available
16,Searchin' (I Gotta Find a Man),1OF6VWz19UwTHq8lB9md99,Hazell Dean,5HP4SpcujgIKC6tHBwfy42,"The Best of Hazell Dean ""They Say It's Gonna Rain""",2IMIHwCiCkg1iUE5rkzQ8b,6,https://p.scdn.co/mp3-preview/e3c3e7bb2bd6e64da2d63f07c9fe33137c33bf80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,A Little Respect,6yZDjFLqyvDQpDDr6YySNL,Erasure,0z5DFXmhT4ZNzWElsM7V89,Massive Hits!: 80s Pop,6CDhExuwjtiONWNg52XVlr,8,not available
18,Wouldn't It Be Good,3qHBWaglJAje7RAL4k9pFB,Nik Kershaw,7kCL98rPFsNKjAHDmWrMac,Greatest Hits,5E2v2qm44TWLyJ3ktXLVvG,0,not available
19,Gold,2X9fsxb6O6bYEopJYmUbNC,Spandau Ballet,2urZrEdsq72kx0UzfYN8Yv,Gold - The Best Of Spandau Ballet,5UUutTu9xlQnG9duYrIIW7,67,https://p.scdn.co/mp3-preview/57a56fb030b8670ad3ce8187ec636037b7958272?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,China In Your Hand - Single Version,3U9B0ZcnVPisVh9wGOg6qL,T'Pau,47qTcvYlqJGAEsCI7BcENC,Hits,7qfAtb6H7YD2u5EkYX7wow,52,not available
21,Call Me,6BFGGMB7hkqCtFBLIYjEHJ,Go West,7bKupnlF7XOfR1En3K8oAL,Go West,6IPJyrp8KxuuhMNCynoE1y,2,not available
22,Bedsitter,3KMf3hKKi92HFdKHsjBgg1,Soft Cell,6aq8T2RcspxVOGgMrTzjWc,Non Stop Erotic Cabaret (Deluxe Edition),3HZOgmHG5SKbwOitfUYrgn,0,not available
