Tune of the Week (BBC Radio 1),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,56871,bbc_playlister
1,Rise,3u1S1OmAUhx5DRlLrXqyp3,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Rise,3KjCdhPbjbLptyJzviKu4P,79,not available
2,Neutron Dance,2dxiLe0Pq6pG058eYMbrn7,Krystal Klear,0jqr8aeeHSn5pMEVD4aTrI,The Division,5F0AZDt29jRBR1PktMX5PV,53,https://p.scdn.co/mp3-preview/9a0a940c3dc45b3536cd758c9b1fd4722541b307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dark Vader,4IeXHed9x1xm8fXyrHPnd5,J Hus,2a0uxJgbvvIRI4GX8pYfcr,Big Spang - EP,7ccP54HOejyla6bAxCiWuc,61,https://p.scdn.co/mp3-preview/92531cfbe9d452534f5e55ef0ca643c6e4e85bad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Night Time,3ah2BSQRitsUvAvvTeKtBE,Superorganism,0Wkm45quqfx3NepJpXDvwE,Superorganism,15TFB6uLZlb3gnCysRrLix,45,https://p.scdn.co/mp3-preview/f99c43400daf744e9c95a1a1a7b71c073af650e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,New York,1187w3EfxkIOeh4nqvy2sm,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,New York,6hLzCI84joqskeI9QGojUC,1,not available
6,Warning,1hInFxzQounFKImOYduxjD,Bugzy Malone,4Dokdwa3WB7ilQ2c2qvIBL,Warning,63B4dsQuQbqcgX6LLx7LlQ,49,https://p.scdn.co/mp3-preview/83b83de4c751021440dc1af198b55eddd5ebcba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,You Deserve Better,4S1GTwPVpkSy7CsJIDKPEz,James Arthur,4IWBUUAFIplrNtaOHcJPRM,You Deserve Better / At My Weakest,3M1MYH8SYxLaJfBWIAsAdL,66,https://p.scdn.co/mp3-preview/04bec0b97ac1e4e7c4be4b7cae4ad2f4b8f3062d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Happy Man,11xRCe6bPQ9fRhz70dqF9N,Jungle,59oA5WbbQvomJz2BuRG071,Happy Man,4RgCkVxrmHpbInrUyy8dU6,54,https://p.scdn.co/mp3-preview/ad2c2a91337b13985644be492602337327aed786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Give Yourself A Try,619pVMIK3WvX529JIkQTY3,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Give Yourself A Try,69uAne8NTXxGzp8q811NQR,6,not available
10,Sangria Wine,6XlSyYFTU1nodeWwwzVgTV,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,Sangria Wine,5VsvdqQIGswqgLqRCfST0e,66,https://p.scdn.co/mp3-preview/36fdc400238ea304378cc7afe7e838b52073b890?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Colour,7haQE5nOcxwk0HXahP0aV3,MNEK,7uMh23xWiuR7zsNkuNcm2G,Colour,7xniwwZWn3QwUwPqg9NbaF,65,not available
12,Give Yourself A Try,619pVMIK3WvX529JIkQTY3,The 1975,3mIj9lX2MWuHmhNCA7LSCW,Give Yourself A Try,69uAne8NTXxGzp8q811NQR,6,not available
13,FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Love Yourself 轉 'Tear',2jJfnAZE6IG3oYnUv2eCj4,75,https://p.scdn.co/mp3-preview/bc24526c6a5e4d2a63bdbf364705a6012ff2d649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,1950,0CZ8lquoTX2Dkg7Ak2inwA,King Princess,6beUvFUlKliUYJdLOXNj9C,1950,5p0UaZsYWMn4L1dSpc6AhN,80,https://p.scdn.co/mp3-preview/d283f120c773725e74fc2582099dd6833b237a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
