Class of '96 (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1417,bbc_playlister
1,One To Another,5nvy5ir4RWTgI4hC8dnsQP,The Charlatans,5fScAXreYFnuqwOgBsJgSd,Tellin' Stories,5Z1qbz6SLdQnWiVMEJ5MNK,7,not available
2,Roll With It,3Byhgg2myPVhAHa60Oh4xM,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's the Story) Morning Glory?,0PTVq4kaAAuROnfvfA7bHG,53,https://p.scdn.co/mp3-preview/b766dca33f11d7b9170a6aa5d4b618aa52294890?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Country House - 2012 Remaster,6L4fEE9awoUnSEy1bmQebb,Blur,7MhMgCo0Bl0Kukl93PZbYS,The Great Escape [Special Edition],7BiMMjtvTX0OiB8Yi7CFB1,57,https://p.scdn.co/mp3-preview/15180508679197159d17008a406311ac2fd8bf9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Firestarter,0QwzCPyTv6UnzjAhZZ0CkB,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,The Fat of the Land,4FHd783Gm1k8Fj2JWS34eb,7,not available
5,Born Slippy,1nixqSAK4DTs9sE4h1ffAX,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,Men's Health Playlist Workout Vol. 6 : 10K Stamina Mixed by Chicane,5b0JwqVHAVEyT0aaNdHLav,38,https://p.scdn.co/mp3-preview/2717f3b73ec36b7b35692b76f3aac777e91d1f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Waking Up,70LIe5IYE2TI8qqxePAoOR,Elastica,3l14gV4hIMAjmo7KUvEWTx,Elastica,2Eu3dJJYgcbzrhp0zyRBZz,41,https://p.scdn.co/mp3-preview/2228f0b80b8b8f1425fb109182e50fda46cb9126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Common People,5xMAMaVbW3tkjXTmSUBPTd,Pulp,36E7oYfz3LLRto6l2WmDcD,Hits (International version),6ZQrocyTNkEzbQrkjjDbls,9,not available
8,Don't Look Back In Anger,7H0jlAh4VoUtdeBUurXae9,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory,1FB977nQEiAr8jel6O2Zn3,17,not available
9,Beautiful Ones (Remastered),0RxWeRjUUQqGUxOYn5gniE,Suede,6PHIK3kjWggLtVygsOtpqS,Coming Up (Remastered),3XCVHuvuKhqPY5sOFEw0Qv,50,https://p.scdn.co/mp3-preview/6f3cb6220b2abd53ab3af7860d83a4967388d24d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The Box - Part 2,5xV19Hukr2Vo1qRjc0GD3C,Orbital,3csPCeXsj2wezyvkRFzvmV,In Sides (US DMD),5JFyZjWOiwGPoc06gqqlA8,5,not available
11,This Is Hardcore - Original Version,3Yj8CiMjYKKNn4yvUIf1QU,Pulp,36E7oYfz3LLRto6l2WmDcD,This Is Hardcore Deluxe Edition (2 CD ),2hf0aTKqdxsobNVda2vvUz,1,not available
12,Rocks,3D0HzwuKEYmVePVqU4fcPX,Primal Scream,3wury2nd8idV4GecUg5xze,Dirty Hits - Limited Edition,55vpieVkyI8wm5lQEasuQN,6,not available
13,Lust For Life,7egQFB1zrDcvy3kdTaKbpc,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,Lust For Life,7ynKEunH8LSit4TR3foMVC,11,not available
14,Three Lions,1b7kLkJkr6XRYgWqVmDm05,"Baddiel, Skinner & Lightning Seeds",3LtYMPncqtiugGwOuuLq3h,Football's Coming Home - Three Lions,6gOYszdugcyXc4t8Bm7hMy,52,https://p.scdn.co/mp3-preview/595b2e6741f9e1b0d92712e7973fd9fcdb37ca4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Disco 2000,7ec55GDkRIBmsI8XKrG1lu,Pulp,36E7oYfz3LLRto6l2WmDcD,Different Class / Deluxe Edition,1W0fmt3UzzyxvzRqvHoNFw,11,not available
16,Connection,2BrL11P3djGJKirIN160qf,Elastica,3l14gV4hIMAjmo7KUvEWTx,Elastica,2Eu3dJJYgcbzrhp0zyRBZz,44,https://p.scdn.co/mp3-preview/d85f3b48fa4ec2b729a99351be6e424b827b2eb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Some Might Say,6FBpIPlWYCQyXiJsmIDTOV,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's the Story) Morning Glory?,0PTVq4kaAAuROnfvfA7bHG,54,https://p.scdn.co/mp3-preview/f8672e79068938d5610e7b105b0ac5b617659660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The Universal,0qmCWYu7hOvriyuqXfPw7I,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,1bgkxe4t0HNeLn9rhrx79x,55,https://p.scdn.co/mp3-preview/9cbfbed3fc8ce3c4a7f7df35f4058d32fe86fea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
