David Berman: In Memoriam,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Ballad of Reverend War Character,4TZN5cFpa1IzhFw4X66TaE,Silver Jews,4ePunOqQbOYoQwd1298g3Z,The Natural Bridge,1o797GseaR8YuNL5lxnDtY,32,https://p.scdn.co/mp3-preview/e1a6b655e2f746a0135ec4d36efc9ce956fd18f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Rebel Jew,3gaQzWumziUWHqlm4ZRpM1,Silver Jews,4ePunOqQbOYoQwd1298g3Z,Starlite Walker,0uom4MEbiWUtXziPOcgyQx,30,https://p.scdn.co/mp3-preview/6b4c9dadfac953726748de34c976fdc6ccdc6b8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Dallas,0X5xXEemTiqwlBGQwa7u4n,Silver Jews,4ePunOqQbOYoQwd1298g3Z,The Natural Bridge,1o797GseaR8YuNL5lxnDtY,41,https://p.scdn.co/mp3-preview/670c02455a28edbc864ef171471b83da0e0355e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Darkness and Cold,0u0T1GV1EhwJkuDGme2bez,Purple Mountains,1ll45mCZIveI9KHNZx2DdS,Purple Mountains,5NCdiiTgky5PbjmCtcgwtn,50,https://p.scdn.co/mp3-preview/472eceb86d3e1723d8a35845a7abbda7b8ef4e0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Pet Politics,2uUrOGi639kxsgKDw4YmMm,Silver Jews,4ePunOqQbOYoQwd1298g3Z,The Natural Bridge,1o797GseaR8YuNL5lxnDtY,37,https://p.scdn.co/mp3-preview/4c075631b43b9e3b527a45432adac0db8ce38125?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,"Strange Victory, Strange Defeat",3DMS44wvuMlSNHGbRcGqk9,Silver Jews,4ePunOqQbOYoQwd1298g3Z,"Lookout Mountain, Lookout Sea",09jX8XFnrFvfWidTODe9pY,34,https://p.scdn.co/mp3-preview/13a5cfc68509a568230b1b183c6ba871e2d68f9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,I'm Getting Back Into Getting Back Into You,6tu6E23kBgM0vuHPMOemxx,Silver Jews,4ePunOqQbOYoQwd1298g3Z,Tanglewood Numbers,2MGDMiKt1EVjOaA8FWaaCh,33,https://p.scdn.co/mp3-preview/89bb4412d38d13f18a2e8065c92df2229030ccaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Party Barge,2lSuW2k2nnmP7pyilCGY9u,Silver Jews,4ePunOqQbOYoQwd1298g3Z,"Lookout Mountain, Lookout Sea",09jX8XFnrFvfWidTODe9pY,29,https://p.scdn.co/mp3-preview/883726bc92a18bdf6f46a851131ae5f0d26c5b04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Wild Kindness,1Ja859X6KDm6hd9U1wgfTK,Silver Jews,4ePunOqQbOYoQwd1298g3Z,American Water,7LO24Uu9c0vuFUtHDAj0Wa,46,https://p.scdn.co/mp3-preview/cf4dd5013c8a5d5f2ed47be0a0ba7e3a524bedf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,How Can I Love You If You Won't Lie Down,5UUOrwOWpZRySVAL6dHJwE,Silver Jews,4ePunOqQbOYoQwd1298g3Z,Tanglewood Numbers,2MGDMiKt1EVjOaA8FWaaCh,32,https://p.scdn.co/mp3-preview/c7a26bfcf674c684926bca74a9598d3d3f91d0d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Death of an Heir of Sorrows,6fr5oMXrLZW53DkLA2R9nm,Silver Jews,4ePunOqQbOYoQwd1298g3Z,Bright Flight,2v5IVAeFO7CFfcPP76pGKV,30,https://p.scdn.co/mp3-preview/f7f49d4f16a00a2bf278c28c75e8b30723435049?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Maybe I’m the Only One For Me,4A1kj1LL4327bAlpF6oJSu,Purple Mountains,1ll45mCZIveI9KHNZx2DdS,Purple Mountains,5NCdiiTgky5PbjmCtcgwtn,45,https://p.scdn.co/mp3-preview/e1cfe9ee5e4e1b3f266775fb67e8d60d344fb1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Federal Dust,27bnZnk1OWB4iMMgabMhhg,Silver Jews,4ePunOqQbOYoQwd1298g3Z,American Water,7LO24Uu9c0vuFUtHDAj0Wa,42,https://p.scdn.co/mp3-preview/c35d9fad08f5d6e3ceb5b682d1bbc866fb4c6108?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"She’s Making Friends, I’m Turning Stranger",43Y8aaM9mHqfQJ9glFcWwj,Purple Mountains,1ll45mCZIveI9KHNZx2DdS,Purple Mountains,5NCdiiTgky5PbjmCtcgwtn,47,https://p.scdn.co/mp3-preview/deee39f461e97d7ebec20053ab6a829747a712c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Friday Night Fever,3erVwVBAZBvk69llpeRxQL,Silver Jews,4ePunOqQbOYoQwd1298g3Z,Bright Flight,2v5IVAeFO7CFfcPP76pGKV,30,https://p.scdn.co/mp3-preview/f85ae677bcc70c813e97438746e9b6ee59f968f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,San Francisco B.C.,5aPjPDy8zFNyaXhBl1T91Q,Silver Jews,4ePunOqQbOYoQwd1298g3Z,"Lookout Mountain, Lookout Sea",09jX8XFnrFvfWidTODe9pY,38,https://p.scdn.co/mp3-preview/d90244e478f8c4e3bd64ce76fd4c7a0b1e9f81e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,What Is Not But Could Be If,6y6iukTEaTwWR3cySxf0i6,Silver Jews,4ePunOqQbOYoQwd1298g3Z,"Lookout Mountain, Lookout Sea",09jX8XFnrFvfWidTODe9pY,34,https://p.scdn.co/mp3-preview/944b3bd1d8e385677f1dd2abc1e7a8db3565b834?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Margaritas at the Mall,0ExMn0I38LtLKDMo5mCKsf,Purple Mountains,1ll45mCZIveI9KHNZx2DdS,Purple Mountains,5NCdiiTgky5PbjmCtcgwtn,49,https://p.scdn.co/mp3-preview/f3e92c68aa9a0590ec3ecb65f514adcbbb351f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
