American Anthem,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": II. Largo",37amjDk5wKJ7J07EVzocEP,Antonín Dvořák,6n7nd5iceYpXVwcx8VPpxF,"Dvorák: Symphony No. 9 in E Minor, Op. 95 ""From the New World""",2rd9VmtwGusxIBLjmOVEqj,38,https://p.scdn.co/mp3-preview/5432ab96697acd9d859761b66ea17c030d5ad934?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Whittier Blvd,7CkKLY5SK1WVzBwYl7G8As,Thee Midniters,2Z66arG61B0TdhwE9kWy23,In Thee Midnite Hour!!!!,0Wtnr60dYVl0uJyVSfK1Nt,23,https://p.scdn.co/mp3-preview/18030bed213da6a93f3b2263b40c3626bccae30d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"Fight the Power, Pts. 1 & 2",5idtcCtrCgNywqssGXGXTU,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,The Heat Is On,4SK0KqD3jJFZGpVNWlXaDv,36,https://p.scdn.co/mp3-preview/1947236376f8a7ed533de50433754d09b41e2bd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"Fight The Power - From ""Do The Right Thing"" Soundtrack",58lN7V9Ftumzwk2CTzqGCG,Public Enemy,6Mo9PoU6svvhgEum7wh2Nd,Music From Do The Right Thing A Spike Lee Joint,028K8Oow1AFPXErCARfj5o,7,not available
23,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,Second Helping,54V1ljNtyzAm053oJqi0SH,83,not available
24,Over There,0UwAiyqRUPwpM8PjThoXUS,Frances Langford,6i7XzOt2ESruRk4ZKU9QfW,Yankee Doodle Dandy (O.S.T - 1942),4BzMBwWZ0LKfJ7ZodSumuS,12,https://p.scdn.co/mp3-preview/c5826ff071d03072ce234ac9652fcebee170dec1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"To Be Young, Gifted and Black - Remastered",0uKZW49IibneWqF9MMv6qd,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Miss Simone: The Hits,4JVAgQIcovK2yTm0L0xdNq,26,https://p.scdn.co/mp3-preview/9adb73ce1127d714458da8a7194e73ed468ee8bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Quiet - Stripped,60oCAd3gei66GObniGX4wV,MILCK,62lirbb6qJs4VOGpdCNHK8,Quiet (Stripped),4dqLW8pQA05EoWHZtrlWPi,49,https://p.scdn.co/mp3-preview/dfb7be8f9e1df7c6b21a78f239d123c59a13859f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,Idina Menzel,73Np75Wv2tju61Eo9Zw4IR,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),7lZs5r4oQV2nutddffLrg0,72,not available
28,Born This Way,6r2BECwMgEoRb5yLfp0Hca,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Born This Way (Special Edition),5maeycU97NHBgwRr2h2A4O,66,not available
