All Songs Considered,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,2009,0tThWxpp4Pb8enQxOCHy1I,Rayland Baxter,251UrhgNbMr15NLzQ2KyKq,2009,1mcjkycwM3rIzBXcl0VKJw,35,not available
11,Better Than I Used To,06lVg9PoXos3VlCjG0LIXd,Illiterate Light,1vEqG4Bxz3YIMuDkIcvg6J,Better Than I Used To,2WPLGvr7fwwD3QeQ2IAK2t,47,https://p.scdn.co/mp3-preview/cd25ed96a16dd82012dc2a4bd2f3099548906de4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,May Your Kindness Remain,71l6dkMk6FSKcL4LcC8hzG,Courtney Marie Andrews,1EI0B66miJj5Fl408B7E9H,May Your Kindness Remain,1U8907wmzKNgvDEW3mk21S,39,https://p.scdn.co/mp3-preview/8d098079c21ef5e92d496d870008d2bc3adb4a4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Love Is Everywhere (Beware),4hrJhMznNddR7UThDKHSJy,Wilco,2QoU3awHVdcHS8LrZEKvSM,Love Is Everywhere (Beware),0xZgWQ2PZZnFK6T1Lr0OMv,60,https://p.scdn.co/mp3-preview/fdb0bd5e0a8ebee4f7b3a3d047dce2601a86eac0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Mary Always,3Gv86LrEkCg0hIVeuw28Lj,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Hasta El Cielo (Con Todo El Mundo In Dub),2T06RHWicMtCA5UdHXrg4K,47,https://p.scdn.co/mp3-preview/539b433b14a585217ce248f9d9ee0f80d75999ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Rising Sun,4Cu9py9YgQvTA2H4TurEfd,Erin Durant,2Lj3rPmlq8aGXvsm9kxSRd,Islands,1bb7XxBasXjSnptSbjpYZM,32,https://p.scdn.co/mp3-preview/48244ddc2e092e53504f254d436335a457c2f6f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Jelmore,205dB0AQACK2YBkgpAQZdH,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,Jelmore,5pZQ4Ytc9aR8om36guIgX7,53,https://p.scdn.co/mp3-preview/35cb566963ad9b5d725e80c4caaa784daf5d4762?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Sweetheart,1hgoiIqc5rVSOv4j7ByEkp,Long Beard,3truyDimkGtu58fxQj9Xv9,Sweetheart,1lzUh7B8iHD11c4z0yqx86,35,https://p.scdn.co/mp3-preview/5f9b24b738d3e53bfdc8626313797cfaa4467e95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Church,3hvvRhLiPltatRpX8U1o2d,asia,7iq6maBjhOy7m4UqhKWgsY,Choked Up,0F5g7HHNU1UqBEr0rqkUKO,19,https://p.scdn.co/mp3-preview/e1fb803749a9b6219a6ac759c5b5f59f5c4d20b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bed,74PKbsAiQ1zfB48pyIB8aw,Bad Heaven Ltd.,6evha6SOvb9xMnjICcmrLA,Bed,0D0nGUMyd2d3REj0hRu1Aa,18,https://p.scdn.co/mp3-preview/02d77fa96a84f0441e7a1a19efd405927e002aea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,"Michigan, 1997",1kKTqUE2ak0jcVlBeQB9ft,Dolly Valentine,00CmJgHxGVen5RjRFppVUt,"Michigan, 1997",6zCe0XeSFnWqH9JddVxecb,29,https://p.scdn.co/mp3-preview/f1a66f886b53129d32c4d3761cd65b0b2698e666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Nothing Else,3WLFcW5sQA9CGky4K6W8eP,Chong the Nomad,586OHhbBhXRpOY8LezbUcK,Nothing Else,4sy1Mt4HvrnPN8560KMOaN,37,https://p.scdn.co/mp3-preview/42299397dc3889c7e92ffc516809be128b54e089?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Ego Slave,5cdTHYCGlWJ5Lm4svlTDjd,Donormaal,2g7nufClPxZ7D1a29Eoc0y,Third Daughter,47SwCAQNaYrU76rVP3kJn7,22,https://p.scdn.co/mp3-preview/359d1bd17304b7fc7dab83cd0d6a8556525e2c03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Tethered,5IUqwafUXgrBXgUdgwViC2,Versing,2EBCJ8wwWpJXAyjVoiwCw8,10000,4cZRvV3CRAXxhrCY7RKOgA,27,https://p.scdn.co/mp3-preview/ae00a06a9c84f095c1359ea0aca456bbe1fb6819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Menace,7AvxVXPgT0zQqy4CjwkONL,Actionesse,4EUgrDrqpp7mUjdhgHd00E,"The Deep, Bright Below",5O7EwrLFhSX4g1HlxHwosa,16,https://p.scdn.co/mp3-preview/45110d73ede1c0b89109e39ed7a97da10b9f8998?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sing to Me,6UaLeC7yOyvNgExgbnb5HQ,Cumulus,5kO4scXJTa1QzbxqG55xFK,Comfort World,4yDK9EACIq5DHMP5WQXYJa,19,https://p.scdn.co/mp3-preview/2aa84646dfa0b2051ff4939c84976ac21ab7a583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,96,not available
27,Light On,6UnCGAEmrbGIOSmGRZQ1M2,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Heard It In A Past Life,5AHWNPo3gllDmixgAoFru4,76,not available
28,In Your Head,2zKwL2iB6OllEknSXuSwbX,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,Miss Universe,4ghm3TST2NwYOIAd5QHjbU,42,not available
29,Exception to the Rule,6Zio8fwZm8o7RdH1zK6kB5,Better Oblivion Community Center,3NBmfDV6Yh3hjuQUBVvYgO,Better Oblivion Community Center,5622zSt4RLqNSPShdqmWpj,46,https://p.scdn.co/mp3-preview/0d74d17ad7fdb54e90c31bd9f2bef3c44e6630ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Lottery,5F3QLG5Vnc1kT02PM9Mk37,Jade Bird,7D8LuVnlyu91ndcPe70j7S,Jade Bird,34RIeuzZA8ySXCbsEd62jG,62,https://p.scdn.co/mp3-preview/865def750fbafc65059d048b5a49c6da56ef4ac1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
