Best Songs Of 2019 (So Far),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2462,npr_music
1,Mixer,58pJZsMEPXmYX8gvXWyt3V,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Mixer,6xPqva9kzYP8usdKOUiHdn,63,not available
2,NASA,4uTvPEr01pjTbZgl7jcKBD,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,78,not available
3,Fuller Mind,0F8rrki1fJOUcGBtg60waC,Arnetta Johnson,6mQFeEywyOkToUHAIGiUzm,"""If You Hear a Trumpet It's Me""",3FNiuvuXIxzvMboKeZWwiI,17,https://p.scdn.co/mp3-preview/e9ca8dd9cc0703972eea0a1d1586d050e9993585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Michael in the Bathroom,2NKSdHfJ2j3PnSZUJfXa7J,George Salazar,4VluulYWhcwWaD1pV7CtKB,Be More Chill (Original Cast Recording),6emT6Wf0qivQ0Hyx0gruyr,61,https://p.scdn.co/mp3-preview/234c87fa01d551821ee797a46df518d3a588fee2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,What Comes After Certainty,5ZZwQkDUUzsIbSBhnaWJfG,Bill Callahan,7gqsi6aBSkRMJoL9psKqMr,Shepherd in a Sheepskin Vest,7sfkWJ14gZywjyv3wtQ5WC,41,https://p.scdn.co/mp3-preview/db7e032c32e28ad1788b79a886f30d74e86596cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,96,not available
7,bury a friend,4SSnFejRGlZikf02HLewEF,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,88,not available
8,Lo/Hi,6XRgC4KAp4upKu0v7H4tQo,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Lo/Hi,3sRZoykfSZpEtVngmJDply,60,https://p.scdn.co/mp3-preview/b48fc3ae76de7ee539457029298331273c939c6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,A Moment for Jason Molina,2ZiWI1BTeZvTHHPbm7cxBD,Caleb Burhans,3962g9Dfd93mJSVy1D37LF,Caleb Burhans: Past Lives,61HDgtBl2VX3NO7pWlZLIN,17,https://p.scdn.co/mp3-preview/5e049888af4a80108a984afbf585138f4f6a5993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The Sound,2ZdEU0Ys9frp2y0Z950jWR,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Dedicated,25it7uSpNFuRoD6uNc0Tfu,52,not available
11,Capacity,7geIpERV0rhwVF7OBPwhlJ,Charly Bliss,7axA2bNeZsae6t2mgxoSFh,Young Enough,4exyaIzm1Rm7aYdc2wrpEH,13,not available
12,Suge,2gwkD6igEhQbDQegRCcdoB,DaBaby,4r63FhuTkUYltbVAg5TQnk,Baby On Baby,0O1PJ0t69iTO5yWrIeIga0,89,not available
13,RICKY,2QbGvQssb0VLLS4x5NOmyJ,Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,ZUU,6PkSBdx19zarn4ae1D08gA,75,not available
