Roséwave: Endless Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1591,npr_music
1,Walking On A Dream,0mBkoM8r7KAQzZij5swTUL,Empire of the Sun,67hb7towEyKvt5Z8Bx306c,Walking On A Dream,04gYcIojJt78nYnN5oOrKt,65,not available
2,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours (Super Deluxe),0BwWUstDMUbgq2NYONRqlu,80,https://p.scdn.co/mp3-preview/40d1f6d82f16b05b62aae47e8e130de04b407fc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Self Control,5GUYJTQap5F3RDQiCOJhrS,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Blonde,3mH6qwIy9crq0I9YQbOuDf,74,https://p.scdn.co/mp3-preview/ec76abf91ef45efe40fb8442e729f0d7b00facde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Roller Skates,1KmsdSKheJSEPtgHjwhwvm,Nick Hakim,1Goe2NezNnym45kco2xTk6,Green Twins,5RfZQHPapcSY40HaYvt3fh,42,not available
5,Get Free,6VbBA4KJ9D7oPlRxHaLfNG,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Get Free,3oNPiw1mB186XZCSn3uWT7,0,not available
6,Champagne Coast,2KufM8PiQY4i52XhRL96Fd,Blood Orange,6LEeAFiJF8OuPx747e1wxR,Coastal Grooves,5U2cyX2FRa8CjzdMpqZNJl,55,https://p.scdn.co/mp3-preview/2f1223128cac2cbcd6247fb4c40b66d428c25876?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hard Feelings/Loveless,3VDX4CCJWbRXBKuW5IY5R9,Lorde,163tK9Wjr9P9DmM0AVK7lm,Melodrama,4oCGmYsAQOWt2ACWTpNUU6,58,not available
8,Africa,6FTBZdL2sXXUSBXMwrQTut,D'Angelo,336vr2M3Va0FjyvB55lJEd,Voodoo,2lO9yuuIDgBpSJzxTh3ai8,41,not available
9,Sans Soleil,31pvE8vImEUVjFGfTPVKGT,Miike Snow,4l1cKWYW591xnwEGxpUg3J,Miike Snow (Deluxe Edition),60qoUhwjHanuH4uO7ik4r5,32,not available
10,iKnow,4XgcRKS39KBxajlRU2Jxf3,Roman GianArthur,7hgRzsQGjlm1zifNoigyB9,Wondaland Presents: The Eephus,6euBqjV02IlCVUI3ION0NA,19,https://p.scdn.co/mp3-preview/1f34525a0fe7a32e883d229026f37748a9f491c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
