The New Alt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Not Enough Love,3WRc0IGP5oLXEfMcYPxSOm,Larkins,6cCfC12LHtD5XIc1rLsm8Y,Not Enough Love,4ck3W8tScR9fYaQKRusKs6,48,https://p.scdn.co/mp3-preview/d0d82f609dc5070482d0687142cec8eafc87a34a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,My Ex,57AnwieY4Z1CepmAqyGbZB,OVERSTREET,5TGdkTyHliaYLHPGxqcSUt,My Ex,6noFkV8LJcZiABeJAGr77O,49,https://p.scdn.co/mp3-preview/6d379821e4eec9a860842ae51bfbd256b66eb988?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Game,64kY8ox52wBR7sWI3pcNwj,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,4o8zheBB9DDkWKjUIEfGNe,54,not available
34,better.,2iqpZ6Dl6we6zajEfn82JK,Super Whatevr,2kbAovdYb7krLSGdOrBMRu,better.,4DCkf4iVpRUIC21vmr0eEG,50,https://p.scdn.co/mp3-preview/9ddc2a4cefa919bee00ef6b81ecfebb2046b0cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,White Blood,6BP2v1Cyz8OZXDvKWNxAb1,6host,5GP0ySZUhhFtH62pKtZJox,White Blood,4B9qoowLsGWYTnvusRXuPz,46,https://p.scdn.co/mp3-preview/54652f7a8ebd91fbbcb8b100f086277fa990b511?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Novocaine,4GKcaqt6PFor4siHXMO42e,The Unlikely Candidates,4hwJwkgsufeilLXS1ZfJqq,Novocaine,2CnxyJ5Rtq0KHLTXoN9eV5,65,https://p.scdn.co/mp3-preview/17f300eb00c768fda52d0612324359225759f163?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Somebody Better,6Sciu3OE4WwJF5l0pMWjZV,The Million,5cNXz6snMD9WFgIGEZ9uo9,Somebody Better,4PyWVo2A1WarV0X2h9O81t,46,not available
38,Get Around It,1pYAznNyenKj8avi9eHqxY,Midi Matilda,1vXoKc82szC0njIdv8vVgO,Get Around It,1Yy47ReDZGx6WB1pPfAOcI,44,https://p.scdn.co/mp3-preview/ffd72a7a6cf9d4b28cd69ec27d854517c6bb1006?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Change,3bGWIrId9JXQYZZZzJIa0H,The Revivalists,5kuJibJcwOC53s3OkoGMRA,Take Good Care,10cYvuRfY8IpASva845zgF,60,not available
40,Main Attraction,4ZSyW6b7swz86ONngnW9SG,Jeremy Renner,3XlASyLS4HSUX3inS3tIc1,Main Attraction,6rb5G7qgfkFvmcbqgSSOxZ,61,https://p.scdn.co/mp3-preview/f6e47d57c04b2e66023ea37baaf8a0ec70100adb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,dead yet (with phem),1vgOqiI9YSONVN9NjH1Snw,gabriel black,6lWQ8ff0y4b0fozjUcmvaJ,dead yet (with phem),5rG1UhMfIzKf8phnfxOlvy,58,https://p.scdn.co/mp3-preview/294376af077ced68819cf6e9aaf42926ddf67558?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,The Hype,7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,73,https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Breathing Fire,5LtlFt0ezmwTv7SrqZ63hr,BAD CHILD,7ayksoJ16I0E4Riftzvfaz,Breathing Fire,2VaxETzIVKY0txFDOYB5e0,49,not available
44,Rescue Me,5dLP5JbgWGZttnUv4NFJeg,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Rescue Me,62Ue60s1T4isvLz36lrqhO,65,https://p.scdn.co/mp3-preview/09426b42a5df9728ab7ab12db166eeeb7321f93a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Crash My Car,1SDLrgSkAw2LcdXfWArPgs,COIN,0ZxZlO7oWCSYMXhehpyMvE,Crash My Car,7gpJnk67Ft1A5KJfVjaLqa,42,not available
46,Dream Boy,2D9g5ehdnHMnnzO2npi9PG,Waterparks,3QaxveoTiMetZCMp1sftiu,Dream Boy,3DKbtLyzu1kGFSiaRWD9dC,59,https://p.scdn.co/mp3-preview/7d72b6af3e62724d2560e946d15c902b567ca3ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Send Her To Heaven,3HbablKHLbUEpn04GZiOWU,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,Send Her To Heaven,4kN0SVgy0MShWKWpurdkBi,58,https://p.scdn.co/mp3-preview/2c5ff4a36196fe3e0026c86bbad1f43397644354?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Looking for Some Light,5FMiVutzW8Q66daCSTYkO1,Colony House,6R664N4cEza3eORSqKSgO4,Looking for Some Light,2PmbA4D43mTjgz7e7mw4Sq,51,https://p.scdn.co/mp3-preview/0a765776add249c8195452d451658d276d1cb191?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,I See You,3EqHFfCSbX4Z1pX8JQ0c0r,MISSIO,2HOMW1liAxI3URnEq95SMS,I See You,3dDqhWFE1ev9y7mnkEEG1p,61,https://p.scdn.co/mp3-preview/7f0707be9346e4411d7ef9ad0e6c92e7813c575b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Summertime High,3v99ezFrtYx08y2lRB5MS5,Half the Animal,6oHY2GHcrGTZmLZxt2xswT,Summertime High EP,3mydjMgqrpz7nM9flvpEtn,46,https://p.scdn.co/mp3-preview/cd1af4354a40fa0a5e6c1aeabc2635f31b19874c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Lonely Vampire,76L3MR7NMLg4Po6EZ4jH4s,Weathers,4OTFxPi5CtWyj1NThDe6z5,Lonely Vampire,2rnNskKaPVF6AEk6SXjyCS,48,https://p.scdn.co/mp3-preview/9d3c8d03f7f801d937e25d05570145a8cc2d25da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,OMM!,63pmG5e8TnsvjeaK1KDJ5I,morgxn,034u8Qcs47NHkRQXaWkLXW,OMM!,5Sz5W4DHAoTpkB9gmPFlfe,45,not available
53,Can I Go On,1KAjANjVUA8iTjJgNZ5kVL,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Can I Go On,3bHangv7GLUvUEumNzvNRd,21,https://p.scdn.co/mp3-preview/b678796dcbe8d4ac9406465e7a8cb6d2763b9e64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Dirty Air,2XBcbELp9GyzFfEdNFpcpk,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Dirty Air,4aJSpKresEm4EVdy8J0OmP,47,https://p.scdn.co/mp3-preview/9601ba67aa89a616dded1312faad064c73bff147?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Typical Story,3CTBO7cZM8tM3jIZmAWiFr,Hobo Johnson,05SdqPzK4m3k1ljK2wrTSP,Typical Story,1I7OXajBucy6Mlkf0NfrsE,65,https://p.scdn.co/mp3-preview/168d89a56bc314ab7a449fae5ba634d5c0384284?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Complainer,57PNPoQwWae2Mna894L6py,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,Complainer / 4th of July,1zpDOBgaGi7vIOo81J4p4H,61,https://p.scdn.co/mp3-preview/e24bfd0516901c706922f595e0bf7373c89ccc70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Dear Winter,4Dd0v2LBhMpqOwhmeU4yBJ,AJR,6s22t5Y3prQHyaHWUN1R1C,Neotheater,02tIakRsIFGW8sO4pBtJgj,60,https://p.scdn.co/mp3-preview/ad75f7e3ce0d60c163bdc4de7d7f212c0ceaed20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6bWBLZLBRQEJ5KsLicouNB,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,I Think I'm OKAY (with YUNGBLUD & Travis Barker),6iGIjsBt4RJQFYlBBiNk39,62,not available
59,Queen Cobra,5G6J212I10FquxqucKKSti,The Orphan The Poet,4cqHx0neEP7BFbGlKkmIHQ,Queen Cobra,5Sq3KbQRVpwfIIajnrJCJ5,45,https://p.scdn.co/mp3-preview/7a70abe6a33b9ca40df5f30d59efd4d9cc9205e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Sister Sister,00fK06FovHBAJN8IUIdLJO,Palm Springsteen,0uCRjVc8oWaEvazuCMDOXD,Sister Sister,5E6sWbyldsMalgRzm6DQeU,43,https://p.scdn.co/mp3-preview/2a19d708940828fd0bdc72d1929978a425ed7904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,2all,0ZfEeIu7CNHQhbCTiVv3cx,Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,The Balance,0eELSmJrZpzOKfdO80nJ9r,64,not available
62,"maybe, i'm afraid",4LU5CO0wa6WryKRadMqFZf,lovelytheband,4KJ6jujcNPzOyhdNoiNftp,finding it hard to smile,2AbPwLvpR0FwpqGt4ZY1q4,61,https://p.scdn.co/mp3-preview/d2cdfb8f1f5e3c63dd883f5f827fbfe1a73aa7de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Obsession,61HHdIlDFj7Jxo9Fwym21d,Joywave,1UfzhwcOR4yfX7yHTPfC9m,Obsession,6mcgYTmEniINAlei5zi66F,55,not available
64,Bring It On Home (feat. Phillip Phillips & Maddie Poppe),7J1J3w67B0VEjF4jj0NzmE,American Authors,0MlOPi3zIDMVrfA9R04Fe3,Bring It On Home (feat. Phillip Phillips & Maddie Poppe),6Qw8s6SvElvHu8usSD71lP,57,not available
65,Fools,7a0VLUciBUdE2RmpEnod9O,ufo ufo,1TsvuGn3XJ4F04fRavTonu,Fools,1pKwcCYYMtYWsKnXvpmNYP,58,https://p.scdn.co/mp3-preview/9bc29627e328729192ace8ea391ec2af759800a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Night Running,1moShKo1RrxZ8PCrhSIf8Q,Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,Night Running,7gaGQp9ZgV1OdSOnNkyHzB,58,https://p.scdn.co/mp3-preview/77d5e9b6a71c0daa4adddc8faea8c5b2a71b1b6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Heat of the Summer,649o53ULWYN1y7V2OI5kgo,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,Mirror Master,6blMxezujKgPe8HjHNveuG,65,https://p.scdn.co/mp3-preview/6ddaf3b50d6216b9e1a24cdc7c8c0a11eba64586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Die Happy,3sZSnOUL2kskr3gpyXCEWk,DREAMERS,1FgsVeOhRYuSw2ghkIXV0A,Die Happy,4CuNmnvTXi3R5cDqgf5poF,12,not available
70,One Drink,7vSm2hckpPHTrIHpqmqOze,Picture This,7jLSEPYCYQ5ssWU3BICqrW,One Drink,17mqQVWnH6PEHm0ra4hIWN,9,not available
71,Long Time Coming,3GjXdHjA4Aa1Lz9fA63fVI,Jagwar Twin,4luZExkmgn39Kj5XsYWria,Subject To Flooding,30wS5swfGB4JMnXg4pnKXM,48,https://p.scdn.co/mp3-preview/375281427940ae7a01f86084cde0e67d0daf0f4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Falling,1aOQ1bv8iM4gIkGLvTKutr,Betcha,3pT3KTodKJRyqpxoXINfQh,Falling,5LjIV7LKEYI2045Alb5yyP,44,not available
73,More To Life,1Bz0rYLV9vBU5fRcifDg7I,"Albert Hammond, Jr.",1Li0eIWeMeWcOOWpImcG9H,More To Life,0mzlOfMctWxYFd3VW1wnDd,28,https://p.scdn.co/mp3-preview/8b4f08bb8e2baf6267db660235c9325e3f53ccf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Are You Bored Yet? (feat. Clairo) - Big Data Remix,4l8pWJZyeYvB2C6tCuLEZx,Wallows,0NIPkIjTV8mB795yEIiPYL,Are You Bored Yet? (feat. Clairo) [Big Data Remix],3zdqePaGPp6qZYzGhZbRD8,50,https://p.scdn.co/mp3-preview/1f372fe3e050ec5156bf331ea4db0317510ba7c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Rockstar,6XZ8SzOsrIPce5JdgMeJFF,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,Don't Wait 'Til Tomorrow,20XIFoAtLYdFGnDoqNwnbf,56,https://p.scdn.co/mp3-preview/0b178bf5db6f9177cccf014f32335a1673edb621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Exits - Edit,2XZRWWl9l6I9SWwkV8JIcc,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Exits,3vHmY1zaGCGHXTkGNQCU6f,48,https://p.scdn.co/mp3-preview/afee9ab93f52ac6f0cf6377fe674f1e6635a9861?cid=fa83a2fec7c440b7a2795d600d6b2c7e
