Rock Hard,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Tapping Out,65nxwwEt3wwNv5hFqUQWph,Issues,3zRstk92RGCVDyslSySNsm,Tapping Out,2jLAqtOVud3faj6AsgHaAc,60,https://p.scdn.co/mp3-preview/80bb9345eaf10cd7a04e6e68caf4cab20a8c1cad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,W W Y D F,61oG7DvhBOvdXBALpVY9VG,Zero 9:36,1V599H9vfq6hWe2hGzyzI0,W W Y D F,6SCi1d5fWBXhtjK9jQRMk9,41,not available
33,ATTENTION ATTENTION,0XRjftXFxSo0ZEC0ZdSxWQ,Shinedown,70BYFdaZbEKbeauJ670ysI,ATTENTION ATTENTION,0dtwIycvTaFNjo44QRwWz7,56,https://p.scdn.co/mp3-preview/4132819306b68eeef4148ebeff12477f69c3dc4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Blue on Black,7nioCrPVTkYopUB1rTvtK1,Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,Blue on Black,397EWgMoVBeg3rzxi7z656,65,https://p.scdn.co/mp3-preview/144a98c442362d05dd5cc94c8818d2a730d4cbc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,No More,2xECSFHPgCyElhTVRaHVYP,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,Evolution (Deluxe Edition),1IpufqmucrxYUJQxf1AP0n,41,not available
36,Renegade,5YVtM6pBdjRhPCr9iH2tMC,The Anix,6nFvVbL2RN5czSm7NZjE51,Renegade,31QNClG7HObkBtqtF5Kvfz,46,https://p.scdn.co/mp3-preview/4b6c9ec3675635b77be0272ee8c547d87cacc254?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,I Am Broken Too,0jCVWQsoQM4UDvd4OyQbA2,Killswitch Engage,37394IP6uhnjIpsawpMu4l,I Am Broken Too,2Hs4PGzI3S3Xhx9h72g1CT,51,https://p.scdn.co/mp3-preview/aa845715f4815c0396ceba53baffaaa0d19bb8d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Save Me,02uw1BC34CaOgdnI6hO8Op,Lacuna Coil,4OAddazJM576euUnFSvXSL,Save Me,2s9RyhUVacokAqGkGE3rSL,52,https://p.scdn.co/mp3-preview/67440bca4e44e7206d140ee18f0551b150e987fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Loneliness,0Zawi4KtjKvLWCQZMPP2W9,Underoath,3GzWhE2xadJiW8MqRKIVSK,Loneliness,4zyQXrqSKRzvyHxpmYcRza,50,not available
40,Low Life,3eDJXbkSGulxTuB2L7fP9B,Crobot,4ygqEKxbe61knnDaodGFmi,Motherbrain,5bS8kLirDX380TztuopXkH,49,https://p.scdn.co/mp3-preview/d0211e0884943fcca26b2b7577aa2e08ff4f61b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
