New Noise,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
85,Full Moon Vulture,3LnHcwpUqyku4NPJP9MDDU,Alffa,7iY7ckZelLh9emhog8UrXD,Full Moon Vulture,3jWNyCL5R4BrOpuqmzGgZS,53,https://p.scdn.co/mp3-preview/5ecd04232b70d8841a107ffc0233e970043b1432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Heavier,4wa8cD29eKNVPBEj6GRulK,Slaves,4rMxZovfLSDjEL9eI2pKo7,Heavier,52ECNHKt7Ha1XtnBroyL7y,56,https://p.scdn.co/mp3-preview/ffa027744221dc122964e915ce97ad0ce6535317?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Cruel Love (feat. shYbeast & FRANK ZUMMO),6VBCChhlKn6vOYCfzzuE4q,Kayzo,72iCiKwu6nu6Qq9emIwzYv,Cruel Love (feat. shYbeast & FRANK ZUMMO),6wtx8rqzgRoBFClDmPrr8l,49,https://p.scdn.co/mp3-preview/6577b0691b0745b03c4becfa96e00cbb1b0f5812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Messed Up,51EU0HEsjbN3YudW5oPj08,KIITA,1Z1d9w6X8vxMyZvM19a7vy,Messed Up,314gXwQOtMHSVDRzz6Jq43,43,https://p.scdn.co/mp3-preview/2c78bff9d9a428d0452c65ae89eddd077cdeb78a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Disappointed,2SL5Pl0apOvmKPxEC4SRQY,Last Train,4S47feOS2ATuhc7Ao5ilfG,Disappointed,0MhPaOWZOs6lJ4Gy1ALVYq,39,not available
90,BLURRY (out of place),14uAFiZ94iMTeEpXq1cLCi,Crown The Empire,2vKiJjsgjgqIECUyYeIVvO,Sudden Sky,2L6KNKYHaXNPj4lXHSp5vb,57,https://p.scdn.co/mp3-preview/e1e0ce099067af7611eced94cd9f685c80a0c685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Eye To Eye,0DdGVTB72eKWSDjkPLjuDv,Tyler Bryant & the Shakedown,3Ig1cmnFAUxpTEYVjTRkLo,Truth And Lies,7KAu22Uam2on7ZzDp41w72,38,not available
92,The Rush,0GY2MWZBsPjHJetTPAacuG,JJ Wilde,1pLZeUSXJwVVJSPhmBSwf6,"Wilde Eyes, Steady Hands",4PNTQIrZzdj2FJEVzyrxTP,50,https://p.scdn.co/mp3-preview/b8e50621765b30b4a33fa39c8ff453088262dcf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Someday,5YshPOhhYcPwAtlNW4GT8L,The Parlor Mob,1U4d20oJAq9aLa2mhDGwVV,Someday,3ulbhQbdPxGUpH3aPe7gKI,39,https://p.scdn.co/mp3-preview/1d96b3decc85c3918af9f52e23ebd7fcc2a4d488?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,You Look Like Death,6RB2tP7MVau6XHmWfYxVTO,Gender Roles,62Qr6xBUFiFSOyhR4UKCKf,You Look Like Death,1bg7t2NnSqpp6cDBWbkmRZ,33,https://p.scdn.co/mp3-preview/7ad797df8869c0c99deac4266293f07ce9410d59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Demons and Angels,48tjG2oKWT9msX6ZpgzgWD,Lowborn,0tAM9QPUwdBLBPbtOzJD09,Demons and Angels,4Ug1geIHhuNBcffhWpkJQ7,39,https://p.scdn.co/mp3-preview/faf5e239c42887cec16af2f53ab7a089d690fd2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Prague,3hZcYvffKMSOTA8pGpFpl1,Good Lekker,0N8baTywD0HTek7BvdMIv5,Prague,0Xrdsjl9F5ULyrq0fY3DLE,33,https://p.scdn.co/mp3-preview/d45beaf05e64ac6bc52d661e4cf3f15f250142a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Until I Found You,7MJqRdFg4A28e254D7NIns,Who's Molly?,5cdF3kdHKfTkPS9t9778wp,Until I Found You,1tuWE1k6mUV9dRqsgCl3og,41,https://p.scdn.co/mp3-preview/bce86e984205b99e53b01025a3e364d057c44bab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Walk Away,7fjkeqkcVXWWimcMMEW6Hq,The Jacks,2MaOt31JjxLUV3E62dkbRw,Walk Away,20t1JYwBYZGJ0X1zSAkqMF,35,not available
99,Hymn for a Droid,72TZcPdeXeCTxVhnvgCid3,Psychedelic Porn Crumpets,7GRrLcUxwtQLvOpO7OHO80,Hymn for a Droid,5AJAYxR7zYwbuH4cIcSQ68,32,https://p.scdn.co/mp3-preview/0d299389155d9af8224f4360c5f6c87cab1c845e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,No Surrender,6oylMTVIJOuouQuHEGwuW5,MID CITY,5CfLIXfiqkmqz5If0yFu5E,No Surrender,2Ni1PuNMXGG1zulOXApomU,39,https://p.scdn.co/mp3-preview/8457693bb9dddd31e20372aa94467fbebf604b73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
