We Everywhere,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Cake,0RUHX2p7EZ168CxQURXJRp,Juls,7BIkk865pwBrSZetA8Izic,Cake,6WpVEG737r5citJlfoJlRc,52,not available
11,Simmer (feat. Burna Boy),4JSEMSiKPVcIEBQIlmGuI3,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Simmer (feat. Burna Boy),1l08IrLHEL9QQfsYBEs9MM,73,https://p.scdn.co/mp3-preview/27decbe2ead96b166523cbf973b9dc08ba84444d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,FIND YOUR WAY BACK,65kk9CAAqFI3LWBEhUwVqd,Beyoncé,6vWDO969PvNqNYHIOW5v0m,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,66,https://p.scdn.co/mp3-preview/43718dbb86460b676dd73b7806ca11112d1b7725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Shine Girl (feat. Stormzy),3uAuSelpsppdSCgnSLPn03,MoStack,14H15rElxdGClICOZXEYHP,Shine Girl (feat. Stormzy),1BUxXzT10AMAgJR8FTRjA4,64,not available
14,Raw Dinner,2PyJgiGTC2jhNkqtPBwHsv,Santi,15GgEOJiFyjQm4tZ4D7qih,Mandy & The Jungle,4IMFZY59ree679oXQS36xM,56,https://p.scdn.co/mp3-preview/d764b26b1f430545fa0023452b31e7910bac6d27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Call Me,7iErqjvutti2bN7DWTfIRD,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,Call Me,2MNM5e9lBOtnNLid9hQwh0,14,not available
16,Gum Body (feat. Jorja Smith),5u85l53Y04W59OfzQUsQX6,Burna Boy,3wcj11K77LjEY1PkEazffa,African Giant,277z75G1Gdz0SWN9pegrrs,38,https://p.scdn.co/mp3-preview/bdc38128e67089698b6ddce24a5becec4e88ddca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Another One,6m2cDCLn156LE69iCahkvd,Tantzz,16sa8hOHE8PVKpxfnnq4o1,Another One,2xJBbXRoyiBnA8VbwV1qOH,27,https://p.scdn.co/mp3-preview/affffb0f729f8358eb7db6f858b18ce5c1a135ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Fashion Week (feat. AJ Tracey & MoStack),78KyOmqWmqLkQcXO1cA7MO,Steel Banglez,6k970rXaWAWVfWMjqWtFNI,Fashion Week (feat. AJ Tracey & MoStack),6OvaMPD9RAQ3tVTijCTgz8,73,https://p.scdn.co/mp3-preview/5bcc0a842656fe97ff3ccac949e915d27ce4ecc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Miss Diva (feat. Yungen),3mTSAVBL7yd7iHAaglXUPY,One Acen,16plk1BhihSieDutGFbLt8,Miss Diva (feat. Yungen),2v8CY04DxF2k3PgfyEz8mi,66,https://p.scdn.co/mp3-preview/643264e93863ad0f6ef5462d2a1e6a49aa40e256?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Options,2cytBOLpwFRX7J9URCrFIe,NSG,31Ua7zSTJxegjyd49ujbSA,Options,35MvbFXqp1ESDkKNqYfOIM,73,https://p.scdn.co/mp3-preview/f20004a49a52baf62e8877674c94ff4d1fc1bfd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,JA ARA E,6pdip6qgVJOI5JxqgbAlu6,Burna Boy,3wcj11K77LjEY1PkEazffa,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,68,https://p.scdn.co/mp3-preview/2453ddc5b6b5a4c14ddf48751c6b462fa80c6126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Rapture,0PtDNK2Q49fAM4ZbKtN0mz,Koffee,1gWjcmBsveEYMxOZ0VRi32,Rapture EP,0v1VLjgwVun46wA13DWUJI,66,https://p.scdn.co/mp3-preview/054fb70f36f5da1dce06b316d4d334c2c88ca988?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Take Me Home,4JP3dHzz9RwACJZePm2vqL,Lady Donli,5joHzVrVQzu41KFBlZQDvG,Enjoy Your Life,1tbGvVPTxiB6eZUbDjbSvv,36,https://p.scdn.co/mp3-preview/e974b2a4eab4393665f96d280fc6680de704494f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,I Like (feat. WizKid),5s7j77zpP6e9uz2Q1DU851,Kojo Funds,2o9hRZ3xI27UQpHT61A4Mm,I Like (feat. WizKid),7b57oWMZmdG8wjwjtRiKSO,69,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Too Bad Bad (feat. Mr Eazi),46B65q1LbqKB9ikpuGMI6D,Shakka,7fqDRFkiuwzFDde1K0taVs,Too Bad Bad (feat. Mr Eazi),5vZve4QjlsMH4YGVRAT9GO,61,not available
26,Anybody,6BtXtwOOy9CfpdlClUscJv,Burna Boy,3wcj11K77LjEY1PkEazffa,Anybody,0iiyqZDjLMi7qb9UwnTrwT,26,https://p.scdn.co/mp3-preview/1466bc7cec0747c69e9206fe2171086988196860?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Show Me Mercy,75lVHFgJiFKV9sj5rtmGKd,IYKZ,0TBZNOKMncugSI36qT2i4L,Show Me Mercy,6ovzWCYl8TzhBsmUIxNZXy,47,https://p.scdn.co/mp3-preview/6169093d77ac63af54be9d43896aacbb0c3810bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Sensei,609xDejvWBG3sBUAfvKUTC,ZieZie,26XzvosH2cl8Re6KSo9m8Z,Sensei,0hIKsgXEh1KcYOTjXPIq5l,65,https://p.scdn.co/mp3-preview/b5593ae408d063b74e2ead547a484a97ae8604e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Energy (Stay Far Away),11RIJRbBfyLlJut96itSFd,Skepta,2p1fiYHYiXz9qi0JJyxBzN,Energy (Stay Far Away),6c2FMAZeFKi8pui6dlZqXB,70,https://p.scdn.co/mp3-preview/e42c0417f21c6afddd90a46013681c5e4dd57acb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Zodi (feat. Mr Eazi),2s2arJw9uQkl9P8ZWwkGmr,Jidenna,4TsHKU8l8Wq7n7OPVikirn,Zodi (feat. Mr Eazi),0tJZlzFlCPdVv7Ef3PwrE6,58,https://p.scdn.co/mp3-preview/351882401235d088189eaad56815dc468313c60d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
