Very Nearly Nashville,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,107173,spotify_uk_
1,What If I Never Get Over You,1kqVSbwdlNKsPGv0aehcAZ,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,What If I Never Get Over You,29nEDtxAppakEN3LIDZD4a,75,not available
2,Place in the Sun,4RQdARC6X4nbQJfebzYnvd,The Luck,1ZiLKiDuHyrckm1ubrrYtK,Place in the Sun,2Llw00M1NHddyUejHuCTwQ,39,https://p.scdn.co/mp3-preview/349618c99eb868289da09bebf53b7475a8c67e99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,We Were,6JOeNbZ3X6dtXusG3hkHn8,Keith Urban,0u2FHSq3ln94y5Q57xazwf,We Were,2yXYlRyEDDjZwKJ9nZbSib,72,not available
4,Someone I Used To Know,5MWj28tW4Kt3ISnIXdTQux,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Someone I Used To Know,0eznD0XpmDh5Js0tqEMHPc,68,https://p.scdn.co/mp3-preview/1ddb5bd78e94b39d1b2409603f10fb60f34417bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Breathe In,05jMBDlGSJgIqEuw5xo38F,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Breathe In,2td0d4u3UYjWusxqccZVIo,48,https://p.scdn.co/mp3-preview/2e458caa2a0bf6b43c18aa383e47ac05d3ed3469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,One Heart To Another,1OxdfwY8faL2y35bCUn3kK,Maddie & Tae,34bhyY8jfKez7uKakMfy4y,One Heart To Another,5SGkWkCxDBxdiMZZ92ToFn,53,not available
7,Speechless (feat. Tori Kelly),7nsOsdlqa9Srr1LBYyd9pC,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,Speechless (feat. Tori Kelly),4PG2VYLVZls4GxvLjKMrp5,63,https://p.scdn.co/mp3-preview/0e59ba13c954a81feb7abf683638ba8f17ada2c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,84,https://p.scdn.co/mp3-preview/f618f9939f60ff4db2122bfd45a7e58be558d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Broken Arrow,5jKJlIno2OGIauEMYGVivQ,Frankie Lee,5YK4Q85VupOqHLBsYaeqoW,Stillwater,11UYXSq3fcdcB4jCTUcRQM,34,https://p.scdn.co/mp3-preview/44d84bf597da5cb15ddc49172a68031438e13481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
