One Perfect Morning,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7519,spotify_uk_
1,"It's All Over Now, Baby Blue",4qaIiHj2xKsrLBWymx8sA6,Them,5BaHqGtf6UAZnHfqdPaTDA,Gold (International Version),7c0kHEfTvWuKKzhyiyuTNH,5,not available
2,For the Summer,09ZSm0xj0pknpfywcbBNkP,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,God Willin' & The Creek Don't Rise,7uDlfwN1xFTRvTffXYPHM9,49,https://p.scdn.co/mp3-preview/6cf7ec3d83595dbd71c6967a6f6ff25f4e204faa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"April, Come She Will",2qbtPA6GG8ybZ8iMdcNBAJ,Bob Morley,4v46WcEv637lcXh2QTwFSI,Reflections,6jL51KJ2fRgz3TURay6rfb,4,https://p.scdn.co/mp3-preview/af77cb5cbf0b0948a2abf64baf0560b15425fbc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sunrise,0jGVEPscW8KmqktoHqv2Pa,Simply Red,1fa0cOhromAZdq2xRA4vv8,Sunrise European Single,2gGRaRaEHSywDFAhQUfdGP,56,https://p.scdn.co/mp3-preview/aea4b67daf974d1bfea508f69a3c9d91b6650c23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Old Pine,3CAX47TnPqTujLIQTw8nwI,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,Every Kingdom,57PgT4iuDurzlJnkYjrpce,71,not available
6,London Conversation,3tMdFZyIZrztbvoogcopzD,John Martyn,3JulrApLVT81sb2HkfwMks,The Island Years,5SYMfLNNRiXcpft3xCp7d4,0,not available
7,"Sun Comes Up, It's Tuesday Morning",77WdqtVKYBJ9giaXIPDiOo,Cowboy Junkies,3CYSRCHfilgR8DSbkCMp5j,Best Of Cowboy Junkies,6RwWWgyax82t3ErtxzNX5i,23,https://p.scdn.co/mp3-preview/fd19b7cc90837c5aaf4381881a761a1c3ea46f23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Echoes in Rain,0YdJ9sgBxjqK74oFLOx64c,Enya,6uothxMWeLWIhsGeF7cyo4,Echoes In Rain,3cIOhmhGz4sdi2jbU05TlJ,32,https://p.scdn.co/mp3-preview/945de6c8976e7d1935218e8905c29457d6f04ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,7 Heures Du Matin,79Ddi0lrD82ilLVmuyX7nN,Jacqueline Taieb,2gaXk926O69Od01e5CSFdH,Late Night Tales: Trentemøller,4fCBIrpNOnQVk76LCZlzLB,0,not available
