Yoga & Meditation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1176943,spotify_uk_
1,Afternoon Spirits,6kAwnVIencquZ72t4X46Lh,Cora Zea,2GW7BMmmFwI0cDvop6sOWg,Legend Of Zea,0aovJaJL5ehp9AtwcSJtce,62,https://p.scdn.co/mp3-preview/dbb7270b81b779bb6714c026d67e44ea01aa08eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Light of Day,214O1Gcgv9lCWJoley3Ttg,Chymeris,2WuwBckoWivO9e7DgRFt6F,The Light of Day,7mMVxWIPhNEyozLDXxqw71,63,https://p.scdn.co/mp3-preview/4ed1521bc6b6094ece5991bf91ed7ba75dcd8abf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sleeping Trees,4LGW9dwnuR8a3G1GWcAubi,John Ocean,0UWgEdhywZEON8EtIBYGoL,Forest Wisdom,6hZoc7bZWQxSUg0DyPMYIa,60,https://p.scdn.co/mp3-preview/6e16ddee0ac6e9320bcef6e9a16afe5b2e43233b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ava,25CNrEEJa7OHKUHjirHfqm,William Edessa,3APfshfvEFD5G5vkZGvObg,Novo,4T9SRXa272N8cLRiUpTMIB,61,https://p.scdn.co/mp3-preview/10c83566f884ee6a8c77e94c9b33a148ed79d686?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Lone Star,1bb6MO8FWJ9deNUfLcNybk,Malto Fanier,5i9rsvHRwM6JoQz76y1wC6,Ambient Sax Covers,6Heboctx6RWsieAiRUCTNh,60,https://p.scdn.co/mp3-preview/81540fe7a79709be8146bdf03509726f70ad8b4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Limoges,6Prt67giLGsZm60AjT1dlh,Primer Dia,5kXyMVyXSK2cHnjOja5hRJ,Magnetic,6fg80AhUt2EltjNlo2kMZa,60,https://p.scdn.co/mp3-preview/91f5462cf9841b8aff5e33dd96ff4c264df99146?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Harmonium Song,0NFfXmRjbDI0cjEhiCbO9c,Joseph Beg,2N40EmjIUVBHidajBVs3Px,Mountain Path,41hMvCoBt6DXAu6w5avfYt,61,https://p.scdn.co/mp3-preview/d952964a634b4f29c9a352c3992a1dc3f67150fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ocean Safari,1kOp6oEC9hivJjhTyPs2AS,The Aural Healer,5aS55avvX9UAYN3LVTRwyr,Simple Habit,6DcCzJdg8MRc9s6jFKtXl5,70,https://p.scdn.co/mp3-preview/f9b5523fdd95fba3373f8ead66f8be83c66b08aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Divine,49WYvbLAlLn9e663fBmCUl,Tejal Yann,6eGKvCZdc06HkiwZKFlcBY,Divine,2BrKNAMeBGtlyRE4J5SERp,68,https://p.scdn.co/mp3-preview/53e07ee5acb20a0481ce5602348300f538f251df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ballerina - Ambient Version,6OoZfXgh8Y6V869KQMVY4e,William Keats,17LlecIqr0KpoiUMya3KEO,Ballerina,33QaWcLXPuFCDEbluuL4Nw,64,https://p.scdn.co/mp3-preview/98876269d3f4a881aa32def532d00d60ca399358?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,All Rivers,5bw8YBybhZA37RZKjZ2voM,Static Garden,3uuH2jEYv8ZArIf83io4hN,All Rivers,0QgSmP4m5QXm8s76qrUM91,62,https://p.scdn.co/mp3-preview/bada9118622bc7f52264d755d5f731938ae0691c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Reasons For Being,5tY0sWgi6v0UEibwYjfWlL,Deep Watch,1X1f0eZsNTvUUZ48ZGmFtd,Reasons For Being,6X9Eg8aDPNEIEYFVdG6zNS,68,https://p.scdn.co/mp3-preview/9fa1a66eb02569443cfd9e23535758508e8a1810?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Blanket of Peace,2PvRoKLmB0Q211nKNw8vmS,Mr Pillow,3V7GUrlrlXrhNa35wzdqUx,Comfortable Night,3SBn1GyaNYMUUqIqWTlbjO,61,https://p.scdn.co/mp3-preview/a547f4c996c921c316890454ae069b4a6bf2ce34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
