New Music Friday UK,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Used To Love,6WC27GPEjsX24Vv12VX6mb,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,Used To Love,2oGxWLARSLplTHJ4HhiwPD,46,https://p.scdn.co/mp3-preview/2b7c8cc44731173ef40dfc48aac0358cb6d8ee62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,73,not available
12,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,46,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Trust Issues,2cgELeRnPeDFuGrY96Lj6m,NSG,31Ua7zSTJxegjyd49ujbSA,Trust Issues,3pVRk6iyvY8RDu5aQl8P41,61,https://p.scdn.co/mp3-preview/9613344662a8cc16ee71afb393a90154c7f4f556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,63,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Talk Nice,5GZ4TWUVuQeA3xhSkTf5qH,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,5McUs3kD5JytbY7H39Ori0,32,https://p.scdn.co/mp3-preview/0527e8a5b064a0aeeb15be2cedca6fdb11e62e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,91,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,not available,not available,not available,not available,not available,not available,0,not available
18,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,73,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Take Me as I Am,4arqWYlOUc6KYMJxainVcE,Chris Lorenzo,7tm9Tuc70geXOOyKhtZHIj,Take Me as I Am,6Q9A8WKylhaERYmuJyYP4I,52,https://p.scdn.co/mp3-preview/6f3cb90b146febb9276e623b65bcf4742cf2d065?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Death Stranding,1KOGBw8kuawbxJWqcHypy0,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Death Stranding,3HfucWtXUkkhEVwIohmJRs,64,https://p.scdn.co/mp3-preview/6936e4c87ae4b0c2412507c8ca55fcd9c3dbb678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,75,not available
22,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",26BkXpWAaajgL2Eh9TA95B,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",3kMflVVnVzgLP7EjQbidFU,64,https://p.scdn.co/mp3-preview/d01dfa82d8607294ddeb3b901df46142bb6bc545?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,The Bones (with Hozier),6HzebUNgGlzC1AMBwHGIkH,67,https://p.scdn.co/mp3-preview/e05874f657064f79368d2db7459c5a0ea8740b45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,White Noise White Heat,2j6QnCn4eYHfSyowg0Aow5,Elbow,0TJB3EE2efClsYIDQ8V2Jk,White Noise White Heat,4QAQYqa8IpXndSZ1J5G8AM,49,not available
25,Waste Your Time,5YwxSa50wbOB8bw5jIllgk,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Waste Your Time,0rKVn3UEXnBe4tEDlNvI8K,59,https://p.scdn.co/mp3-preview/8ec2b3b713daec0a1191db214ac23467ca1b21bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Maximum,0eTUh4JHjK4zHTEEB3gxcl,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,Maximum,7cLNt4D7pBZ344vsTQbiLc,55,https://p.scdn.co/mp3-preview/0ce59efe93c612fa5d21f6fce2e598633617880d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Begging,1pi8eWf7J3MrsCBomBELtP,Moss Kena,2u6jNcpusijFS6ZzuWRwMv,Begging,7zbH1cJisTXK3gs9Fp7qgQ,39,https://p.scdn.co/mp3-preview/1e96051fa15e105e8a93f92c732492fae6252a3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Need,4tjiMso6FJp1FTlZKOaqqX,Danny Howard,14MtanGZe4G1fzC8raLFUK,Need,6Wen5NH3UlAPlLrY50hzHH,43,https://p.scdn.co/mp3-preview/e3debb37707423605c9b14382301ce2843894968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Take What I Can Get,4oiruLsVSpSrjInP093vrX,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,Matters Of The Heart,56GwQuFFJwfFMcSsmvwUYK,37,https://p.scdn.co/mp3-preview/fc43a440b234554ce2b48213b7ad7bf9aa741c56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dancing Under Red Skies,4QOfUrTWpIlmziECELlCYN,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,64,not available
31,Roses and Gold,7q2QAMBEbrjRfi9DoeCLwn,Biig Piig,4GoD5FJCgC0lbzde7ly44M,Roses and Gold,14rJxmRmWRgdJfk71DlElL,43,https://p.scdn.co/mp3-preview/0f9191233e2eeee5817e924baf0f2cf6474f75af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Galleon Ship,0Z04fUQyKGls1iV1LLHVER,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Ghosteen,6UOvMBrdfOWGqSvtQohiso,61,https://p.scdn.co/mp3-preview/4f3e74ea37eb5629d210c0d35cc20e60accc5483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Don't Speak - Recorded at Electric Lady Studios NYC,0gzMEfErGPaCFbQJdb2HQb,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Spotify Singles,0tUnCfqBLeZlivAkbxvbib,57,not available
34,Champions,3CxxCJdGx0ek10DwOWfIA5,James Blunt,7KMqksf0UMdyA0UCf4R3ux,Champions,0ESUlBLp4YSMMap5rQIhvt,59,https://p.scdn.co/mp3-preview/90e7c3f28856c064fac7abae8d1f1e7ff63fc769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Return To Love - Radio Version,7uF1QW5AQdSG4CxDrPTnwx,Andrea Bocelli,3EA9hVIzKfFiQI0Kikz2wo,Return To Love,2piXcsaXhEcRXaSXVfe4aw,59,not available
36,not available,not available,not available,not available,not available,not available,0,not available
37,Everything & More,5mVoeGuLmmzZ7dUrgfIWuw,Gengahr,2ATweaQe83QUQVjM8LMh7J,Everything & More,0YB47xmwpBv11Ad48ueGMp,39,https://p.scdn.co/mp3-preview/6579243fbcb9ec51653a8e9d388946fe02185fba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Brixton Boy,6ObG995dFhWJWmF7x0plhM,Skengdo,3LmkRGuUav9Un8TDMjwKSg,Back Like We Never Left,38FU32psYk6mJyxc0Af1ls,45,https://p.scdn.co/mp3-preview/edde8ec51aa5eef10de4c8ec54af881366765f1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Orck,13AsTzqHpaD6qleOQ7ypPM,Gesaffelstein,3hteYQFiMFbJY7wS0xDymP,Novo Sonic System,18y6apqHKwutkZho4fc8Sj,54,https://p.scdn.co/mp3-preview/bbaa17bdb3a628feea1b8229319c8f2c9b3f0b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Buss It Down,5TInrshC2rQw7PbYgpBN75,Big Shaq,7mnAzEmgquhrVtGob81SmO,Buss It Down,1lAJxksjoCL6pIPg5sX312,47,https://p.scdn.co/mp3-preview/67f9dc5f03f4b36a44126f163e0c162a73681c85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ride (feat. Kehlani),1LbKAXTKaLX9rWXrR9C0af,YK Osiris,7meyrw7Or5DwteYxDJrkCM,Ride,18JL2x9ST4ZubCBLO4rbCz,47,not available
43,I Could Get Used To This,5BDmCfpzQeXT4AuxyO5ATs,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,I Could Get Used To This,6u7I12iNeaPAXdvOgxsaZ7,56,not available
44,Bad B Bop,5blPMqkukiOojuWW3RhCVv,Ms Banks,4imxqng3RrOBmykL2DhIJC,Bad B Bop,4MmDqYR2Pj6JKTPSRcV8w7,45,https://p.scdn.co/mp3-preview/d0ec894160d4cfb13bfe90da9a6b0db4ac665c76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Distance,520e9ia1ZRxBX3zxTTRoGA,Che Lingo,0xNKgWtSixAqcwJLM2c8ez,Distance,2k5KkQwd4tTRm66hVeXA7G,33,https://p.scdn.co/mp3-preview/09ba4b67421e03aecbc6ca1c509b0b53efbd824d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Sweet Like Chocolate (feat. Lily Allen),6r4EuFPtH2P8DJHBajoYaH,DJ Spoony,6tDESlsE9MXHHGHASpXukv,Sweet Like Chocolate (feat. Lily Allen),46VnIdu2vMb2uq89H7cZsO,52,https://p.scdn.co/mp3-preview/1cd7f9e69950c3838732704b45b17bf8db0c500a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,82,not available
48,Just Because,2jL6ecT93jBWaLPf3zCrYK,Dido,2mpeljBig2IXLXRAFO9AAs,Just Because,3UtfnrKjgCWc8OJiee2WGp,48,https://p.scdn.co/mp3-preview/1919f51d527ce51f803dfb47857fef1ae2bc09ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Heavy In The Morning,1ERPi46mkhiCL5XmTAdZAc,KAWALA,58bHgbHOExsHSOGlf0uUkL,Heavy In The Morning,6jp1isHMWcqdyXJQPc8fML,41,not available
50,Joro,3Yt1ovsh3v3VEzRuhI1TL5,WizKid,3tVQdUvClmAT7URs9V3rsp,Joro,1Mj4mLvCC9P4b167keUsRh,62,https://p.scdn.co/mp3-preview/269db9db4e3302b9a37957f442cbd082ddf68639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,New Love Cassette,4SsWVvNKAHJP1T2bP6d2ut,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,61,https://p.scdn.co/mp3-preview/d75ccf98fd8ce989406ebfbe149959fd10bd1ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Big Booty (feat. Megan Thee Stallion),3g8sG483Es7NcJyXgkF1nT,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Big Booty (feat. Megan Thee Stallion),109HkQfABlciphATRx9VnF,69,https://p.scdn.co/mp3-preview/b40c40518744a1ae9a5c18a48ba85fc45025d6a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Honey,25rmjF2ABLEzRFVHgAESVI,Sorcha Richardson,04Zh21lNHZb2MCCcRcN2pc,Honey,46NZA4TbdFvQJwOstfQoBd,39,https://p.scdn.co/mp3-preview/041ff53b0cccff4def7e50cbd0869db8aea28448?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,The Crown,1LEOpFhhTdJvI8MnvlfVeN,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Wildwood Kin,0gdQ8PGuLpDQnOKWMfOfBH,35,https://p.scdn.co/mp3-preview/3c389deee54d075649cedd71460a989fd334aac1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,One Of Us,30W0p4Gg7MeQKggG25b0J2,Catholic Action,7weMxddXvIGbPk8R8SkH5H,One Of Us,3yO97ochB2Y1Ta3T3Rm2Sk,34,https://p.scdn.co/mp3-preview/0ebb3d795b2f4ecc259e4a42a21ceaa6e3b3eac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Anasickmodular,3Cxn93PO2AsL93ZnB9qHg8,Floating Points,2AR42Ur9PcchQDtEdwkv4L,Anasickmodular,6kkA492r6X59UwnZcHW9lL,48,https://p.scdn.co/mp3-preview/f78e9f8763f0c0859a5a874bb593b3f66d044a03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,In the Anthropocene,4kkZw3jYSkBzQ4gud0FR82,Nick Mulvey,3x8FbPjh2Qz55XMdE2Yalj,In The Anthropocene,5Zk87hvMdYBv4y4bcOKmSx,6,not available
58,I Need Ur Luv,56hU9lS86U02iJx6WhYHmq,OFFAIAH,2E1NFr5AeEGUJkLUUsWCAO,I Need Ur Luv,0CXsQO1YkSz4cM3gv2yCQc,40,https://p.scdn.co/mp3-preview/5e984a11ac0cef6f476203f2e46a5dae1811c534?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Not Where You Pretend You Are,7s7irck125SZba3kPbU5kV,Annabel Allum,5vkZbKJdzVGMguwXljppOz,Not Where You Pretend You Are,0wi1fG2UZz5ONTls94ZcQv,32,https://p.scdn.co/mp3-preview/c59fa99da2dcc3bc7fdc7e3e7d6ed53ebda86381?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,65,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Hard Times (with Robinson),7aeC1lsf7WzBm6aUePXQpr,RITUAL,3RP50pmG8Wz1mhNCidQj68,Hard Times (with Robinson),4rZ1IoGgZ4PwXwRIsSxMqo,47,not available
62,She'll Be Gone,3HYYKCppw1UdtnKj111tah,Erin Bloomer,5vPqlDBYNZiF5SrHGS6Cyt,She'll Be Gone,0OvCYN9se8HvcVYxMj4Zhz,33,https://p.scdn.co/mp3-preview/ca4b86c16b3571222c38b76a91a08d8a09a14d87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Young Rulers,2x99nWLDbKFZb6n2wICqXU,ARLO,0p5H44Hufi4BrG8PyaH7rK,Everybody's Worried About The Boy,41UYL6DM6awWVtLN7O7ywH,29,https://p.scdn.co/mp3-preview/8d2a382f51875785881980a4a9592b29971b3610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Overtime,1flJa1SvgmYzlLSa0AXgJ9,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Indigo (Extended),2rICHwivbZlmMnzEDmGNXX,67,https://p.scdn.co/mp3-preview/836d4b8526deefee6686146b889f4bbe3bc790bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Nothing Else (When I Think Of You),3hHcL95Pqlj93e8YCAkkys,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Nothing Else (When I Think Of You),28RD2BPGDTlPvnz8kR6i1e,51,https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Dreams Of You (feat. Rae Morris),6pu5jQqenr37n0z6eBKOh0,Icarus,0nUF7iT0e6D5xEl743Jfu3,Dreams Of You (feat. Rae Morris),26et8vS0ynfWtbIFKKtZi4,43,https://p.scdn.co/mp3-preview/53a9cea425d69c91bcadbe38792b6c6fb1874c9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Ecstasy,4N42Ta28mOYeiyMlypgCTK,Fabich,1mwP5J1kB8clYx0SoNL0uh,Ecstasy,5Hrkn1HmX82KNlTbsUUweN,39,https://p.scdn.co/mp3-preview/7041ef8a23cf100c145f07cb87fe0e8b46908f3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,How Many Times,4Bzm2OdnJD7bVWeqdHU8uD,Molly Rainford,3tYGIUJfYvYgbq3qKpjOlY,Commitment EP,0aAa1YL383souTDqtTsrCm,34,https://p.scdn.co/mp3-preview/021a163504c5279a83d7110109c91eef55840d1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Concrete Jungle,3kk4NZ0UOPVxG2TQ3NYj4u,Jammer,4xgV1UcvsrLM4rQrjTjwNw,Concrete Jungle,22bz7DjCSPP2AbdmvtRvnY,38,https://p.scdn.co/mp3-preview/30f2ca712f4bc9289ea9829937a7a5865af7bca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,GXLD,1dDgucIs82EtZGLHwiwcQT,Scarlxrd,6rYogEVj60BCIsLukpAnwr,IMMXRTALISATIXN,2AIiO9kxHJWl2MBRaSEOKh,52,not available
71,Up Next,1LMKXdgaSOwAI8CQsc4hBf,Dennie Valentino,6dOJI9AK1zHaiXPiINsh3x,Shift,650hILj72jKO4ZsJlGEtqH,29,https://p.scdn.co/mp3-preview/f096566a86ecdf6a1e60861f4f24b4ece9dd711f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Under Your Sky,5cH1pYrDq7D6sARLDP5EGo,The Sherlocks,4SrofCfzlhtiKRAsMfBxV4,Under Your Sky,0lwUPNRsaLEa9dV3pgoCWn,36,https://p.scdn.co/mp3-preview/c678225a87590b662bc068933df1d991e0130df1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Earth - Edit,1d4Bj6OXYW2EKkOvlTME3C,Lapalux,46Ce0QmI1mE2bl5VQ4P9N8,Earth,1rvqEamId9eBnnyFDVpb3y,37,https://p.scdn.co/mp3-preview/a504418f7bbd3796841cb6ee3bb0582b490fbff6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,This Could Be Love,6pYWX2sqfzlfao3irB9iXw,Violet Skies,56w356OnIbrmFsOFcx3NQN,This Could Be Love,6KBXkshoN7saKqCqMz9tdu,43,https://p.scdn.co/mp3-preview/4afea7cf45e3d1cf6cf1a60bb7114325292edc95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Own Me,2CnscesDhDpF7LpURtgBEv,bülow,5vBrKGOjN10BMwB0cJADj4,The Contender,75OmZv2K9rN3ySHEvc8GIQ,59,not available
76,GLOW,0mr9sTOYQ2uJB0FeditTXl,Saffron Stone,71FmTfYoEXhF3kSsbPiuKz,GLOW,7eeB1wAxbzRAOVEns3pBnR,34,https://p.scdn.co/mp3-preview/b383fb632331729eecd483d7176dfe23496815db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Figured Out,3lFcns2ky9FeH10CdxSRFa,Fleur East,37mtx80nMDETlbsq2eFCzc,Figured Out,3QjgzHc5FQa63zZnYKksC7,41,https://p.scdn.co/mp3-preview/d1a1869e5ac0b86e3b546aae6fc1df1e696eaeb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,World I Share,68bNhsMBiGhjP5E5zUhSbt,Swim Deep,2XddLUPFBmTonCFy8uB3uc,Emerald Classics,4HrPSuquQESK0qhY2bczln,12,https://p.scdn.co/mp3-preview/3b5723a46bffa4d878c9dc2ef57a05bd5574875e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Forgotten Eyes,6N1ngx4OdhaksnPwMXKUFe,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Forgotten Eyes,1aQWvziTqtpK4nJ3Dmnecy,55,https://p.scdn.co/mp3-preview/1d2dbde81661befe84381769cd30457be01bc412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Call,12TWXbhPnlu0fcUaMTG8l5,Harleighblu,4cEYh7S0lnB9zj30tzPorE,Call,1atZpFxR0gzUGfZ982IiSf,34,https://p.scdn.co/mp3-preview/3974d8ce29f19f9e70422a9701a0618b9e7536e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Nothing Special,6qbt49f67spgubKQCOiOdR,Tomike,1kETB3sIaKJ2uuC9xb6eCI,Stages of Love,7EWhfB10C3PU1IXZY8F9tJ,28,https://p.scdn.co/mp3-preview/a9442a7623cd17be66a35603a3d249792bb19d65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Two Sense,5aKsz7JCys9c5DpInQPW4B,Thyla,0L6tY7VDHwGDhx3T989SAJ,Two Sense,7u4YQ5uh5egphHmDq5A4ui,35,https://p.scdn.co/mp3-preview/8cc847581fef00707a742c79cf3df5f00f9665a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Grind & Hustle,2PI0Nlt5YFC1Zs8wt3epX3,DROELOE,0u18Cq5stIQLUoIaULzDmA,Grind & Hustle,24a7MtSD19HGYSjgQfpOrB,53,https://p.scdn.co/mp3-preview/20857e214ee11e1c3e332c0a5739ad172c2ce725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Break The Cycle,7vYn9jp9esW41mIOSonVVx,Grafix,27YdXZOMLqvxI2pB5GyqyY,Break The Cycle [UKF10],42aUDNg8bFv9tq1dQLgBUn,43,https://p.scdn.co/mp3-preview/55be2974998d8acd2f271d4e43298099df3fc2e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Live 'Til I Die,4FkJ1EacaC0LMDvan6dw2T,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Easter is Cancelled,7afp0SMBXsQvOXJCxY5VTV,27,https://p.scdn.co/mp3-preview/eb0b5f1ef10f7d244f1909fda0803b4308e63194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
