All New Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,226379,spotify_germany
1,Live 'Til I Die,4FkJ1EacaC0LMDvan6dw2T,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Easter is Cancelled,7afp0SMBXsQvOXJCxY5VTV,27,https://p.scdn.co/mp3-preview/eb0b5f1ef10f7d244f1909fda0803b4308e63194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Save It For The Weekend,4ja8f7cLqln77RZscRaMqI,Skegss,3SGLeWc7J5Ve0CinAOrb3a,Save It For The Weekend,0qA94rO22Y4N3tsvzEcq3F,53,not available
3,Heaven,5g4ENWdp43q5ZLH5Pre7s0,Bayside,51J0q8S7W3kIEYHQi3EPqk,Interrobang,1GYrUGqVBmMSA5W1WiAqLX,45,https://p.scdn.co/mp3-preview/e0f5a5948f719382ed5b052649b82782ac968ce1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,History of Violence,1aML2CdNXjkJJvIhzqN6Ka,Theory of a Deadman,74eX4C98E4FCrAMl39qRsJ,History of Violence,3Pe76n9u3N2DlLHgiEA13G,60,https://p.scdn.co/mp3-preview/c06fcafb8701ac8aaae8e6c9cda7317dfc9de0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I Was A Fool,0yLT3sSQU6TkLdlbq0mHm4,The Cold Stares,0hLLs7dOw0Z1XBFFrLSDln,I Was A Fool,3NvKMJA950Tz5xx1CwOoRH,40,https://p.scdn.co/mp3-preview/63a7b18d496338c35c73dd86fe496b826000a0be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Want It All,4tnmjplQQsrjhwtgp81X8J,JAXSON GAMBLE,4fClmcYOLFAp5rrKUqLHAI,Want It All,5jDvlXXPfXovaMIlHEzWet,40,https://p.scdn.co/mp3-preview/34e0bf0075e14c21d9907bd121bdeabee66a506c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,46,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,All The Way (Stay),7qVnkPY1UPmSeWULwXSW7a,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,All The Way (Stay),1nCmHK3wd62FLPSh1F4TfN,60,https://p.scdn.co/mp3-preview/c9b3bda41a88cf1a9c647cb72a6b734ad3c97ea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Christian Nationalist,65CdHKGQBBkktAKgciMcCX,Anti-Flag,30sqtiTKIb1oDve0SdYayT,Christian Nationalist,4EJugzlTJTESS9pHJnFGdj,47,not available
