Pop Remix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3014267,spotify_germany
1,With You,1xK7enJZVdv37fnnxoZlPq,Kaskade,6TQj5BFPooTa08A7pk8AQ1,With You,03Rd91m56yw4XklwHF9FHq,73,https://p.scdn.co/mp3-preview/fc26c2bf1e69bb7f1602d690f7a60f5c5e6db2cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,3eFJI470ALf1EYjywPRsJy,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],49bXZtlI5kQSqQMSCnSaWO,56,https://p.scdn.co/mp3-preview/7dbdc5127f297e5ceeac2860971400132a8f9ff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Look Back at It - Tiësto and SWACQ Remix,3v1srNR64XH3BOjPKT8C70,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Look Back at It (Tiësto and SWACQ Remix),4HJfoj7ThDvNVJpj0X9klT,61,https://p.scdn.co/mp3-preview/ba6525f53b08f8fa05b9c65ced89240596ac8955?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"fuck, i’m lonely (with Anne-Marie) - Ofenbach Remix",4fCAOaMs0PYL58OijKp2IS,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i’m lonely (with Anne-Marie) (Ofenbach Remix)",1vtHFX1NTE4awfd2sR1VGP,65,https://p.scdn.co/mp3-preview/1da56c597adfbf2d69c2edad6c844bd19a922f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Call You Mine - Asketa & Natan Chaim Remix,5EdYlCWou17k0N1PADLKfO,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Call You Mine - The Remixes,1nqYsOef1yKKuGOVchbsk6,67,https://p.scdn.co/mp3-preview/3184e1e98e93fab3ef0b5d3505d95f03ddc556c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Higher Love,6oJ6le65B3SEqPwMRNXWjY,Kygo,23fqKkggKUBHNkbKtXEls4,Higher Love,4wquJImu8RtyEuDtIAsfcE,92,https://p.scdn.co/mp3-preview/a74efdaa12f708673a14fdf67bfb6ec365d8ebf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid) [Jack Wins Remix],2yiy9cd2QktrNvWC2EUi0k,69,https://p.scdn.co/mp3-preview/c4944bb413385d86fd1a4c7f1685ea108cb4ca28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,American Boy - Brooks Remix,6B2NRQjtSOtqi67d72r5cx,Estelle,5T0MSzX9RC5NA6gAI6irSn,American Boy (Brooks Remix),2oUf4rrrptVC50h75WzjmI,54,https://p.scdn.co/mp3-preview/d9e904ce8c8800ed013ed671c8e99e1114641836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,joy. (R3HAB Remix),1BmdqDrBU5eohtRwHBls6C,for KING & COUNTRY,3sDbKMebVH2VYcRSl7u1VC,joy. (R3HAB Remix),2gGMD56Y8DAvIzpoYfA014,55,https://p.scdn.co/mp3-preview/0738e01bb92b6e21a7443a0c3768b8fe356cb9ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
