Swag!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,551115,spotify_germany
1,Easy,4dPlcbrmrG4xSzfzLhEZgZ,Kyd the Band,0NHArXVgYnHIxtWGIS7xWS,Easy,4Hta3peC0b2GN3uqTksnMg,65,https://p.scdn.co/mp3-preview/c17f72d91ebe818058f3281e041b53dcac9ad5cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
3,Sad (feat. Afrojack),4ESPuOrSsRcBISzcMlzmY5,Chico Rose,5OdVywqKqyCWwfE2fZb7IX,Sad (feat. Afrojack),3iyLP2ce8hthgd4ygzLRJD,70,https://p.scdn.co/mp3-preview/0662422298035259dfbbaf11957591bad8a4a3bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Some Say,4poybupy26pTWPr9zY1i7h,Nea,7nqlScm2smydSRl13eaP8E,Some Say,5pCAWYym13GcQN8CXEb89m,72,https://p.scdn.co/mp3-preview/d3ac475db72a68005ee24a616aabb355145f3af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,92,not available
6,Princesses Don't Cry,3mbL70beTjRVn8JSiU6LiW,Aviva,10O3YJY6k3LaDGDto7ek1C,Songs About Boys,0veVeWSat0g9d9dMXA5XTC,75,https://p.scdn.co/mp3-preview/e19274c4f687c04d2eba1f9ec5753a526ff65fbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Light,79zshLLUoqncCBkd9YfVUE,Jerome,4xcDVatLFh6qlcm41er3LV,Light,5VUFsE0HYIg5g01pl7hmpv,69,https://p.scdn.co/mp3-preview/88fab8c5dca7ca38d090eaafbe4fd39f9f1a01b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,All Good,2jwBTKBMfY7S6VLrziJ62m,Millé,1n9KIilVumlCpUEMwA8LRM,All Good,4DGjgdGhu3lAQgeA7Vkm6b,61,https://p.scdn.co/mp3-preview/29abb503b6d9e4b39d905db805ed2e81e4311740?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Oblivion (feat. Amber Van Day),3HNs1UAn7OZQiby7DXTIYl,Love Harder,09JJrjk6Mr5ZYwk1mk7aEb,Oblivion (feat. Amber Van Day),4xG7w6o7w2ah1W2a3tPgaV,68,https://p.scdn.co/mp3-preview/c72e19df86425a9b05cc63a3c45035fe87aca2c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ok Without You,7GvzyeeBMoDlC9OziuPMQQ,Klaas,25sJFKMqDENdsTF7zRXoif,Ok Without You,6bonQ3d5MdnDI9Bw5ni21s,65,https://p.scdn.co/mp3-preview/acc8674143a6128180bfac20e736836cd6fed0c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,All Roads Lead Home (Hobbs & Shaw Remix),56UEfBprrQH74GucjupUtl,Ohana Bam,2i8526w9fGlJcGVmepDyM4,Fast & Furious Presents: Hobbs & Shaw (Original Motion Picture Soundtrack),4o8MtDhAxgnTNeVlQ3Cy1S,65,https://p.scdn.co/mp3-preview/bad2beb7f39e45c90dc0d71e47ce4d0c5080ae44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
