Party Deluxe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,695512,spotify_germany
1,All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La),0Y59j5oCvwTM2aNyPb6YpJ,84,not available
2,Instagram,0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Instagram,7FTzcNdsKhMe53orWXsai8,88,https://p.scdn.co/mp3-preview/3ab276e3f7066d652e7d631afc55e054de42ad1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hamma! - Single Edit,0W0ooKnuOJHSqp8zZRje7I,Culcha Candela,3gemH8D6fpu12DmTmUZYAL,Das Beste (Deluxe Version),53V1mHiWEve3Q86WWFocqi,61,not available
4,Blah Blah Blah,7JoVRy6b5AqggrBcSQ27wV,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,A State Of Trance Top 20 - June 2018 (Selected by Armin van Buuren),6NkuIBhMPuDsskoAPG4w8y,57,https://p.scdn.co/mp3-preview/34cd292387d7190d8a4a6956675fad86cde01395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Narcotic - YouNotUs Club Mix,6X11GPt15ILRf2dLanQeV8,Younotus,67ghKnycRX6VM1xfqJSMlH,Narcotic (Club Mixes),6yyhVfh3mQtCCaUujiVKG5,49,https://p.scdn.co/mp3-preview/d2df6c8a6d9dee471666b0dd7c15e1b20026627f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,88,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Senorita,5OHOykHs3Ct2pgbqod8uMD,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,7sC0Co4ka745oGeBfB3Bhk,65,https://p.scdn.co/mp3-preview/fe1e8ac8b0a09d4e14378d79e0a4affd66fbaa89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Alles nur geklaut,4MhaF08X17tmOmUcmRq5lN,Die Prinzen,7F0bQWvv3rfV3EubmoQlwZ,Alles nur geklaut,2LuJwzSEFn1rHI1SHLMYbu,63,https://p.scdn.co/mp3-preview/fd2bebffe2f631c9a41091ce3f875bcdcbe1c385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Herz an Herz,1X7654uBsdVKnZAqyIJT7y,Blümchen,1Wch8598BBzU0zVBtcCFJh,Herzfrequenz,6QZsxUU2TAV6J3LTgTk9Fz,61,https://p.scdn.co/mp3-preview/661929e60c2357a4431b45c675c817ce810414be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,FRIENDS - R3hab Remix,18YRKiIZO4qDEc5Ik0Cry6,Marshmello,64KEffDW9EtZ1y2vBYgq8T,FRIENDS (R3hab Remix),2KBVjOOFq54CcaHTxItDhl,62,https://p.scdn.co/mp3-preview/beeddb95eb385bd0abc89f4521f6e752bb17cb8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,High Hopes,1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,Pray for the Wicked,6ApYSpXF8GxZAgBTHDzYge,87,https://p.scdn.co/mp3-preview/f6404b1b3199442271c17d9e1461c3f2a52018f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Summer Air,5N8retkpGAAMKkEpUCZeL6,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,Summer Air,0T432CCPcApu7ylvM1LcTR,45,https://p.scdn.co/mp3-preview/737576b03c4a71b049d5b02b895c26001d2d005b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Mr. Vain - Radio Edit,3N3t4yMGy1PCF7ZbizvZbK,Culture Beat,0BZ3BHzfYwpd3k5TDnvAz8,Mr. Vain,4zw73Xn7HEU9LcyKavXaAf,16,not available
14,Bruttosozialprodukt,5VQ8B15e6JHXk5Qi9h9inv,Geier Sturzflug,3vQGJGekBpxyOrob92qTcE,Heiße Zeiten,2UYXBZp9iVEu3QQJZG86pZ,57,https://p.scdn.co/mp3-preview/3a7c0e02ada4ebba2cb6dd6b2424b4a228a3550c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,"Boom, Boom, Boom, Boom!!",2Ld2LehpgQNREMxl9LlIzm,Vengaboys,0cwmNvclzPd8mQnoHuIksj,"Boom, Boom, Boom, Boom!!",44BtGGBJohrvoKVzmi1wij,62,https://p.scdn.co/mp3-preview/d596847aefcbafa2d620753d1a71971f3f776d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Captain Jack - Short Mix,09uma8kvpf699ailOSlzds,Captain Jack,1b81zU0IfjHE8krv2IZ0Hf,Captain Jack,0hpZzIHtMqYBt6RDYnLLww,56,https://p.scdn.co/mp3-preview/3da8cc2c5ec97c17fa55726b33f2e4273a2e9cc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Losing It,6ho0GyrWZN3mhi9zVRW7xi,FISHER,1VJ0briNOlXRtJUAzoUJdt,Losing It,143cxYCazoiNfviHRmxkdv,80,not available
18,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,DJ Snake,540vIaP2JwjQb9dm3aArA4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0ZHyvPke0EcVt6rYA8Ins3,63,not available
19,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Jackie Chan,0vRcQquqBlFvnezWldWfmt,81,not available
20,Coco Jamboo - Radio Version,6rQ9qJPvInEqSzlh89LsPJ,Mr. President,7KBkgunlONG7LPxs93pgpp,We See The Same Sun,2t8Bc4qBseswbwOoHGHK8d,19,not available
21,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,You Little Beauty,1gRQxbfL4ULWyTosgXSbWT,FISHER,1VJ0briNOlXRtJUAzoUJdt,You Little Beauty,1voOnpa4pILlDPVsrIFl8b,75,not available
23,Oh Jonny,1IivtUqnUfW9jH3pM08D8U,Jan Delay,4KivBMgSnZ7hCDfPm46fKc,Wir Kinder vom Bahnhof Soul (Re-Release),7MrA7kNLED6TooTm9uxH2i,59,not available
24,Cotton Eye Joe,06hsdMbBxWGqBO0TV0Zrkf,Rednex,22Zqu1yyebVnbve8FxbJ2g,Sex & Violins,5DA2dJgKERij9OVWbJDZDj,71,https://p.scdn.co/mp3-preview/98b1d5b6b49ab964f1726d1f858ece705af635d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Let's Get Loud,3Ev29Sj0ca0TD11oE8N0Bc,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,On The 6,27n5XoBdAfUyfEHots85MG,14,not available
26,Summer Of '69,6oWpGuwokWJ4EcWgVQPdUt,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,The Best Of Me,4kbE34G5bxaxwuCqz0NEw4,22,not available
27,All Stars,26haJjtanhamtf25RXH0MO,Martin Solveig,1bj5GrcLom5gZFF5t949Xl,All Stars,0QmyqQAPTLxNCs6qya9CSa,68,not available
28,Du trägst keine Liebe in dir,21aT5lIYHjyBIFrXNbNY5U,Echt,6zjMMh0ijUZ0dr6w2Pfe9P,Freischwimmer,0gsQ4zndeWzFIQbASQ9L3w,58,not available
29,Wovon sollen wir träumen,1uKubXaFxoYl5KYiLAa0aw,Frida Gold,1Q229kIsASlkUb3VBeQmIL,Juwel,20sE5FmTHfaWBF5KEC4Wra,50,https://p.scdn.co/mp3-preview/bc1daa754aa989ab3d2e4aeea2d4fcfe0a8a2603?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,The Time Of Our Lives (International Version),0IuHVgAvbNDJnJepuSZ8Oz,80,not available
31,Be My Lover,1bttWPpJQmn9zdi951BcAZ,La Bouche,488v7rQzthLNK22r0UvMie,50 Summer Hits,4iRt5STyQudfgvq3Gt2ki6,13,not available
32,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,I Promised Myself,5jVJAojK3LFKETjI2gYb8O,Nick Kamen,05GsKvp0yKuCyWQMsPAAmB,Move Until We Fly,0z5UEm9rbS75WTaSdGwP8N,61,https://p.scdn.co/mp3-preview/28043c7a56ec09b2ec7a84c5e3f43968c99f04b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Sleeping in My Car,2TiIXOtfaPnfGuAerof0UH,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,Crash! Boom! Bang! (2009 Version),52YascebxQ8Sn4ZYCvnFBs,54,https://p.scdn.co/mp3-preview/932cefd44615f91c2c762d89c80b3d2ce6824a2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Let Me Think About It - Radio Edit,53rQM3LpXLf2hyClva3jiz,Ida Corr,30ut8L4gmEz4vNr1zNhpbh,Let Me Think About It (Remixes),0em4Q3loArIZYCdXcRrygg,55,https://p.scdn.co/mp3-preview/4ae2f2d28860be4c7d60462378102d26919c77c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Levels,4mkvtXQd6rD7zuAHhexEvb,23,not available
37,Show Me Love - EDX Remix / Radio Edit,4bAmAVdks2Y84VNVVLXFwN,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Show Me Love (Remixes 2),3Lyu7NctI2QfKiO6eLHjsb,64,not available
38,No Vacancy,6XOYVSmNDjKUNMXooU4s4z,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,No Vacancy,7GxsxPFTZANnpsAONtZlHQ,14,not available
