Feelgood Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,367204,spotify_germany
1,100 mg,4mclJcJDsL8IRvcGrlzOUu,Giant Rooks,5wD0owYApRtYmjPWavWKvb,Wild Stare,4HnX6awkuCoaeV2udY9GXu,36,https://p.scdn.co/mp3-preview/3a43b2a4a691f96dbe2aa24665bbde12377e7203?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Any Better,1ELgqMMqkj66NlyZMxJNR3,KYTES,1q8H46YhdCtAO8tXHIWe2d,Frisbee,3EX0PrHh4oNcL88znn7M7Z,54,https://p.scdn.co/mp3-preview/bf120e4cef16e79821afcc360ac529acc608bd82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Someone You Love,0JmH9PvuIDyEbaSMRO7aGL,Some Sprouts,41g2y82Z8CADYGlzujOzKp,Someone You Love,5SSHnTR33t2E600pb9Qg8e,53,https://p.scdn.co/mp3-preview/e65d525de8fe98de683ad04473168d31f3bc7fa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Kids,6b2EqQRpnOfYilaNXqb8SD,Leoniden,1zwtew8BGPk66RKGQqtPCX,Again,5tN19IQrbStEzPJ8snVO8g,59,not available
5,I Swear It's True,61AYzKQ7kvLJ82IFaIbRWn,Mani Orrason,6Xy8dw47s5ZgDlr0isOLV2,I Swear It's True,1amufMJmaSVgIvRujOq5Va,48,https://p.scdn.co/mp3-preview/5af5f77b9f49262ce15dc4b87fe98504dd2d38cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Take Me Out,3QfDceqmFnYDJi87fwI3lK,Pool,1yZ0q0QsxwvyY6odzRxUuX,Take Me Out,2YCBz7N0Lrdagv6Fym6a8e,49,https://p.scdn.co/mp3-preview/a7a1bb5c549cc07f1cb510600bdab2e5bf28a727?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Smiling Face,083YqmGxSLpgr8Hr6HeFNx,Cinemagraph,7zMxkD6FhVkm8hBRy7jyJP,Smiling Face,75E23gvtdp9zPvRpKXWcIA,56,https://p.scdn.co/mp3-preview/5b803ad91439dfaabfe13632a3d85c109a21b6e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tides,3Du3efHO9I7VFZHiJ9nPPM,Shelter Boy,0pTrkIFjUhNNHIV3YhtPfV,Mirage Morning,6uqxzoRQg50XPMg9Xp3qrJ,46,https://p.scdn.co/mp3-preview/ef4da868ae4102153e2fb1a1fb0b5e652bd45eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Westkreuz,4QyKh45tFQmLKHvCvEZYfo,Von Wegen Lisbeth,0uNoScPvcAL4krqNZfeJBq,Westkreuz,2R2NYtiopurnrNpTq0VIOl,55,https://p.scdn.co/mp3-preview/9f37c0368a7e85492d2b4858d3b16a4013034f4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Privilege of Time,3w4IdLf8usEuW3NoGVoUtV,Mani Orrason,6Xy8dw47s5ZgDlr0isOLV2,Privilege of Time,7Lsd8Yghn4BvQklzFuVyCY,48,https://p.scdn.co/mp3-preview/cd4bba14848bbedf21febe641ed0e91afb5e2585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Moving On,5pEkIMmKoyM8OsyrzzrJ7k,Pool,1yZ0q0QsxwvyY6odzRxUuX,Moving On,05wNfDR5Cb7XB33SpAfYiG,50,https://p.scdn.co/mp3-preview/d5ef8b9ea9fb292d17db1b0cae9ed23e6713eb14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Apart,2kMLIAMcNDoVLfQj5oDMAQ,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Proportions,6lbvRJMvyz5s8iddP3KJLR,46,https://p.scdn.co/mp3-preview/31aafcecdb1861dbc616618d1fe5da5ffceb3cf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I Forgot Your Name (But I Like You),1Nf6dTWkWcvpTRdDA7dpe8,Two Year Vacation,32pDhOhptrPf8qiTFG8VPZ,I Forgot Your Name (But I Like You),4L4T1LiLDjm5qKDyE5l5Bs,13,not available
14,Out of Sight,1J5h29B7geAeQ6qYzhkagR,Citizens,3e7KVnSiZjsBkReSv0L6db,Out of Sight,20MQUQXhL83kacFqnBtxRK,49,https://p.scdn.co/mp3-preview/cf116c14126b529de241990d023fc3dfcea86815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Lies,2mvywhavXxejwVY8D25K4W,Say Yes Dog,039HWymb5EJiSHhtlJctsi,Lies,3hV5RFOwpWAmyXxDFcR6aO,47,https://p.scdn.co/mp3-preview/e925f82c6aa5fd45e68665b504b2d69eea4091e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Lovers,6AccHVZg9yVxPv6TbEF4Lw,KEØMA,79iWNhmr65X2gvuPl5jB0U,Lovers,17iM8xirzqQOAm4w7zZd6D,47,https://p.scdn.co/mp3-preview/9f23e06fd57d6bdc9b26648c5fe74566d94ca86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Drugs,0JFdQ25hx5acmmlE4UHTvO,GiiRL,4Ggd7xGsmTyLZuwhbjQ29K,Drugs,50Fz95pF2j1T7u87YijuEb,50,https://p.scdn.co/mp3-preview/eb6eb8d6de78c6dbdc92a99be909ed941156957a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Highness,5StogjwnaLs9zO0fl6x7P3,Nosoyo,4H5tKZTXuVPxynMaaaBbWs,Highness,4EHDGQCK8ziAccxlY8tCS5,47,https://p.scdn.co/mp3-preview/9f250563fe8dd2967a3706fdb9f0a6d75d9443f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Fuel On The Fire,2ZsHg7kRuIiEtbsXhzGP2x,Bear's Den,0nJaMZM8paoA5HEUTUXPqi,Fuel On The Fire,0PCUYIS8FAuDlu50uMO0XG,49,not available
20,7$ Shopping,5tUgmKTXXuL0ut9yW12jMj,The Gardener & The Tree,1GarejqGHyKM1adTFnB4NN,"69591, LAXÅ",69dG7jSQ9jA3tRSV3SN4F7,52,not available
21,Lieferandomann,4F7oqgyfDum7nxTJppYphj,Von Wegen Lisbeth,0uNoScPvcAL4krqNZfeJBq,Lieferandomann,28ShMVsTJC3BztVuWUtpVe,53,https://p.scdn.co/mp3-preview/62e35422628e19953d083194c9a141faa3bae33b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,All Because of You,2NArIqQMcyBNQkxlZY7esf,Pool,1yZ0q0QsxwvyY6odzRxUuX,All Because of You,2Dv9PDFyQ0fvZxw7b3h2W8,45,https://p.scdn.co/mp3-preview/4188e244b611b8b352f30b41aa71d0cb86c898f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Marie,0YIPrzShvIvlcsZkEnZ4FL,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Schlagschatten,3zhOW5DedpxAxddYJ18qiI,63,not available
24,Motion,4xWOq3FSe8j2G0s3Zydkeh,CATT,4vECkYVXR5tUXqDk2LVzkJ,Moon,3M9kmWEjX3eiDjk1Ys8KDB,45,https://p.scdn.co/mp3-preview/fe19013ba26482c671c1f854a9fcaa947d09e469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Drastic Measures - Single Edit,0nMwcep8TzjPqokMJ19t2z,Bayonne,6BbqU3r1G2mwkRIfIbkCek,Drastic Measures,2KBHJWhqz3ohObURbhXaKe,38,https://p.scdn.co/mp3-preview/54164882c7eade7e73fe947b1e3ec3607d3ebee6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Sympathy (feat. Einfach Flo),1IMVry6jzpeKntP2yWvBXG,LOST,6xegaNFVvrldyVGSXx1g9Y,Sympathy (feat. Einfach Flo),3uVd9vpvIWxYj42DUtPKuo,49,https://p.scdn.co/mp3-preview/385ac8357b8370a3e47190adbc19c18a6ece818a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,In the Dark,74Q0dv7OyUpkXNciaTqtYq,Vök,7oDTyDfeA2JE2jUZztkBj8,In the Dark,0y5DgBmFWfUp1dw1crUOen,11,not available
28,A-Train - Edit,0WeLpRHrzZcmpMrppqPnnp,COMA,5t9SPy7c5n665XZCoAuR52,A-Train,1b4ZTZJK7Ny6TxPkSUq3u1,49,https://p.scdn.co/mp3-preview/6cc73188f4f82de03fbe210a60ace6fc05fb6642?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Alle wollen Liebe,61xGZ8RQxlxykrKjCfzN1u,Das Moped,3JwwCZUNR8yoUDsNbmY86a,Alle wollen Liebe,6sNMYT73gMs1Fgc4810e27,46,https://p.scdn.co/mp3-preview/e922e32086a4ac5106149c7d5ca7d967206e00ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,LED go,5vmOGrDJWzVH5zOTwYkr7P,Bilderbuch,2ErWLckuGFl84nGmg5fwyG,LED go,21V9VfWv7sy4azdMTrWVtv,48,not available
31,Colorless,6EBn40MU1VLPoXy88wM39P,Leoniden,1zwtew8BGPk66RKGQqtPCX,Again,5tN19IQrbStEzPJ8snVO8g,50,not available
32,Non-Breakable Space,47YQlBQsQv1CfHi1E1Lnq8,Small Fires,6lcQgSJvV3dxRev56wMrbc,All This Noise,1s352S6claWIYeJ0bvwyrq,44,https://p.scdn.co/mp3-preview/d3319494d9f574348c25dc1cefa8489b0950aaaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Barricades - The Blanck Mass recording,4Lo364Or66UZ9bynKlojKh,Editors,6e9wIFWhBPHLE9bXK8gtBI,Barricades (The Blanck Mass recording),7CdfYdgnJOYrQQsHnHmP4Y,49,https://p.scdn.co/mp3-preview/20da10a52e7fa832de295a3f772b23469597872b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Trouble in Paradise,2gxB459IzomTaH9aRn99wF,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,MINT,2EwVWNkKtyjQwDInp6FmKJ,46,https://p.scdn.co/mp3-preview/d51dbfb467b49f7b007d7cd289af419eab7b37a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,The Kids in Town,5MqwuWfMq0me0XXdXPqR0g,Mnevis,0d7KUM6jrlAu0xtYqRk6S2,Episodes,33776U6wHRWzgXsahf0l2z,22,not available
36,Tragedy,5AeycqI8IdCUMUPKWlVbbx,Everything and Everybody,0xOueY8OCpmoM7YmmkFPvt,Tragedy,785HwGJvby9JByzCokZdFL,43,https://p.scdn.co/mp3-preview/59ba343d128544e88b68acff5340da8323f567fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Sin,1q64ZNV2eHUYiCQbwUI308,Kakkmaddafakka,4HV7yKF3SRpY6I0gxu7hm9,Diplomacy,2qGw19tighps3VwzBmkeaT,50,https://p.scdn.co/mp3-preview/89f1833b115b1a0d86c9baf781e1f17ad8c0ba16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,I’m Never Gonna Let You Down Again,6QX1db1o8uzk7XkF5esBb1,Balthazar,4oMBP1OWXtmxyDhAj2aRyQ,Fever,4cKMQ4mNZsBx40VXtNDpMT,55,https://p.scdn.co/mp3-preview/cccd48a70d2cdc8c3347d0deaa35994fa3ceffdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The Way We Say Goodbye,7J4inwHlV4Bf0qhe9xGGpS,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,What’s It Like Over There?,75HYUZI2d0FDMlsIEfp6Kj,58,https://p.scdn.co/mp3-preview/dcac40bd7329a94d9f508e1504987e069e8cc815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Hypersonic Missiles,4fB1OI42wuC0SirSR64qc1,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,Hypersonic Missiles,0cIY9UjncDVIROjKfityxc,68,not available
41,One Last Fire,1oCDL73YM8QtdcDxRAVzgq,Mando Diao,5I4eibDkC7gg0hmczTZuND,One Last Fire,71jbg9yyagDygZKITiznsB,51,https://p.scdn.co/mp3-preview/447d7f15eb0ab1dd71195e75f8869b8fcb868e8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,SUPERLIKE,1l1kutGZYzXajxRUtxdFil,The Academic,3VLf4DlBTN2ZRwygS3TNti,SUPERLIKE,1XnqBuuapgOTKsqhslDanX,56,https://p.scdn.co/mp3-preview/619c09de10e8935d46d2f192174254de7be5daba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Falling Back,7iA8BlFVOityG3DGPExJtx,Roosevelt,4AQrqVz6BYwy29iMxcGtx7,Falling Back,3dRyi7KJOlQxfzA2hrMjJe,56,https://p.scdn.co/mp3-preview/cde5bc2740e251b3f0c0d3f5eff654a9b9a54a6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Side Effects,6ceQzaHLJftxRKyz4S9BNn,Jade Bird,7D8LuVnlyu91ndcPe70j7S,Jade Bird,34RIeuzZA8ySXCbsEd62jG,52,https://p.scdn.co/mp3-preview/7bd1dba3c23e784eb82409de1ea7581588034b46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Open Up Your Head,4NUsc4bjkOqpSYisFIC9RT,Sea Girls,45FqwUG4hTT6d39r2HUsUe,Open Up Your Head,29EogAFmF9kOCE1mu6mOEQ,54,https://p.scdn.co/mp3-preview/8db6bbd5c38c97b83012b092f03a1b6fd3404a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Wars,6DZ5EOzz715nW5UIovhIWD,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,FEVER DREAM,3jk6oyfKCny48ZYb1CPjLa,65,not available
47,Times Won’t Change Me,58Xf9pv08HhsBdLshzIYAQ,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,Times Won’t Change Me,3EIPcoZHetYu1LM4AVjLzm,62,https://p.scdn.co/mp3-preview/f0ad568a73767f24688e419e6488dd96c19c9f02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Take Me Home Boy,7o3wtEVVCFF6zKhV5e7y5V,Color The Night,1tcGZAevGYVPBrqvJ0CZMh,Take Me Home Boy,6bv59YdvYFmregbLc4yTp7,44,https://p.scdn.co/mp3-preview/0d590befbc7b996496adc3df1a240733b0e8fcd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Feel It All,26SdeD5OY1YzFsDQCNnCIp,Kita Menari,1noOoapXyyCG1nYTH436qw,Feel It All,7p4YxLifRcs95dxZo8aVXd,41,https://p.scdn.co/mp3-preview/a381e283abfe5d64643a4ed868bb1ecf0656c618?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Harmony Hall,5kXDF4OmM5COyeo6z97nEk,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Harmony Hall / 2021,6CmSHV5rTZRBjXMVbaeE1h,27,not available
51,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
52,Are You OK?,13AYk3zwAtSuuu1t9GTf7n,Wasuremono,1i9EknSbxjunq52yyxl8ig,Are You OK?,1wLarLGfSpVvudyJE7BiG9,52,https://p.scdn.co/mp3-preview/0909ff139da8f80cae7041b6688c21f590b38d7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Love It,2agFH33OI21xCPHYPfFIKO,UNSECRET,721Thvnq29Or9LXUyfF75c,Love It,5sZmfhI5pq7mVlEhDLDPQJ,56,https://p.scdn.co/mp3-preview/5a462693a621e95c10c1657968415231d70d0ae1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Same,25uGNlfb3IaPLmn1ZoRQdW,Bayonne,6BbqU3r1G2mwkRIfIbkCek,Same,6D7YBceoyEAgoz9Uk5iqBN,39,https://p.scdn.co/mp3-preview/ed51642432dbe42e64dc856c5ddbdc7ee60fa69e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,70,not available
56,Easy Way Out,4NCFHqjNdvAFRb4Xihb7j2,LEISURE,7b04D0yLktCUpvxQBhmG7R,Easy Way Out,6GB2cfkY9yI9Sw79zfqsro,49,https://p.scdn.co/mp3-preview/f098e9fe7bfec8edd8e1bd431f7c46e9679df90d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
