Tropical Vibes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,681338,spotify_germany
1,7 AM,5FFKnBx45in04E98mqtfaN,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,7 AM,2lrYnl0JdDRvlpmFzN84nl,50,https://p.scdn.co/mp3-preview/81a97a719a173ffca25f651abbd4873383ff6aad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Movement,6WKynwuNv6tsxlFsnWYkQn,Lylos,5atRFMjItKzpYWYW1yVMoR,Movement,1uuViGWUYCNyHgaTan5oVk,59,https://p.scdn.co/mp3-preview/3cbd7419da298f32c31850252c00a87a4a713f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Turbulence,33kHojDMIDSDwzD4FWCezM,Catiso,7lrRQOcMFADRVofsWyT0ST,Pegasus,6bBiJBp19QFqjm15Bo2sRS,10,not available
4,On The Clock,21i7PKEXvd8InFaDT3j5m9,Lvly,7yoh9onDM7XQFBepQTI6Qu,Mad Woman,0Bf3lhNyCKdiuyd3fRgXyy,8,not available
5,Perfect Start,36XnyXO5tdMLi78gKDEOkR,Mefree,6In7t4xPMNmmVOewOXS6Yb,Perfect Start,7mrE8Bs2BYlq0XTbZbIWnU,9,not available
6,Right Now,1UIKfD0kg5yQdXgXEsZFyB,Daxten,1uwGIdDsv9rhyzuqgYhOuS,Sparkles,39btva8FpsGxJi4dQ7jRIN,8,not available
7,I Can't Help That I Miss You Now (Instrumental Version),7rQsYPsTMjIfEqJR1qLveZ,Basixx,3yoJOUgWeJEC81UoZhYIdd,I Can't Help That I Miss You Now,4aC9uStwgDvEPQgy3lpuwF,55,https://p.scdn.co/mp3-preview/fef6da412344fd5668ea62b65a081d2ef9cb55a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Chillseekers,13roqX9Iow1epU7pMOYmgI,Chill Cole,1Ns2CQv733eYFITrIHvW6Z,Café Dreamer,34kp6iILHhggrkYCnXg9sd,19,not available
9,Love You Tonight,5BbMKYskxFCCp7kacFBdRw,Martin Zandt,3HVIhaXyOOKizvzcO9C1Mk,Love You Tonight,4oFF7Oh66kN9JT0DyjUW46,55,https://p.scdn.co/mp3-preview/47a51ef7e60562b610d68be68f597772b5e42214?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Like Water,3ao5EtzaUJOnbtjjYRqPGG,Paisley Pink,3If1CcrLGqjVA4szNh1q6G,Poser,3lXeKczPphklBkzvbFOL4q,14,not available
