Die Dusch Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,638746,spotify_germany
1,2x,2pu5rVWy3zPlgypJzL3Mlw,Mathea,3r5Kc95Oz8lDc8BL9ChO7n,2x,1qLxyLC4GgVjEiiOBtckaJ,68,https://p.scdn.co/mp3-preview/037ef58f9ada140a58b40880012b41d36fd9b8ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Glad You Came,4AqYxvzDLcUlYReF8NzWIn,VIZE,09agIJMxCD2k87ys9Al0f0,Glad You Came,79suI3rfxpemQ5zn0rNXO1,52,https://p.scdn.co/mp3-preview/4b8b15d67f8bb8fb9701f3042e4103e2e2e8a204?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mary,6BZhkqUtaFJm57Hm5TTQSH,Bausa,13bDjug9N0pyv3ZUINjkDV,Mary,2BrHCT0Kr9iTtenBGa93XL,72,https://p.scdn.co/mp3-preview/d07439f423855ebcf2d079f25c933840f8916496?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All This Love (feat. Harlœ),0nxYyX5PIHJqF4VSb4CIFV,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,All This Love (feat. Harlœ),3mMaKYr6aPtFSHYUr7acxJ,77,https://p.scdn.co/mp3-preview/98487242c73774728294bd1292f3435e40bf6034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),0syM7OUAhV7S6XmOa4nLUZ,87,not available
6,Alles nur geklaut,4MhaF08X17tmOmUcmRq5lN,Die Prinzen,7F0bQWvv3rfV3EubmoQlwZ,Alles nur geklaut,2LuJwzSEFn1rHI1SHLMYbu,63,https://p.scdn.co/mp3-preview/fd2bebffe2f631c9a41091ce3f875bcdcbe1c385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Stars,64o06p7wl27z7qC2lD4PE0,VIZE,09agIJMxCD2k87ys9Al0f0,Stars,6uFZC8E2NsBCAyOXflQ4ca,44,https://p.scdn.co/mp3-preview/8c9a7425073082cb012ca3ca90ac1152a8b2ac5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Never Go Back,2QrXzOqLCVDRZHkToA0tSR,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Never Go Back,5EqITahBSjWcU71mbhFPEf,79,https://p.scdn.co/mp3-preview/8be423f626de817d5e5898deb6f2f90fce899f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
