Matador Picks: Kurt Vile,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,16,matadorrecords
1,One Trick Ponies,2OlVATK8cXm4g45ecB3Rmz,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,One Trick Ponies,6If42lOtWMrs2kKXlIGTPr,45,https://p.scdn.co/mp3-preview/0b837dc0396b002c28fda937405cdda97b3a2299?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Loading Zones,4LwIz0EnIsvfiCWwsYyS0Y,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Loading Zones,527vBXlV0C6QhbMiSNsHoy,49,https://p.scdn.co/mp3-preview/a1c2248bc855ff2d34882fdf868b4087d90a3e5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Pretty Pimpin,3l9eg9RtisizG12a1D6nZl,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,b'lieve i'm goin down...,2uRTsStAmo7Z2UwCIvuwMv,65,https://p.scdn.co/mp3-preview/d6bd42554a0391982a2bf0d22fead98c971fddd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Jesus Fever,5FTFQKrYOirE6kFcuPHlat,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Smoke Ring For My Halo,32a7BrNNTAu7BVb6DcsMLP,37,https://p.scdn.co/mp3-preview/85cc271b059fb71862a40c49815e3be7170e9458?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Freeway,66381EvBZ6e3RXzYATpGmN,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Constant Hitmaker,5t9zbRAVAyr2yN8mURa7b0,32,https://p.scdn.co/mp3-preview/8072dd673b69a25e2487e4c371bf703bc4336bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Bassackwards,5f82Si6wLGgwidVnbIttPq,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Bassackwards,429WQx2xqwBJjPdXRs7Rbt,45,https://p.scdn.co/mp3-preview/37045f0eb24e381a38628bd63a63fede76cf5ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Girl Called Alex,0ECsuXpyI1liLgna0gYPiN,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Wakin On A Pretty Daze,2imxOfDIDk2voAYCZP88u2,37,https://p.scdn.co/mp3-preview/8a3af461d6d7f4e9043122a5f3891530443252e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,He’s Alright [Bonus Track],1FuC6VKfdOA2QdGRVf84J7,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Childish Prodigy,3LJQ0Hfr5fbaor3iBWg9c4,35,https://p.scdn.co/mp3-preview/0f9ec981eaf332ca96c7820e82e5766f3ff75dad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Slow Talkers,7cdLTqJxTwkcHXGcDsxmZn,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Constant Hitmaker,5t9zbRAVAyr2yN8mURa7b0,37,https://p.scdn.co/mp3-preview/0b4a950ca5384e997292243cdf39b677447d7963?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Life’s A Beach,5RQxydeZOZChAN8pSVMgQS,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,So Outta Reach,3az5R3aa0a6ZfNcKVRK4lB,20,https://p.scdn.co/mp3-preview/24c4ea4e1113e1f553234e90076be43d80e861bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Smoke Ring For My Halo,3NyMV8dCdyX35I0fM1dA7r,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Smoke Ring For My Halo,32a7BrNNTAu7BVb6DcsMLP,31,https://p.scdn.co/mp3-preview/f7148e45a24015cc13b13d393c2b1ab8d9749f1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Don't Get Cute,3QVd0F78UqlU7Edq3XyeIZ,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Constant Hitmaker,5t9zbRAVAyr2yN8mURa7b0,19,https://p.scdn.co/mp3-preview/02003b49558172b665cfde90e0d90685e9371eb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,My Best Friends (Don't Even Pass This),01GgX0zVReWiwm1ySYoxmm,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,God Is Saying This To You…,6ZHnFao9ozneuBolFZVfmi,15,not available
14,I'm an Outlaw,0sORXcQYPYAuXaEX35dLrn,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,b'lieve i'm goin down...,2uRTsStAmo7Z2UwCIvuwMv,45,https://p.scdn.co/mp3-preview/467efdec32c5fb14c926111eaabfd0899dd3f4c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Snowflakes Extended,0SAwWL9hAhYvqsXDDUjTYS,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Wakin On A Pretty Daze: Deluxe Daze (Post Haze),12Ix5lt4SVOAwx44SkjpgC,20,https://p.scdn.co/mp3-preview/898deb9216f06eb2ba9bd5f74cc72efbf1d94e3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Can't Come,6hUMZ9GhFJ5WV8PQstTVcC,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,God Is Saying This To You…,6ZHnFao9ozneuBolFZVfmi,13,not available
17,Overnite Religion,1M9u1B0uYFV61GzVnIHmPU,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Childish Prodigy,3LJQ0Hfr5fbaor3iBWg9c4,22,https://p.scdn.co/mp3-preview/8c6b68239672e2660a721e297e3787d9c2a02906?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Never Run Away,75EFAHfGoQFa4EiUd6ncs2,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Wakin On A Pretty Daze: Deluxe Daze (Post Haze),12Ix5lt4SVOAwx44SkjpgC,25,https://p.scdn.co/mp3-preview/4f3a9b61c2a6ad8bdb560a9cfe7ac070ea182dab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Freak Train,6PpekNXEdQp1jLjmjMJ4Rd,Kurt Vile,5gspAQIAH8nJUrMYgXjCJ2,Childish Prodigy,3LJQ0Hfr5fbaor3iBWg9c4,38,https://p.scdn.co/mp3-preview/74170bc2f38562fe4112bf09b92ad390b424ecd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
