Matador Picks: Yo La Tengo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,14,matadorrecords
1,We're An American Band,6dporgDSehgHIWcYLoXoS0,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,I Can Hear The Heart Beating As One,3NFNNMIWnByvVPvCf7LsRU,31,https://p.scdn.co/mp3-preview/78c78b1f7525150960000f48bc203b26e55ebdb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Let's Save Tony Orlando's House,6xEBQquRuqVrIcOm0uyYPA,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,And Then Nothing Turned Itself Inside-Out,5egsoXU4SPbj38cP9sBlXk,41,https://p.scdn.co/mp3-preview/8ebc406bf4cf3cc720658902856992ff3f17f85b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,From a Motel 6,3zb5Mvpap6Q3qVh0VOuJSG,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Painful,5OPn2TtypUotqcA7K5C0IE,31,https://p.scdn.co/mp3-preview/adfb8e36e8107cf901b694ffcb92e533a9a849b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,For You Too,0WAHfqId7rL8Q0VHN4yMeJ,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,There's a Riot Going On,1PP5mb8VOZfofwDzHRQPYh,38,https://p.scdn.co/mp3-preview/632c6697266f5b3ebf270381839e5c964846961e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Tom Courtenay,1On6PxrwKjG3VGwFaEB9Gw,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Electr-o-pura,20m7e1jVfIBhowtPGlrhoX,30,https://p.scdn.co/mp3-preview/1ca0fc81cb1fd6f74038f44dae3aaf68feeb204c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ohm,3qG5TkcvkvmdkxJFznQGly,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Fade,32kBV5WyVtx8HaI8CbgIGY,29,https://p.scdn.co/mp3-preview/d6b8c06dcd35040a1db6400bd39ffa1ae8abb6e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ashes,2YmjVaikl30rmZZzlGTwPE,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,There's a Riot Going On,1PP5mb8VOZfofwDzHRQPYh,32,https://p.scdn.co/mp3-preview/0dd5237d58966050f2ccb13019b9f3f7f4afc445?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Georgia Vs. Yo La Tengo,2ZnVuhnS994owLkSrAdwhA,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Summer Sun,6Xq22tu9a4KJjmoXaOGGcw,22,https://p.scdn.co/mp3-preview/ec82bf755f88401c9d0e96e16a52d7ef1d20a637?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,You Can Have It All,4GrfClvQgCVLsCfqw7YthQ,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,And Then Nothing Turned Itself Inside-Out,5egsoXU4SPbj38cP9sBlXk,59,https://p.scdn.co/mp3-preview/7a7386ca146138446c82876782c1d6cdb25bb612?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"Pass The Hatchet, I Think I’m Goodkind",3hhiAdn7PWo5qP3ZH7TE09,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,I Am Not Afraid Of You And I Will Beat Your Ass,2F5qpcgQgeG9SEKDfgq6qd,26,https://p.scdn.co/mp3-preview/f7be0f9dcceb308e17696f25490a3bad8904aef9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Yellow Sarong,7tLSAL0eNBllvuPM54tlPa,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Fakebook,1B0vzhEsnZAuwtsNXT59Cm,18,https://p.scdn.co/mp3-preview/c8451b0f4aaffa5ec8181d6ff342f5911b0a1df9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Nowhere Near,6zqfL2Io4GGtVTz1Agrow1,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Painful,5OPn2TtypUotqcA7K5C0IE,46,https://p.scdn.co/mp3-preview/744a132f4fc2515f38d36ae47468aa68bf0e374d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Decora,0pBs51OtYinPkaLXoTb4T6,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Electr-o-pura,20m7e1jVfIBhowtPGlrhoX,27,https://p.scdn.co/mp3-preview/d80a8db3b425131c82978411f838e62b6dd5acf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
