Reading Festival 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,80,nme.com
1,Fire,0Ln5tJyLX5qusquBOtq7wf,Kasabian,11wRdbnoYqRddKBrpHt4Ue,West Ryder Pauper Lunatic Asylum,2DHGeuRTttjurZDb0pSjx6,66,https://p.scdn.co/mp3-preview/0a11fd0d2f9b828881b0801c64039eb729245c92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Supermassive Black Hole,3lPr8ghNDBLc2uZovNyLs9,Muse,12Chz98pHFMPJEknJQMWvI,Black Holes and Revelations,0lw68yx3MhKflWFqCsGkIs,74,https://p.scdn.co/mp3-preview/7ab3e38ce1671da3a185d8685981983a6f39b7bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Good Grief,6IGA5YrFiEr5ANrMqKkR6H,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Wild World,5NfeW0DqFVT3Su3kHBgTf4,65,not available
4,Next Year,52kisXmavD73BctnmcFhhY,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Next Year,77qODBj0bX3Ru7Dn2kfIQD,42,not available
5,The Middle,5kD9T7GForh8LnRz5ClbL8,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,Bleed American (Deluxe Edition),4ZqTPNXU0MBXs2iCcwjOPe,15,not available
6,T-Shirt Weather,1uNH7kknB8MVkmh6FfDb6W,Circa Waves,6hl5k4gLl1p3sjhHcb57t2,Young Chasers (Deluxe),6lE7PexxLr5OZtAwqBkyFJ,64,not available
7,SIGN ON,6nqfLCb0NdcxrOhHmyhT25,RAT BOY,2PmIyxmEFsNfQJjEifPDZC,SIGN ON,7M81sD2bUR7hTEpUcFeqHQ,0,not available
8,Royal Jelly,4YfJI7ViMo1PFrDDT88zOb,Deap Vally,1NsvfeRzexfHjhUGqWrULl,Femejism,6ZIBgDuOOSwRo7ddzFSxLP,0,not available
9,Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Cold Water (feat. Justin Bieber & MØ),3o99825qhG7K7D07naRs4F,20,not available
