The NME 100 2018 - The Full Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1130,nme.com
1,Bubblegum,1nkp3tOVQbN0V45OQWS6Ja,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,HEAVY,4ZJhPsudePeA2takLeA2Ob,34,https://p.scdn.co/mp3-preview/c2ffbf77a389a900e07c199df78250553819c07c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Loving Is Easy,5EYi2rH4LYs6M21ZLOyQTx,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,Loving Is Easy,4D6BtgzCwuJx9omikqA8Rg,81,https://p.scdn.co/mp3-preview/bce0365b96538116e07cb65fe3b3dbec560faae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Good Company,5cNKCdmw8U9aarv34QrC6k,Shady Nasty,5fEdUhbIAf9JlPhlc3swPx,GC / WK,7HiLK6Yt9WuQaM2aU0uw3e,11,https://p.scdn.co/mp3-preview/25b2dd5d2591c34fa88c9138823855c181bf4453?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Reaction,3dAKOjyDyDAYhfvdmyrivi,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,Reaction,36zvaFchWu58oGLdUnj5ib,27,https://p.scdn.co/mp3-preview/9a6e3fa44d4c78019037b6b6958aa2207081db6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Take It or Leave It,6QBDoker9GHF7koksbgLuE,RedFaces,0gP1g7feAxTD9rghuNRNNH,Take It or Leave It,12AsGZdEORL8vDZkdsnAyt,0,not available
6,Beehive,1KpwAU3UX0E29nGJUtDJ78,Gaffa Tape Sandy,00P2dAOymeYKFx4OSaVgw1,Beehive,3KuY37SEYSxtDiLPZqC5wh,31,https://p.scdn.co/mp3-preview/5497b9a199af075a2e2743982ee2a87a5ec00976?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"Broke Days, Party Nights",3W2yC6MPvNEnzV9l64VGEk,Ecca Vandal,0NhKCHTPG7Sz62S3zxV1Cf,Ecca Vandal,3sMoRAGg3MEhY80nHtzAl6,0,not available
8,Ants,0EeBxXM4B3kw6nQWjA1izM,Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,Ants,6y5zrUxoFuTulI7MAnXDQL,28,https://p.scdn.co/mp3-preview/f8534da000b5da7919d99f679c221e4ac9059791?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Silk Spirit,4l7qlwjLPcExTGkYFmODh5,Drahla,1HHyE1TCzui5Lay0gwS6bR,Third Article,79nBBH4ftVxlB3Uu4Ec6z1,0,not available
10,Concrete,6v5R9Q0aEgaSialrL8rFnt,Shame,4IeWU3NYBI9mISFVhzXG8f,Concrete,2IDNFLLiJwfHXugavpn8jL,31,https://p.scdn.co/mp3-preview/f4211eafecba79dea0a9f022b5c71d947d787705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Twisted Wheel,3LCxheiGjpwZmdlXsULC0v,Milk Disco,0Ab0uiddF2SLTw2qbhl6x2,Twisted Wheel,6DJ59EoHwkt8d5IAHSFrZg,7,https://p.scdn.co/mp3-preview/d4132883761b42db7247a14d43867a67b3942500?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,In Yer Time,6Xsmi3OPsMx2seBrbLT68t,The Britanys,6xZ20BMRVEQHBbojeiom1x,In Yer Time,1y8C8prJgE2ppCyIZm0mnL,12,https://p.scdn.co/mp3-preview/938318fd3a0457d6b4db1a2f90cd147e526230dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Pristine Dream,4eZ3AUZnW1Yx48TqvL1Vcl,Thyla,0L6tY7VDHwGDhx3T989SAJ,Pristine Dream,7fHEk1YHgfoKDYemRdPGmO,13,https://p.scdn.co/mp3-preview/8ec53ef281ab65739039d3a3b6e703e93d83a869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Don't Go,7GgxcaJ4awejMjBAyMIqyV,Moaning,3CUxaEfS61oOgusURYoP48,Don't Go,4h161nbtKLfaXcrvTnQRj7,0,not available
15,Somebody,4KaNMUsaWV2wNmO8mZd90q,Dream Wife,2DaP4uXwKOXAaD77XokW9a,Somebody,76h9Q9JPqJJu8BAMR0Hg0h,16,https://p.scdn.co/mp3-preview/c812d9a65e29b383ab7cf0c9eb79c869fc99f6f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Boxes,3hYi6RGpxMSsKP5UPMQGCl,Darcie,5KWkx2RtGNcPOLBjYNE3HE,Boxes,6SxSF8oshQ7mxITNqGvH7M,9,https://p.scdn.co/mp3-preview/844b88b4cea409c524e66560281093f8b6ca92cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Heavenly War,1QUuEl0qwSqH6vcvrFrNeP,Sea Girls,45FqwUG4hTT6d39r2HUsUe,Heavenly War,4XdEh72edyHlq2A0X5CbbQ,45,https://p.scdn.co/mp3-preview/dcd451e5f28b8f0a79b0a90520d41a75c5a8e3ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Jungle,6t1ahr2f1t9iSjjNFwFb4C,Tash Sultana,6zVFRTB0Y1whWyH7ZNmywf,Notion,7JV505O1I9Sc3uHtFEFtkf,69,https://p.scdn.co/mp3-preview/ca84c3001da472c3440f56b3057a31569511bf01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Finders Keepers,06BD7TeUR6mYbF6cWyzvZt,Mabel,1MIVXf74SZHmTIp4V4paH4,Finders Keepers,0GHwcubAh10ID1apl4n22z,60,not available
20,Beautiful Little Fools,6Qvm8M6J1jVz92QA04TlgQ,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Beautiful Little Fools,1uZybLyKwTQsYZTtq1K8OK,5,not available
21,Sober,3C57ewlHARCVqeH3KiYkma,Mahalia,16rCzZOMQX7P8Kmn5YKexI,Sober,7BCTfMzue11vOGekGO0xL0,65,https://p.scdn.co/mp3-preview/a4e924b453cec95bcea26e01a216f670d963f12f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Because,7d2a78r2DTydqHhYJ4YsQj,Smerz,1f8PlfSHEW6fHnILSzm8dI,Okey,05Q83Gc7qEPwHlnQFFwvTe,44,https://p.scdn.co/mp3-preview/5b3575df5c05084aba00e064127366e439924485?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,So Cool,6CX60nUnMJKGTTYWBLLmyV,Dounia,4fJsnm9CeDAPrwO4MAEToj,Intro To,7jMTC5H8GHTRMeu2NTKi9e,40,https://p.scdn.co/mp3-preview/1c82043e352b464db3b40e4b16abb6b842c88457?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Say It to My Face,5iCNGpefoPQacY2ktlUtEG,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,Say It to My Face,7iIk7RSdbmdF7ik7RYyih0,44,https://p.scdn.co/mp3-preview/4680752da48e2262a16a39b54a637129020cef8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Come Meh Way,4wUkSzBjXOPCxH0RCG2GaE,Sudan Archives,2MPHBxznH1fj59jbOWY38u,Sudan Archives,6Vs7bJcWtuyriFn0ol16lX,50,https://p.scdn.co/mp3-preview/2db8497303f9d8073c54f61963aa40ccf6be17c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Figures,0KS4cJErUelNRtHaO5RHnj,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Kiddo,1zwafjij0MrFVzE4g21DyS,4,not available
27,Sweetest Life,7I3rWTS7ShoyRqDDw1SvI4,KWAYE,5dIssYf7lu8wufkQywN9WJ,Solar,5EKep1yUR2Q7WcRI5jp7z9,27,not available
28,Life Online,7rpNjZEM1OeCqtEB7Ro03B,Caleb Kunle,3ummHhJhcQSykZfeZlw4MY,Eden,69JIqdZ6yTcXlRflPc64bE,5,https://p.scdn.co/mp3-preview/62b823cedf62ac304130a2cec232aced4e9161fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Patience,4nOmBz7P5XrzjudWcjil8s,ALASKALASKA,78CgVNlDQMvOVDIrRL84tJ,Patience,6QJlfWUrGRIOyL4LrkzKng,0,not available
30,Lately I,6ikLS4wtYh4Z7eLMwyCHZa,Yellow Days,3dv4Q4q3LWOnbLJnC6GgTY,Is Everything Okay in Your World?,06QkPaJ2REoJlivRZpkJYY,0,not available
31,Lemons and Limes,24KwSEKJMpb9etQvwqlEp6,Mina Rose,2b5wRreZ1OzoD7qUq3Hxlv,Lemons and Limes,6nbKg8jtvYwwhUrNG01ftr,19,https://p.scdn.co/mp3-preview/c00f026b2ca6a49d2e082e571cf1e4381c12077b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Heatwave,3pdLkG54I9kpckaukFhzu1,Amber Mark,0tbeZu9lv8YEKSQ9tZSslu,Heatwave,0aAztukkBfuzh5g4i86SKu,0,not available
33,Guilty Party,02YVcnG4I8V41lPZffUGb9,Thunder Jackson,3o0xJMKswwtXz2PhrRCHhJ,Guilty Party,0xbQvkQMqXMIGYkcVgQr3z,47,https://p.scdn.co/mp3-preview/a778a109d9c55343a3017ce49710af3a45f05940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Love In Bad Company,41OmOCUlaG3xcfLr1Di3di,Gotts Street Park,2hwy5DELim1AxB1sHPqn4y,Love In Bad Company,65jc6ICgtrHLrifaOCO9vn,29,https://p.scdn.co/mp3-preview/7e7592cc0fdb69a3d5cce9233555d5a800818c7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Language,1vZDGOz3ubE4wnX0ERpgE8,Col3trane,4hTL3jOgvZwOqegEZTOrCc,Tsarina,3EvevhHcM5hLc9lh9EhvCD,0,not available
36,Shade,4kIRyUnl8elQFStSL8866M,IAMDDB,7za6M9P94wuMsOVCHopTsI,Hoodrich Vol. 3,5fABa5up9Eit0AP1juW4Qm,64,https://p.scdn.co/mp3-preview/b9f4f49828973234e0e838845d328c0c9728caff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,GOD'S WITH ME,34ALhvfAPXBgjLZLaHSiLI,MIKE,1wlzPS1hSNrkriIIwLFTmU,BY THE WATER,55iBCDpBDtBBDgxcSMhp2Z,1,not available
38,Stand,67pm1BkBn7OBRcb3wJpbXv,Tom Tripp,62hBIrrKtkCUEBuV1HSKr5,RED,5yKlfuZu9vZMSGGRs7mtaU,16,https://p.scdn.co/mp3-preview/973e21be1a304b774bfa02eefaf3347432e1b514?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,7AM,5mIp7ujR5EvixBsIuBqcgC,Hak Baker,5QsqiLFA5Z2gmpKBbxQB2j,7AM,5toOdUSzitLOU9fVPAd3Wr,38,https://p.scdn.co/mp3-preview/753b922dc2618dce888d1ad08b5faab338cb4726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Girl,5FtjaVLEeDfFb9t23hqizi,Standing On The Corner,5yD3wA48IGUoCVboe0LdHx,Standing on the Corner,0MblndC4uP0dIOG3Z5kSFV,43,https://p.scdn.co/mp3-preview/67b776a093b1d4a00c7db8c4cba6f72a1028ca1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Calling (feat. Kojo Funds & Chip),6wb67rUIC9CWRyfQL8jPle,GRM Daily,4PCeJ2EIn3YtzYYRsHHWyy,Calling (feat. Kojo Funds & Chip),6bZ7mjRBz3sAjYQ3xTQPur,42,https://p.scdn.co/mp3-preview/2aa057c777601786eae9d6b86a946effe18a6409?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,D.R.U.G.S.,7D1UnbetgQ0BdxSC7dYQBI,Rejjie Snow,3lLHpTOJ11tWiUNGYN14gt,D.R.U.G.S.,6CucNCiY2IWy1KstPvZQ8p,46,https://p.scdn.co/mp3-preview/3a294d89a981be5f3628e4d405e8f17c0ced6a9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Crown City,14aeEcoYOcKh0gF5rn62Kn,Layfullstop,44KO1So8LqWGobs7xNCqe9,Crown City,5OBbHTTaVwPZwF21WAA95V,10,https://p.scdn.co/mp3-preview/6f1119134b4ac6ee3f18589d809131b2fd221902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Party Here,6rdaW0ZtNeQv4J2lmOf4sS,Octavian,5zfEatKLDdRkgbw6sdLBAQ,Party Here,5IQPwP4peQsgADqrhuFEL7,59,https://p.scdn.co/mp3-preview/7c1c420a2921ebe09a65864f18d4eab4b8d84165?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Bangs,3OB2njC8x0Vg1LmkxtyDFs,Ms Banks,4imxqng3RrOBmykL2DhIJC,Bangs,6Ke4rTsW8rhwjWbiiynxkY,0,not available
46,Rihanna,5kJEUjZUh1xPRUHQc8hEnq,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,Rihanna,4DOrwpCe1rlogMIZl3U93D,63,https://p.scdn.co/mp3-preview/c37b5ded778ef03703f929d59d2d8dc7e2555acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Energy,7IMqgNhzeFbxK0kOwNgybQ,Avelino,039zhJoEkboZ8Ii6K40Fb6,Energy,2hIvVt0wi9fFvX5wV8lfRa,53,https://p.scdn.co/mp3-preview/d7c24e7abaccbbee1b45ef1f114f1097acc573bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Man's Not Hot,2nUJvBO87SkxCViQsLc9Zr,Big Shaq,7mnAzEmgquhrVtGob81SmO,Man's Not Hot,65wFooaReDlx2R70m1DN7J,12,not available
49,My Lover,5grn3VtEvf1TjrSLOKznTD,Not3s,40NRiKuuhj1pgGYppptlBO,My Lover,4qufeJyMWjtkuka1gBnMIk,47,https://p.scdn.co/mp3-preview/5c5acb083296d6614a836cb7ccb632a72f9a062d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Southern Comfort,5Dbp5k1UAT6PuOgu7Ai0VP,A2,6CLayzfExGy0fSn5IT0aX4,BLUE,0frUXvvIIbTAHgSAmhfKYU,38,https://p.scdn.co/mp3-preview/6dc44e828e1daf79d48e56fdf8a7a45b1f66aef0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Question Time,0UYKSIjIUiO1T3BBuCeTVF,Dave,6Ip8FS7vWT1uKkJSweANQK,Game Over,5QsGJ1tErNh5aWxowJojom,50,https://p.scdn.co/mp3-preview/75b55f4b107315e93875a5c8d369a61f4b264fb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Do the Road,6pOcOdEyZbtd67dbTn8I9v,Jevon,1cwNKCIuq12wLqAAsC1Zyi,Do the Road,6PqJIaviZTOKbKHk4DZbYA,0,not available
53,Decline,5STWwZgJ5gHzXdOsZ1hTqH,RAYE,5KKpBU5eC2tJDzf0wmlRp2,Decline,5pjHPt8pRTkjQ0ba8TEQAm,7,not available
54,There's a Honey,2PZHtfit2IPXwwnODs6aLx,Pale Waves,0wOej91SVqB1zcYkW6xUtA,There's a Honey,3qWixYFIjM0jygkzh9hKPm,3,not available
55,Better,053qv8twpdp6pCjwHLJJf3,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Better,1aPWDMr9RCimNCCBw9GgyJ,0,not available
56,As the World Caves In,4JE6agBLHGA5TaF6FlqfBD,Matt Maltese,12j6dJrPXanCBwY599pZxf,As the World Caves In,6bKosNVvMaaosmJTV101y0,38,https://p.scdn.co/mp3-preview/58f45763cae46d8b248d66b63c51d806ad5f3f42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Something For Your M.I.N.D.,47wq2z7KMHDRnoSMdZODUA,Superorganism,0Wkm45quqfx3NepJpXDvwE,Something For Your M.I.N.D.,2FlD0ta44kkFbIvwa4uDeP,53,https://p.scdn.co/mp3-preview/14e41464fbc4eed0ab4afca7663aa999612a4f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Big Fat Mouth,2H57VA9OzK2NLmweUfJTdq,Arlie,6Bllzm0olEwqGwPujaLiuA,Big Fat Mouth,5zV5ZxYZ42GF1wGO7RI587,7,not available
59,"Losing, Baby",39KmnoDIotiNq6MSwcVD87,Brooke Bentham,6c1CljS2C5YB6k7INEUs0A,"Losing, Baby",3fpi64QqO982ZcvJfDu2Zk,28,https://p.scdn.co/mp3-preview/780bb62a4fd7d42c53d0ddfb1d0f1247eae96030?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Pink,1twTatZXHgJwZEhKl41uBj,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Nervous System,22aqlgX39cWQMWazg9qwuv,0,not available
61,bellyache,1HxLdPHNJbFY3DG8c5qqhX,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Bellyache,4ET843xYWfvkyQwnzeNNlt,5,not available
62,Don't Kill My Vibe,4WdCxlUyj3TCTBaJx5s9tF,Sigrid,4TrraAsitQKl821DQY42cZ,Don't Kill My Vibe - EP,1fUJMrFtZMbtDS8c2dklb2,5,not available
