For Fans Of Daft Punk - New Bands You'll Love,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,189,nme.com
1,Overnight,1kgws2l8gsvDhtsVyzWbu9,Parcels,3oKRxpszQKUjjaHz388fVA,Overnight,4j3sdOtrUvam9EaehRzi6B,64,https://p.scdn.co/mp3-preview/361673bee02f370c642d42f64ea1516746dc6be0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Life Goes On,1wdxCPFz5KfjT8dfPBdIb8,Keep Dancing Inc,426htfG7DE5S3kgoVCCJUB,Life Goes On,7uEp0Fz96bmbadLGww8ssW,0,not available
3,In & Out,5rIVZHjz4VJIqFLPfsFEmD,Moon King,6hTzDsb4gaKGZMNtfC70c5,Hamtramck '16,6T05VqG6oXfIYYjY3xVyxa,41,https://p.scdn.co/mp3-preview/ba52e93543421ed54017a6cb54bb3429b45e20f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Crimson,3q47RufCCzXrimbWapHHY5,Ross from Friends,1Ma3pJzPIrAyYPNRkp3SUF,The Outsiders,0c2To7FAmKgAeRpdrobFWP,36,https://p.scdn.co/mp3-preview/18cfec5759b040ee635d79f652d2e3c9a4607a20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Time,7gZwV5mMK7lMNb4dKUFf1i,Shy Luv,3atb7ypZHaRM3INhuD1v4s,Time,7jrwd8jRSsFfTfnRapSIAP,32,https://p.scdn.co/mp3-preview/741bc02edb5993b81c49e2416b0395734bf9a971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Want U So,4OoUfdPx1JH55T94YLgYxa,DJ Boring,3MkIU5jhXTMK9pYQTRVI6p,Hidden Messages,20TZsf2F7PtlPzShh0VN8A,0,not available
7,Quite Like,3OsujUDTgB1Vyg6AFXlhDk,Her,1T2WeXEi0XlZiPpjjDAY0L,Her Tape #1,7tES8iQ9UqwRVQYHLNodzt,4,not available
8,Sensations,5mrXuriXhQ0MYwNJtjG2IR,Pépite,0oA0cg7ajEwV0EXKCAlQ63,Sensations,4QG6WQ8Jt5YqRAaqrQ4ibX,46,https://p.scdn.co/mp3-preview/e64a075560ed7bece0d7e44aed08349b7d5261ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Myenemy,2R0G7qes8jNtVrE1YkBNEy,Parcels,3oKRxpszQKUjjaHz388fVA,Myenemy,3UOCzasFl1yg7p2JRPjX8R,46,https://p.scdn.co/mp3-preview/d411a1f656169f7ab77422adeb35d6025b8118e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Come Around,10o5gYsf5zIJseJBZfFIKg,Moon King,6hTzDsb4gaKGZMNtfC70c5,Hamtramck '16,6T05VqG6oXfIYYjY3xVyxa,33,https://p.scdn.co/mp3-preview/24715f9acec0b170da8243a7a88f308a0e250e4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
