TAKEOVER: Those Pretty Wrongs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4,burgerrecords4life
1,The Student Becomes The Teacher,2wZmgwqhw6LUr5367kAX9j,The Lemon Twigs,7eYZSXnQVCODCVmTV8Hk2T,Go to School,0SYWCY9KG8C9IggUA9r0Oi,25,https://p.scdn.co/mp3-preview/61f444fd767987cb1165c78b8bf850501199afda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tea Leaves,3tIIbdWwfT1dF2vI50PV6l,Jim Sullivan,4U4dyH3tMYOQMZYTjsXmeJ,Jim Sullivan,1CUmvTFTVamWliR1GXZoT9,17,https://p.scdn.co/mp3-preview/8d0c68cc3431f760842d3a4f04fa6037b533da8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,History Buffs,2ziZHRao29Cw6xuT9Y4xrQ,Ken Stringfellow,3TFAJTLpniOsGlMeh8Tqnk,Danzig In The Moonlight,4Fu0smt9U7e6aSAQZZ1o1P,4,https://p.scdn.co/mp3-preview/f11824855bb160f44af5b687078af5eb5b725760?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,In The First Place - Bonus Track,6VpSbJM7or7iQFJMFqXnLN,George Harrison,7FIoB5PHdrMZVC3q2HE5MS,Wonderwall Music (Remastered),5cH3fpk7okaczpozIjz5WN,21,not available
5,Just Like Me,59R5s14AesSAiB1PP2lDZ8,Colin Hare,3lb9pZudT0fGu5gVynH54b,March Hare,2fzDDSJy0bTeOT60viLj7O,2,https://p.scdn.co/mp3-preview/813adc5679cd191b53b8be3f7438b93a44698dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Phantom Limb,2aQx1i3XjtB3TSN4J770Iv,The Shins,4LG4Bs1Gadht7TCrMytQUO,Wincing The Night Away,4Zl638FA70c4Oxh4AimZLh,59,https://p.scdn.co/mp3-preview/9763feb9983046b9e9ce813ad0468cfa5a615251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,So Lonely,1BxCPL4XKBOx2JjUVzxWdd,The Hollies,6waa8mKu91GjzD4NlONlNJ,Hollies/Would You Believe?,708FwbZIP19xOxolTlne21,2,https://p.scdn.co/mp3-preview/a685d6ece1f7292f9bd69b8effca06e71d6858e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,It's All Over Now Baby Blue,275DwTExT8FEZqNI4TEKul,Link Wray,2vQavlZtDA660mnZotYIto,Bullshot,7gRjHYt1K5xQKW0blMZB5p,14,https://p.scdn.co/mp3-preview/39d05f286ece5ea493f1450ab08853c917608d7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Until You Came Along,2zZWOk2X14YQ5w4JV4CDxk,Golden Smog,0BLh5cn4nqfqoVUREx3hLj,Weird Tales,5ki4086ts6kFz1fnoy324k,32,https://p.scdn.co/mp3-preview/0c62ac989e1b4739b5da89dfd7e4d1ea2afc7fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
