Abandoned Castle of My Soul (Mac McCaughan Halloween 2016),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,9,mergerecordsofficial
1,The Kiss,34qpBVoHpdjcOkPauHqHSz,Alexandre Desplat,71jzN72g8qWMCMkWC5p1Z0,Birth - Original Score,6MOwUMWb5Cl1SCuLuRwPpG,0,not available
2,Adventure,3MzKMnAlDJkwknwVzZlHgd,Crime & the City Solution,1JHNDcYDgecLVApixUMQY2,Room Of Lights,1RiBbCuSksVV0vSz6fAUrA,10,https://p.scdn.co/mp3-preview/5b5af1e7cbffc90c1b026deb6b2e564826261df8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I’m a Raven (Shake Children),0fXMFBprRtdpOhA8fIcxPs,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Lateness of Dancers,5K7VYgm2UUdIdis8H3zMhA,48,https://p.scdn.co/mp3-preview/6f32449a55897b74dca4a92d678916969f327713?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Spellbound,5Ng6UbryNd3eds2zQk9MUf,Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,Juju,5OEum65e1HMGX51Ifu51Wb,57,not available
5,The Trial (Remastered),6p28dxj6AIimLmacb00pwQ,Dead Can Dance,6sq7prp0tj9Abn89khmfja,Dead Can Dance (Remastered),0S4BTkNeo3XTqRjLF5MNFm,25,https://p.scdn.co/mp3-preview/1acc9b14f9a4a780f7c0a96115b79d96570b1677?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Adrenochrome,26PaxXcKvprQvvInBI2Awm,Sisters of Mercy,4HxBVyHaUa60eCSsJWxwWR,Some Girls Wander By Mistake,42HVWb7R8TxLHgVjc2OOIV,18,https://p.scdn.co/mp3-preview/a1d77d9c53cd93c9f860a6f4689e966d35ee18f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Cough/Cool,1VzP8RSJSpe4BMLwFdfyOz,Misfits,1cXi8ALPQCBHZbf0EgP4Ey,Collection 2,7dUrduNuWHYQ8pdDKtBedD,35,not available
8,Female Vampire,7N2RKuFFjljgqZtAChu0iD,Jenny Hval,5eerVxtb9lY9p6D7m89Bs7,Blood Bitch,18XEoSRglCwQLGClea3686,34,https://p.scdn.co/mp3-preview/29e6022663f386359236035ecc6c636cc1a918bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,True Killer,7eSfIu95cqJGrDH5Nyr0fR,Sneaks,40iUcsx6LWJ0DEPryPmU30,Gymnastics,1fHozeTsMeD2qq3ivDY8tA,31,https://p.scdn.co/mp3-preview/51328833d7b645999f3bd1d0aa6864d995280726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ghost Rider,3XXoRVU8DBZe1Pbk8Gjp3x,Suicide,6uVeWolwyRDrT84lLsaZyW,Suicide,6LLZjIp5G4LZFS2lNXHyUw,0,not available
11,Jennifers Veil,6aQsBngyrDRffpI8OkNuGA,The Birthday Party,5I2hMUcztc6QbzkyLskdt4,Mutiny/The Bad Seed,7LT9c5MHBgDWB595HgQkvr,0,not available
12,Werewolf Gimmick,601sKQRE4ZVptFWVwLw8k7,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,Beat the Champ,7HWC61Sl93gYdBqCV5EIka,34,https://p.scdn.co/mp3-preview/7c404b0c466dff3d46f376d25661bc78cad57e71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Garbageman,65CkxnwiaLvC6FbVrRNAqT,The Cramps,4lYtGx5NZQJHsMyhHc5iz3,Off The Bone,1n1znRLH7iRtkhjbrCs0wi,38,not available
14,Halfsharkalligatorhalfman,17lNApzjLJpKTaPiqhZB1V,Dr. Octagon,7dr3cSEOIZ6tBrm4y1wsnr,Dr. Octagonecologyst,0GAqyZFjgaz6V5ozTS0dfW,26,not available
15,A Galaxy of Scars,1Du1ruxnx3x26C6pyDknB7,The Third Eye Foundation,1C4Ix8pbUGqzAP79elcpcm,You Guys Kill Me,1gsZL7kI08AreHE7I7eUNI,0,not available
16,Microphone Fiend,0cSJGFChou7M6u2ju9SWN1,Eric B. & Rakim,6jHG1YQkqgojdEzerwvrVv,Follow The Leader,42p4dRDB24b9mvBmMb0QR9,49,not available
17,Mind Playing Tricks on Me,63BokRfXSQhEU6Qi2dSJpZ,Geto Boys,3f5fB1YUbkUnW7cf7I0R48,We Can't Be Stopped,2MJEvcUvsLPjsvVgqn8xa4,66,https://p.scdn.co/mp3-preview/fb7404b0ddd6999ac742ef369e72c0f3d4b478a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Downward Spiral,6iWbJdNf6Fl9y298RDZfrc,Danny Brown,7aA592KWirLsnfb5ulGWvU,Atrocity Exhibition,3e7vtKJ3m1zVh38VGq2g3H,47,https://p.scdn.co/mp3-preview/3d5a356179b7e101d035131017d0a32fef2da148?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Jamaican Greek Style,2It0dfgBW9wNCEQbOjpFlQ,Levantis,5wf3kImGIkNDTsz98rNMhe,Romantic Psychology 1,4QhFfutO9A0Hbf66tOQcyC,2,https://p.scdn.co/mp3-preview/9632804a13e1f6c88c4b3e74dfe752ab6755c293?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,A Little Death to Laugh,4lP5G6fQK1q81yx3UAGVVu,Cold Cave,1ssulsHf3JrWakLxa8yFad,A Little Death to Laugh,3BVmwwumoYbgkQaWdJxqQC,13,https://p.scdn.co/mp3-preview/a98c60aa83f102dd339a721f93e0f5b1a47222b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,A Day,2OG3u2CJvDjgwKgdnHy0Ix,Clan of Xymox,1wHmR7I0UlF58WFQexCPha,Clan Of Xymox,1fxTpqxWhMTVo6nc3Dh9GB,42,https://p.scdn.co/mp3-preview/6bd37f313b0c009073c3ad41b442a6b3d9a4db00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Abandoned Castle of My Soul,3y0bq9zczGBLEFUXpr3eVl,The Gothic Archies,161lBmFIa6kJHhSFWM84xx,The New Despair,1ruRmebnJRUgPT5imOimAE,8,https://p.scdn.co/mp3-preview/1b5391693448a9ff6890a96ea3e80185c736f980?cid=fa83a2fec7c440b7a2795d600d6b2c7e
