Spotify Heads South: M.Ward's Picks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1127,mergerecordsofficial
1,Come In Stranger,6x2tz4q06dkurhHUr3Umw5,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,Folsom Prisom,3zhJicG2IaiqU4QjjhhVTv,0,not available
2,You Baby,1uvgCsJtH7vWUMAdv4mWa5,The Ronettes,7CyeXFnOrfC1N6z4naIpgo,Be My Baby: The Very Best of The Ronettes,3vLFWR3fLqfY82WGvaLuyV,26,https://p.scdn.co/mp3-preview/3624c6966980a89db0a05993c277c9b5e0de73d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dearest Darling,4uSP4PAEKCcY7a3drvdRxR,Bo Diddley,2bmixwMZXlkl2sbIbOfviq,Treasures,0t3k6UP9QOaQkrnyGRaaMb,0,not available
4,Talk To Me Baby - Original,3E7tCedVr0BE21tGyBwowb,Elmore James,0q9kpdDkEA3H17gcRMjgVS,Elmore James' The Sky Is Crying,42QO23EGAt7TuDnYfQifA6,0,not available
5,You Was Born to Die - Remastered,6vTbvUSC85kEFP9oWB4Gze,Blind Willie McTell,4vRyd1UZ8Eq98EppbwOBg6,McTell Alley,6RhsKAl5lwHCfy62la1kNz,8,https://p.scdn.co/mp3-preview/5ce21b75b866eec0d8bf174db871ac4eebe50694?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Way Out,6tmlwJjSw8QLZnBjwZ4Mej,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Show Your Bones,4vILeh9sgKiDXnyL2pHCiz,36,not available
7,The Moonbeam Song,543C1PMSJs5zytsTRF9hrU,Harry Nilsson,3RTzAwFprBqiskp550eSJX,Nilsson Schmilsson,4s2hhmQizU4FHtRU7dDzHP,0,not available
8,Please Let Me Wonder - Digitally Remastered 99,3kPx4Yat8IikXRTTR2Hs50,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,The Greatest Hits Volume 2: 20 More Good Vibrations,5Xc62QAWubiTvf3RDL4eVi,0,not available
9,Moaning For My Baby,5VY00prvAMdMfopfrZ7L0E,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,Smokestack Lightning /The Complete Chess Masters 1951-1960,2xqlI9kJs5AbvfNYcBoryP,0,not available
