I Only Listen to the Mountain Goats: All Hail West Texas,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1682,mergerecordsofficial
1,The Best Ever Death Metal Band in Denton,0ZU4ImdR4d5TK6TLz8PacY,Laura Jane Grace,4yfPiAauSgUfyc4k4WtwM9,The Best Ever Death Metal Band in Denton,7ke4uZ9QlJwkAe5yWmwV8X,29,https://p.scdn.co/mp3-preview/96c7ad59005864bf717992abd5394a634cf80804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Best Ever Death Metal Band in Denton,38dYh2pToiZPEKGVErVISk,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,48,https://p.scdn.co/mp3-preview/907d4d342c283d17b272f97494885c753a965597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Fall of the Star High School Running Back,4pYnmenjdGcBJIkSx2GYVW,Loamlands,5l6XIrqKniA6LUKGNdz6FT,Fall of the Star High School Running Back,13c0r1UJSPhhQxpX94TqA9,16,https://p.scdn.co/mp3-preview/afe37968e5715e8d469f25cb81b3e45e56b35174?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Fall of the Star High School Running Back,4tORXCRhVNh0Vd3pta1Lr0,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,35,https://p.scdn.co/mp3-preview/f2b131cef4825e7679d254d4d735c445abc833a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Color in Your Cheeks,31IphwwZwN42INOI99xCqZ,Ibibio Sound Machine,4J6CnIqPEtWYn3la2YYj2c,Color in Your Cheeks,5PSEvz3EgkbNUKK16WEJxR,37,https://p.scdn.co/mp3-preview/3ccb77a744658b33aff4141e2ddabc3db1167d75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Color in Your Cheeks,5NfLknyes6L0h5dDB6ZPck,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,41,https://p.scdn.co/mp3-preview/3cd418b5ae33eaeb4d252e248ceebd7e87bf9a54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Jenny,0MAG2mQyGjuUAsq0ANlTvr,Erin McKeown,715aftFykfb77AGFFs9WDj,Jenny,3a5SudNF5bXLzb7rbS8J2V,21,https://p.scdn.co/mp3-preview/9fa94ec4f89c15730b13b52bf65e5a30ec014f7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Jenny,3sk94HpnM7CKvHsv2pWD7e,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,36,https://p.scdn.co/mp3-preview/7f85775db193372c8bbc58da52bd6d4a8a953eaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Fault Lines,185RJkDhAiXwm85xmZbrL6,Craig Finn,78DZaDfOK3i88eRVPkzZu2,Fault Lines,4qWysmHsm0GhOyvSRafQxZ,17,https://p.scdn.co/mp3-preview/b667a8a27ac821ac4ff985b9ba798bae6fcaefd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Fault Lines,4Tr1gNPMUU9hlEV1F0IsEu,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,34,https://p.scdn.co/mp3-preview/adc44c3de0f42310cd57caf32b577231afbe3c55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Balance,1FsAxNWdKJ50jMqZZqxKZl,Dessa,2CQAfzpwwaMxj3YNlb4Gbj,Balance,4CdABkFeRFbOv3jhEMR4BX,22,https://p.scdn.co/mp3-preview/ee7fd4189fc14652e98dbb11963203b65b7259a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Balance,3KxgkR0sJyCkSqmvslZA1S,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,32,https://p.scdn.co/mp3-preview/528506a88ce50d9ac17c7d920a7a0ade95dfaecd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Pink and Blue,0wxoP99lGgFgEBzh6atA1I,Mothers,0aeq6izGKdpdcBUkXGCHXv,Pink and Blue,1yNn9dpqd90yRWrjkQ66x0,20,https://p.scdn.co/mp3-preview/7f84e88858eb9a5a930a290fe635570ef1c86d0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Pink and Blue,4bX6oLjO0h3ccl4ugpxEGE,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,32,https://p.scdn.co/mp3-preview/e641a557b39a133af27d08abeb6e7b9a2d5aa3cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Riches and Wonders,5idJVsreUd8RStCPPXliMF,Eliza Rickman,4j0K5gPOQZYpiaz3vc9dzx,Riches and Wonders,56Ui6oKpFqvDg2e5sSXWds,33,https://p.scdn.co/mp3-preview/7b49078f15949746a242e769310345c54d790d11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Riches and Wonders,47JRH7gQQci8Bu4miO0b09,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,36,https://p.scdn.co/mp3-preview/7cf8483c18be1c046444f878785a26c4a84e81d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Mess Inside,28F4BN6VCrjbzoleOz2CpH,Amanda Palmer,726Dh6A5VyDfAAQxilT6A0,The Mess Inside,5mfr4bGu8QYSMJvVpwrK5r,24,https://p.scdn.co/mp3-preview/85b9721d6aaf4e6cc597a8c58f26791fb534aed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The Mess Inside,3B7a3OW9h51WJKYQXD5IAo,The Mountain Goats,3hyGGjxu73JuzBa757H6R5,All Hail West Texas (Remastered),0SSMTJHDokOaKuaLaeSAYd,39,https://p.scdn.co/mp3-preview/1aca1aef25a126966f7036b5f3a007d4c8ba74be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Jeff Davis County Blues,0ZlW691u50Oo5xZaiNhETq,Julian Koster,7xtsOnL0LUcIETlMABUkOO,Jeff Davis County Blues,5x3hFqZ8uNcKLhybpbM6az,8,https://p.scdn.co/mp3-preview/503495f47456351db79d26046d8c7c0eb7f5bc03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
