Surgeons Soundtrack,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,The Wind Cries Mary,5H6Jp0syB5yEPk7SWYdlmk,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Are You Experienced,7rSZXXHHvIhF4yUFdaOCy9,63,https://p.scdn.co/mp3-preview/d447ae016d887eed8991b6c6bbe6f60370684ff1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Combat Rock (Remastered),1ZH5g1RDq3GY1OvyD0w0s2,80,https://p.scdn.co/mp3-preview/670a419f7cb549ef6d3d7f9c5060ac6b8c112fa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Highway 61 Revisited,6YabPKtZAjxwyWbuO9p4ZD,72,https://p.scdn.co/mp3-preview/f0eec1a1dbd31bf51cf323d2981535ec4fc5a568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Rebel Rebel - 2016 Remaster,2EC9IJj7g0mN1Q5VrZkiYY,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Diamond Dogs (2016 Remastered Version),72mfhbEsMtXR6s7v9UhKe3,74,https://p.scdn.co/mp3-preview/392a6a4c64a5129a088460dc6257c1ef740b54ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Beautiful Day,1VuBmEauSZywQVtqbxNqka,U2,51Blml2LZPmy7TTiAg47vQ,All That You Can't Leave Behind,7gskILm9UyDvFlmmAoqn2g,64,not available
15,Why Can't This Be Love,0TaT50ZZxT4ytZxuqkE3A9,Van Halen,2cnMpRsOVqtPMfq7YiFE6K,5150,5Ew5vOg3PYyT9QUPCrdIZq,64,https://p.scdn.co/mp3-preview/d9f039eb9addda53dcc15bbbbe24f3c0103c953b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Iron Man - 2014 Remaster,3IOQZRcEkplCXg6LofKqE9,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Paranoid (2014 Remaster),6r7LZXAVueS5DqdrvXJJK7,68,https://p.scdn.co/mp3-preview/83facf894aaa71be09e596b7e727609fc9bd4eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Who Are You,02DurCgOvDdX0uKEjqcl3W,The Who,67ea9eGLXYMsO2eYQRui3w,Who Are You,2Qq60yedIbueTu5Sgn2bfL,15,not available
18,Barracuda,4KfSdst7rW39C0sfhArdrz,Heart,34jw2BbxjoYalTp8cJFCPv,Little Queen,1LaeNhiUpL3X6N0LcFvuDF,75,https://p.scdn.co/mp3-preview/40fe19875a5d5aae773c517c3179c47d12f94c25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Rock and Roll All Night,21VFnR1UnYHi3lkAjrkXBk,KISSOLOGY,4BaJwuCCbbkTInrne2mUBd,Alive51 (Live),4NKHWPXpr5Pao8uaQmFY1E,0,not available
