Summer Jam 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,84,hot97.1
1,Wish Wish (feat. Cardi B & 21 Savage),6pcYAFkGyFRCrmcXk6iauq,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Father Of Asahd,4vuV7xWL4TDaaO412nbhuK,33,not available
2,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
3,"Thotiana (feat. Cardi B, YG) [Remix]",1JkrD47SDpAbyvqKtolcea,Blueface,3Fl1V19tmjt57oBdxXKAjJ,"Thotiana (feat. Cardi B, YG) [Remix]",5DjuLFcOMVFgqG972w6fgp,70,https://p.scdn.co/mp3-preview/e335fb1c0412562ee3c90867dc125c545f9f6704?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Money,2GGMabyHXnJmjY6CXhhB2e,Cardi B,4kYSro6naA4h99UJvo89HB,Money,2drqVzCt52KiDxKgl0Rq0P,81,https://p.scdn.co/mp3-preview/98ae39c7808d3c596f59e02311236f04f5201940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Narcos,0wbnC9AUenxp613TYaJsGK,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,75,not available
6,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,80,not available
7,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,76,not available
8,MotorSport,4wFjTWCunQFKtukqrNijEt,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,77,not available
9,HOW BOUT THAT?,7H0NHzIEzCoIENLC2o8Obj,Quavo,0VRj0yCOv2FXJNP47XQnx5,QUAVO HUNCHO,2DjfazR5N3TgXBQ7oVALA1,56,not available
10,Freaky,0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Freaky,0JDoNU0AZ54Ng8e2iPTKRs,75,not available
11,2 AM (feat. Tory Lanez & Davido),1QJMplrWRTmL9DUAvWA66R,Casanova,6dXsR7VDJvXnF1LTZlwULx,Free At Last,3NFWCRbtmJco0bf4TwUbTd,42,not available
12,Litty (feat. Tory Lanez),5J5PXmMdQ2nh1lZOal8KmK,Meek Mill,20sxb77xiYeusSH8cVdatc,DC4,6sNbRwX0lZREkdmUSDsVzo,66,https://p.scdn.co/mp3-preview/de09047b7beeb7e686a63d9a8c073c16d3475c3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Pa Mi (with Ozuna),0CYLDwvvpJQySLA5CvqvSl,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Pa Mi (with Ozuna),0ddRkZjGcRWxyCQWkWF3UN,65,not available
14,TAlk tO Me (with Rich The Kid),2cRgo1TiPm7SnPvYzvbOLf,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,LoVE me NOw,4QSsoW3XoitQA1NrfoCjwr,27,not available
15,FeRRis WhEEL (feat. Trippie Redd),6j97zG4DDrh3oUa6rZbFOs,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,LoVE me NOw,4QSsoW3XoitQA1NrfoCjwr,31,not available
16,Fall,4ou5xyFUJX4VwX76tw1qb1,DaVido,0Y3agQaa6g2r0YmHPOO9rh,Fall,49EjkUgoE70dxKcXXd9szs,68,https://p.scdn.co/mp3-preview/27f7e0856a0d95711c6c4580bfa2e97c3cf60947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Simon Says (feat. Juicy J),4l2maonUDTMvGGT4bmkB3h,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Fever,5WLquTz7nUnsHCj80b6wci,68,https://p.scdn.co/mp3-preview/186ce0b88b495465c4367ca26aecf7e9d83c5784?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Ice Me Out,4DTAjCuxIPAcN6Woa1V4U5,Kash Doll,3u579Gdap91lMptBSdXTpf,Ice Me Out,3rrM03eQdOgkioK6d0kXAb,64,not available
19,Twerk (feat. Cardi B),0RRm4OS5ymfZryXBuj0G2m,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,6zzs0HMzEPRotJaEJe8uwJ,75,not available
20,Act Up,3A2yGHWIzmGEIolwonU69h,City Girls,37hAfseJWi0G3Scife12Il,Girl Code,6zzs0HMzEPRotJaEJe8uwJ,81,not available
21,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,20sxb77xiYeusSH8cVdatc,Championships,6UYZEYjpN1DYRW0kqFy9ZE,86,https://p.scdn.co/mp3-preview/29e19c68dd853994221a90103db28427f1185e33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,24/7 (feat. Ella Mai),6irE4Fbjbry3czv7mTxVSB,Meek Mill,20sxb77xiYeusSH8cVdatc,Championships,6UYZEYjpN1DYRW0kqFy9ZE,74,https://p.scdn.co/mp3-preview/ab0ba28f39a31d6dfe70fd97e47835d93f99db49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,HML (feat. A Boogie Wit da Hoodie),0ijkEO0FxiNofOkQc6aNUo,Melii,4udfTw7V8jI4AHi7PEfJfj,phAses,3DyZkm7YkC2XWetCbCQFf7,66,not available
24,Copy (feat. Odalys),3ASGjPoKETZUitMsQQ5g7H,Melii,4udfTw7V8jI4AHi7PEfJfj,phAses,3DyZkm7YkC2XWetCbCQFf7,40,not available
25,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,The Bigger Artist,3HHp5I6Q6SEyU5bkvoCtnV,79,https://p.scdn.co/mp3-preview/eddebe070cb8339e7f04ca7dce27052d090e277f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Startender (feat. Offset and Tyga),0jAfdqv18goRTUxm3ilRjb,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Hoodie SZN,3r5hf3Cj3EMh1C2saQ8jyt,74,https://p.scdn.co/mp3-preview/26328dae6170f2d51ef6b52abc97b97cec84c271?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,You,5wUBONclIQRIFrsPzW5TiY,Nicole Bus,0IeB4swNmNetlaZUgdHqBX,You,6ByZxyEnEtLSFqJUmXVdTP,54,not available
28,Patek Philippe,2wV36tClF4Of9ZfRk1pFWi,G4 Boyz,4ZtqSJYEh407LR6NM5hNcS,Patek Philippe,0K6imIy5zdSaST8MGGv0Uu,44,https://p.scdn.co/mp3-preview/69c8bf9999480b91656fdc2887ac43983319613d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
