Heavier Songs From Sub Pop That Don't Fit Anywhere Else,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,92,subpoprecords
1,New Punk 27,0NmdAiUtR1U5l7NhDQqeR5,AFCGT,3yWbR3pZsXLzJlnJiEYAua,AFCGT,1VFYNiY2k9jHDCnN7nDA4w,0,not available
2,Ignorecam,3UDiS1CvY3Umfw7UAGDzMQ,Pissed Jeans,6FTONkEJQsCSpoDHqaAP1V,Why Love Now,28DmrpnPDaAYBc0F5P6niZ,24,https://p.scdn.co/mp3-preview/0cfe339d8264d01ee7d77acfb4259e380bb8a86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Waves Of Second Guessing,4IF11p9vFEpjSMTTT3IwGz,Kinski,4WGpFPOeW71MpVHKJurgrj,Airs Above Your Station,17ibLM9PJNXEUpSP7V8vEM,0,not available
4,Teeth Of Lions Rule The Divine,5e5xAQn7wR4uxBgYQt9NxG,Earth,4mTFQE6aiehScgvreB9llC,Earth 2,6C3T9IKxCt15bKldHKTXR7,21,https://p.scdn.co/mp3-preview/0ae8ce170f4565e04d73d4e524cba7de42d5ed4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Whiskey River,3CQ73hQOn2JzXhoA3lcAbk,Comets On Fire,369NbOi6NH1ThhB3gxFwqh,Blue Cathedral,6yDRpZeiSCTTNFf85Zft2F,0,not available
6,Broc's Cabin,25PlSt5TbJLC3YPtiNAbpZ,Rein Sanction,3wFHDXSHYQyd5KajSQoYFl,Broc's Cabin,1dSTuGdHzWOqnGTki3lwMR,0,not available
7,Satan's Chainsaw - Remastered,1EIu8fUNXrBRdXIxFsW0gX,Tad,2mncWLPUUFpNvBLkHzTsDO,God's Balls (Deluxe Edition),5DTCU89cJgfWDLV1K17KY3,10,https://p.scdn.co/mp3-preview/f63ff94c5e30391e44516bae163a984d2b165755?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Love (Via Satellite),5egtUUiS3QUqkctBoggWm6,Six Finger Satellite,2YtMRsnq57aXEt7mmgKIbS,The Pigeon Is The Most Popular Bird,0EApBYcPjpwEgpl9sPL5cW,0,not available
9,Gator Cough,3TX13LdL7dDxISjAV8dIOJ,Strange Wilds,529iCHdiqFuKYZPjXmimkh,Standing,3Nr4hIpRuBp0xQyyH52yAO,1,https://p.scdn.co/mp3-preview/8bc2e10e2b8da85d5baa7c71ed5c994b5f8a3479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Helmet Head,7q8qjdetxKSwvdTuhE1Nwi,Teen Angels,0HOfgZhaeyV32CUBUKea6j,Daddy,79RDYUcw6iwAWkRD17yEjq,0,not available
11,more than love,1pMySkcz4S0ne58TyyQEff,Feedtime,0bDQkfMxAOZEVSdKVTeEMT,the Aberrant years,6Ytr5U10gYd1Lgf3l5Dggv,0,not available
12,WYPL / Shut Up,4cOrLWisAXnXwhOimVUP2e,Full Toilet,7h9RFons40iFH61VTs63GX,"Full Toilet 7"" LP",4uFKIcjh6bF3lRwABwEQCw,0,https://p.scdn.co/mp3-preview/3eb6683425303675a04b4645008442180483ee6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Relationshit,68C7WcRTpGso8HRFSU7Zve,Godheadsilo,19U1TljX5HGtzVlI1JljwV,Share The Fantasy,4Ux82aBleH8hmqzG194FWO,0,not available
14,Backseat Of My Car,7lqYp8qmJxprTcz2rVS5js,Dwarves,4D9H6CaKzDTaN1EbAHypYg,Blood Guts & Pussy,0fXGbsuU282mVvHB7e11Bi,0,not available
15,Dirty Shirt,501SX1Zh9GYEt6gjcoTjfA,Metz,18TNVFTJ6WfeicsMRrdJHI,Dirty Shirt,0sB6VDMGF14mcysyKqfv0V,0,not available
16,500 Reasons,2Q21eKehwlpClIW6IUueoX,Big Chief,538oTy9TocLBma8h65UA9R,Face,0U8RY60OIKnxE9PbAacavr,0,not available
17,Stumblin' Man - Remastered,6WzbwKfEXIUzJUKVeehe24,Tad,2mncWLPUUFpNvBLkHzTsDO,8-Way Santa (Deluxe Edition),6EdDnYIrJJQgGhAtXefD33,14,https://p.scdn.co/mp3-preview/5b3bf65faff59ee267271b5dbc3e386cc8c0d8cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mezz,4yNVuhgqGfVpFkQlSec99B,10 Minute Warning,3eOWn0gtDZSHnybaXsIKJg,10 Minute Warning,33hpKCECLlu79Wq3INE9jd,0,not available
19,Rattlesnake Shake,5IbO4EEUiE5e8JA9pbIWPr,Wolf Eyes,6UahQwC9EZGsFSuGjHJNe1,Burned Mind,43mcrTach1UM77qvz3e1T8,0,not available
20,Quantum Mechanic,0EInMcgeM7QDvF4SxwHwIL,A Frames,1wcu8z5WcFtWop2dclDKJS,Black Forest,1NWJOHmfoEZUdcyzfgPRe7,0,not available
21,The Phone Message,7hbShY58RLduM9X33HHk7a,Full Toilet,7h9RFons40iFH61VTs63GX,"Full Toilet 7"" LP",4uFKIcjh6bF3lRwABwEQCw,0,https://p.scdn.co/mp3-preview/7996cf4060d25ae4a0925baf65ddbf139883d845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Chuckanut Overdrive,5r3xAarLVZTPBoZ54JlxGn,Godheadsilo,19U1TljX5HGtzVlI1JljwV,Skyward In Triumph,2VYk6k0aDUgU2FYsP3W30b,0,not available
23,You're a Cop,4THVBWOC7P37VtaA8qwNba,Full Toilet,7h9RFons40iFH61VTs63GX,"Full Toilet 7"" LP",4uFKIcjh6bF3lRwABwEQCw,0,https://p.scdn.co/mp3-preview/7a6d4c3a440fff2bcd7c1908b37ab88e1e99211f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Pound the Giants,6YCvBSHxKtTBgNu4kBl8GS,Mike & The Melvins,1JCHKPL04KKnIIp4ANsfvF,Three Men and a Baby,2wMA1s67hqEYMtJet4Tnck,3,https://p.scdn.co/mp3-preview/be8367d6e39277dc8f314e6ba203e554b6e83c45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ashamed of My Cum,5QnKYQTWdiESHvU1YO6o04,Pissed Jeans,6FTONkEJQsCSpoDHqaAP1V,Shallow + Throbbing Organ,03HxYqBJoalnRKB50l7KLh,17,https://p.scdn.co/mp3-preview/a26d7b95e4f3b5a1c256203e75fbe85bf4233c77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,meter,1HBgPT2Vj5UpRGEgH7YqiA,Feedtime,0bDQkfMxAOZEVSdKVTeEMT,the Aberrant years,6Ytr5U10gYd1Lgf3l5Dggv,0,not available
27,Stabbed In The Face,2RB2nAvApqqqAuZHKlMtAR,Wolf Eyes,6UahQwC9EZGsFSuGjHJNe1,Burned Mind,43mcrTach1UM77qvz3e1T8,0,not available
28,Wood Goblins - Remastered,5pW2xmk95NfrXvLVAYgyOS,Tad,2mncWLPUUFpNvBLkHzTsDO,Salt Lick (Deluxe Edition),0xOGvHBilLteTnBqwfAZAq,14,https://p.scdn.co/mp3-preview/72f3ba91e7d3c6148f9fc321882ea7c9ac8b070a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Charloteer (Temple Song),1aRSqCwI6Gm7W5GxKkmfch,Earth,4mTFQE6aiehScgvreB9llC,Pentastar: In The Style of Demons,5irr64FYBRKBiWjVCrJZij,0,not available
30,Reasonably Nautical,4GXBO8AaEVqbwvOv4TTHtW,AFCGT,3yWbR3pZsXLzJlnJiEYAua,AFCGT,1VFYNiY2k9jHDCnN7nDA4w,0,not available
