Sub Pop Suggests,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,7496,subpoprecords
1,Lucky Girl,65TQswN5tZ4JWSZwwprT8m,The Gerbils,4q2SrEkJOVGe1Yuug8HPRl,The Battle of Electricity,3kg6E1ueTMGAUgN2gUDZ7y,14,https://p.scdn.co/mp3-preview/d4b996e8cd2a64ea25c51e23891c34352506f6c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Apology Accepted,3aDX8dqYki5udUmVLPU6kp,The Go-Betweens,4HCubdy7diarb4KZo8etrq,Liberty Belle And The Black Diamond Express,1ta3FLKFGahlc7N7nSYsDM,30,https://p.scdn.co/mp3-preview/58ef9e9a6c3cedf187a263e169c9168e19c59f61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,True Love Will Find You in the End,2MXQuUMe00XTazOMbXQ0IX,The Baptist Generals,1tKdSeGO9UcaJ1n6rnjCbt,True Love Will Find You in the End,6MsEC20Buql4ybDTSOLUph,4,https://p.scdn.co/mp3-preview/399601382a5e828d8d93cdfc2663936beaad88dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Baby Lulu,31TxdSsj8cO5YV3W0Li5ed,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Baby Lulu,0ALI41C0DeUC7izRQMhgcB,31,https://p.scdn.co/mp3-preview/743399095d61ae33b5063c94e17c6423fb6788f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,T.O.T.B,22llkCT4EDCluOZyAqto9q,Heavy Lungs,07eIrj0b3z5mgvtkDmWoxo,Measure,3zOosGBkqCzJTmC6W2brtt,21,https://p.scdn.co/mp3-preview/4c9bc41129bb0cdb5ecb5e55d6770d8a5bd1aba6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,На заре,37BoCrCwmSOUcO2jwB7g5W,Alyans,0RhwVQewjVG0jHaXtDQaqA,На заре,0GKmnpSs1DLZac1ai4AcGf,42,https://p.scdn.co/mp3-preview/08a813f97b34ea12829063b9b1c00d268afbc890?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,57,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,For Love,0ZkNasPfDBlRsK44opmerO,Jacques Greene,0ygIgsjUzKivFgxgjQ9iV9,For Love,65Fb9J0R8UORgIQN6A2wPo,33,https://p.scdn.co/mp3-preview/cf367f7f367803ca8838f6bda8ceb302fe0c685c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Zoo Eyes,2U8xna6lhdG5KYiC2IXahH,Aldous Harding,3lmR0qMiGuoIF9UC54egcG,Designer,0QNJa03XQeMOuQhi9izThh,47,https://p.scdn.co/mp3-preview/5d1ad65853f4f15f96be2ca3aafea28468af2729?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Bob Fudge,2TT4xzKg0kx6qcZ7kCzlYQ,Colter Wall,3xYXYzm9H3RzyQgBrYwIcx,Colter Wall & The Scary Prairie Boys,4seoK3TpuXYrvWOugMWRtw,51,https://p.scdn.co/mp3-preview/cf523026dbfaed61a16383f51a3e6c98ccc3f16b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Wind's Dark Poem,2OqYjpFxy79FZKUU1yagzZ,Mount Eerie,4Sw0SFu1fFdYXdAEVdrqnO,Wind's Poem,5GYhXZgCMiQFkck0RREyCJ,16,https://p.scdn.co/mp3-preview/f9c70edd4e9947bdaf74eb072de8e22966ce9211?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Think of Demons,2HcuLmit3pA9EbzIK6Qr9Y,Roky Erickson,7hCsRnXtcbez8msLPfjbkz,The Evil One,625D7Framo0tCKlhdLKoE4,33,https://p.scdn.co/mp3-preview/5e4aedcddad70dd17eb59d1795f1f9af2ab3c769?cid=fa83a2fec7c440b7a2795d600d6b2c7e
