11 Days of Sub Pop (Give Or Take),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,59,subpoprecords
1,Tokyo,6fqVZogOXWFBuMEP4hfDLh,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Tokyo,03WRNnP9QvdNViaJwnZFLV,50,https://p.scdn.co/mp3-preview/b7aa7a607ec70b8db671a396c89d95ac3e05d240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sucker Punch,1YHB5Iyjo7IkgAMBKOf47Y,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Tokyo,03WRNnP9QvdNViaJwnZFLV,42,https://p.scdn.co/mp3-preview/2798536be00f3f0c8e9f324363ec10f8ffa9a092?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Two Things at Once (Part 1),6dYu0w76IbVWkRlWUZZN2Z,Uranium Club,0EfPKjhywHpqUo1jIQNiVI,Two Things at Once,65sKV3iyPGdsyrkxB4ChXX,24,https://p.scdn.co/mp3-preview/931b8e52b7b302b4c93c8f7ff935e501404d3455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Two Things at Once (Part 2),4bthOlYjydWQwTp1ctiPwF,Uranium Club,0EfPKjhywHpqUo1jIQNiVI,Two Things at Once,65sKV3iyPGdsyrkxB4ChXX,18,https://p.scdn.co/mp3-preview/bee48ae54dff2e0047ee1094a4f67a6f2dd648bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,blow - acoustic,1q4D2S1hQWTdgabYBtTZgh,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,1njM9oRpAVXUG16efsZtMV,27,https://p.scdn.co/mp3-preview/12a863c99bce49c5c903fe9a024c1d8f6005088d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,the one - acoustic,37rHs8li3OuHFauAOO2jaj,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,1njM9oRpAVXUG16efsZtMV,13,https://p.scdn.co/mp3-preview/f56b1de131edc8d66067b3934f2e2d1faef56f22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,i'm not where you are - acoustic,5SckNqWTU6MNmyyZKN9bDf,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,1njM9oRpAVXUG16efsZtMV,12,https://p.scdn.co/mp3-preview/83ef9d1c0e572bdc431a1fc2e131b84d369ead08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,hand solo - acoustic,3xfVRzPyLgoxq9Q9g6qaSm,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,1njM9oRpAVXUG16efsZtMV,24,https://p.scdn.co/mp3-preview/b6390ee31d0ec4d26957932dfae6359d25f74323?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Vortex of Lies,4GbToJ4XFTho69DZs2W0kk,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,28,https://p.scdn.co/mp3-preview/92678348abbab4dac05dffb3b873eb8e8dca01ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Creeps Are Everywhere,6SojqojMzoVfNjSluF1Cy7,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,38,https://p.scdn.co/mp3-preview/71260ad58b34e6df9717f4f89a8f0e8c51b3dd03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ensam I Natt,7ytCjeEPtcUpPu8mjz1IWw,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,27,https://p.scdn.co/mp3-preview/d9ed43ec9ca4a641d992981a988293522757bf95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Morning in America,6K3SH2PWnujRpWiSQJsQlH,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,27,https://p.scdn.co/mp3-preview/f061494c0a6d0b1d248a5630898fb69c791bf712?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Let's Kill Yourself Live Again,2uGR28vmOKU2vxtS43lEJU,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,25,https://p.scdn.co/mp3-preview/6494219282a00125bf8fa2e97eb9ebefd012f990?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Snake Oil Charmer,0uMnAa94xDIB3DVD7hTPW3,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,27,https://p.scdn.co/mp3-preview/a9f2b3d047e7a62fb2388b130dddff4c749b8448?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,One Bad Actor,1SpnXkrr8nz8cf9PhBIHm1,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,23,https://p.scdn.co/mp3-preview/0dd2214bf055541613d60f2b5490e0ee5647a8c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Moonsea,55s5VGVPImZwWFwQHbEDA1,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,46,https://p.scdn.co/mp3-preview/e0c9d17fc92d651dd974350e2c57821786d189be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Cosmic Shop,1WXsJYTrXfTe8AhBgfLUU1,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,45,https://p.scdn.co/mp3-preview/21564a6b9071d5607c7d37f0e9f7e8aa6c77ab72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,41st,1t7CYVNeWFsmMrU2W4N9W3,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,49,https://p.scdn.co/mp3-preview/d26a599afba7d300693481195d1ed234fbc28d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,So Blue,0I7MrNedjT9TedJ23qpV4I,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,46,https://p.scdn.co/mp3-preview/8d3dc42f4efb927e43c062644a3d4fcd99fca7ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,A Joke,67nxe3fLZSfEtRjeas6f9T,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,44,https://p.scdn.co/mp3-preview/85ce6255aed8675ec860c2aec398afe352d7d069?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Rings (On A Tree),4fUTRs76wIb4gullXKrlB3,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,45,https://p.scdn.co/mp3-preview/38a895f863fd8920aea7f5cfec9a0b21169b03b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Actin' Weird,3XtXz8viMM6lIOsUKyf8wV,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,43,https://p.scdn.co/mp3-preview/4812c6ed168611e4ee3a844bce906fdde3e0d668?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Windows,55CHOAJGiV0OspAJAfPsuy,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,45,https://p.scdn.co/mp3-preview/17a8971ceb5c4fa5d502442fd6c193317c1c9f54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Never Would,6YvhSmYHD8SAAypfLFunYD,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,43,https://p.scdn.co/mp3-preview/b8daa530ed60aa0d8ab607810a6dfe0f06722cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Self-destruct,1y4uf1NVv2HwPwuDn6MqHa,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,42,https://p.scdn.co/mp3-preview/d58272bd16e701962437a0315bd9a23e0fdad0f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
