KeyArena 2010-2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,112,kexp_official
1,Chandelier,4VrWlk8IQxevMvERoX08iC,Sia,5WUlDfRSoLAfcVSX1WnrxN,1000 Forms Of Fear,3xFSl9lIRaYXIYkIn3OIl9,80,https://p.scdn.co/mp3-preview/f1898cf5fd5640d4f0d7faafa6c572fc29db3db6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Everlasting Light,5oPN2dntsV2UM5ifrTGEC8,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Brothers,0glJnyA8SbcP5G2vtPDMNB,51,https://p.scdn.co/mp3-preview/73960d1eb513d2f2d49c2d195c8a12913d8fd2d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Tennis Court,74fpNVAJrKGQuqHETi4WSt,Lorde,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine,0rmhjUgoVa17LZuS8xWQ3v,68,not available
4,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,The Heist,76FXHQhTuT4QMIxfL09gX8,82,https://p.scdn.co/mp3-preview/1f826380a449ec9a8bae45967d908fffd7ff5222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Have Some Love,5LTgI9VsuL3NKrv2WHBgNx,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"""Awaken, My Love!""",4xnq1L6P551Qcb9gBXNMK7,2,not available
6,Now,0LBz07gAdgUukYvpFyW87y,Paramore,74XFHRwlV6OrjEM0A2NCMF,Paramore,4sgYpkIASM1jVlNC8Wp9oF,57,https://p.scdn.co/mp3-preview/ddd3d61f9bf06ed147e649e212ef61b4d8773afe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Head Full Of Doubt/Road Full Of Promise,7Kho44itYaCQZvZQVV2SLW,The Avett Brothers,196lKsA13K3keVXMDFK66q,I And Love And You,2PPFtYUnnqMYflIEn3b7ON,61,not available
8,She's the One,0QOPtwpqVM8qRyDs8zVKil,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,Supernova,0HtJKUCwLbioPhMPAlKONW,39,https://p.scdn.co/mp3-preview/ca5b84e584c026fed0344b31ce68d9fcf474bd51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tessellate,1EbacZvcixTCTzBcJfaua2,alt-J,3XHO7cRUPCLOr6jwp8vsx5,An Awesome Wave,7HOzvP7Ta2lLueojdlJtdZ,60,https://p.scdn.co/mp3-preview/4ca5f5e3744d1b4c2f0a4da6743d244687ab5f69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Desperado,4mCf3vQf7z0Yseo0RxAi3V,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,ANTI (Deluxe),4UlGauD7ROb3YbVOFMgW5u,67,not available
11,Lotus Flower,1amSa5xo79zINsgrpNlNge,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,The King Of Limbs,1DBkJIEoeHrTX4WCBQGcCi,59,https://p.scdn.co/mp3-preview/dead2fbe5cece1a2ee399bdbad44fccfa53f6bcc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Normal Person,3KMhWFbexTo20tH3hwK61K,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Reflektor,4E0m7AIVc2d2QZMrMNXdMZ,42,not available
13,Stylo (feat. Mos Def and Bobby Womack),6LUfuyLgvgqrykiTE6sJHY,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Plastic Beach,2dIGnmEIy1WZIcZCFSj6i8,64,https://p.scdn.co/mp3-preview/6c0cf3aa824e17b9f0a4b17c1553c8097786cc73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Can't Feel My Face,22VdIZQfgXJea34mQxlt81,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Beauty Behind The Madness,0P3oVJBFOv3TDXlYRhGL7s,80,not available
