Roséwave: Shade Your Summer Pink,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5072,npr_music
1,The Weekend - Funk Wav Remix,0P6AWOA4LG1XOctzaVu5tt,SZA,7tYKF4w9nC0nq9CsPZTHyP,The Weekend (Funk Wav Remix),5enEsi887wD3qGoMCK4jLr,78,https://p.scdn.co/mp3-preview/215471369e674156c24562a8a49b745fe77b472d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Stuck (Album Version),5qOAIBSLC62Fq5QsTz7f73,The Aces,2AmfMGi3WZMxqFDHissIAe,When My Heart Felt Volcanic,2lsQE89fPFInz2J62K6waw,42,https://p.scdn.co/mp3-preview/78e565d8af27021de12398ba78af8e888641a0a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Be Mine!,3FtkFLmplS7GGPFMIQ0dSR,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Robyn,5xDz5FY3Hsp2skcOP1IUNU,36,not available
4,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,Migos,6oMuImdp5ZcFhWP0ESe6mG,Culture II,7fd7SEK25VS3gJAUgSwL6y,76,not available
5,No Scrubs,3NpsJc5SOINskuK3z08Q9C,TLC,0TImkz4nPqjegtVSMZnMRq,Fanmail,04LFXnEBkVE6mZfxGeCLbM,48,https://p.scdn.co/mp3-preview/366ace6513b47e53b2754f2def1922b93315f565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,How Will I Know,5tdKaKLnC4SgtDZ6RlWeal,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,2MH37enG6IPvNK5QFLyKes,70,https://p.scdn.co/mp3-preview/4cfd0ab2b770e37313275d37788f687992b0ee17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,1901,5JtPGzRgrWxkXX9LoROq3d,Phoenix,1xU878Z1QtBldR7ru9owdU,Wolfgang Amadeus Phoenix,6YXmQrXOjJoMheJ2IA5NqK,12,not available
8,Mi Gente,7COfe3P7KgfwDwIRB8LIDw,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Vibras,5kprdYds6oZb4iSldfflOT,76,not available
9,Honey,5NaOWLOmVjcA3M5spRATN9,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Butterfly,7aDBFWp72Pz4NZEtVBANi9,62,https://p.scdn.co/mp3-preview/a8bf7d19349fe516fa6b354156976d12688d99bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
