Roséwave: Boutique Fitness,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1502,npr_music
1,Green Light,6ie2Bw3xLj2JcGowOlcMhb,Lorde,163tK9Wjr9P9DmM0AVK7lm,Melodrama,2B87zXm9bOWvAJdkJBTpzF,73,not available
2,L.E.S. Artistes,4dmCLAZbWYT0qtcG7GVMdb,Santigold,6Jrxnp0JgqmeUX1veU591p,Santigold,4yATru0hY3VgRHSreswbGj,54,https://p.scdn.co/mp3-preview/23d0faa11cb525b2dbd22b1a95b85efc8e1fa5a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Empty Threat,1QPKIY1nHyk93SqDEVeZuN,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Every Open Eye (Extended Edition),0ytgAfCjv6U5BMEDrQgCwX,0,not available
4,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT,54,not available
5,Hearts On Fire,0pAisVoZ7Gybjvm0q7AoVu,Cut Copy,4EENT7N7rCBwrddM3s0vFS,In Ghost Colours,6k3dwEFYKsGrhS40jtiAGt,52,not available
6,Die Young,1BRwuvjhkgezmv1gcI6lT6,Sylvan Esso,39vA9YljbnOApXKniLWBZv,What Now,1BJMCEXQ7JmuVlJ6cYbe3x,62,not available
7,Side To Side,1pKeFVVUOPjFsOABub0OaV,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,81,not available
8,Sorry Not Sorry,0yvPEnB032fojLfVluFjUv,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Tell Me You Love Me,5Mu891tmjTbt64meovPSuf,41,not available
9,She Loves Control,5HwnezK198pJCEj1l2Adjy,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Camila,2vD3zSQr8hNlg0obNel4TE,71,https://p.scdn.co/mp3-preview/161df08e7f876e568b7f826dab9456a05d78264f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,All Night,15iosIuxC3C53BgsM5Uggs,Icona Pop,1VBflYyxBhnDc9uVib98rw,THIS IS... ICONA POP,59ZxtwIOD1wowkNvVHXqtP,57,https://p.scdn.co/mp3-preview/9ee589fa7fe4e96bad3483c20b3405fb59776424?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,This Is What You Came For,0azC730Exh71aQlOt9Zj3y,Calvin Harris,7CajNmpbOovFoOoasH2HaY,This Is What You Came For,3pEgGUv379EDinvg1TN7Kt,80,https://p.scdn.co/mp3-preview/16e42342599e423f7da57c9d2ce0c6758fc430e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Can't Do Without You,3n4M80UmJNHws4ZqdM7KEF,Caribou,4aEnNH9PuU1HF3TsZTru54,Our Love,5r4nz5LZHeGUcZCrWbfWkx,53,https://p.scdn.co/mp3-preview/3b134bc40fd32246151adae2a91467e211ba8752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,UGH!,5vgdeMt4uKUN2BeltZjoDh,The 1975,3mIj9lX2MWuHmhNCA7LSCW,"I like it when you sleep, for you are so beautiful yet so unaware of it",1JFmNyVPdBF1ECvv4fhpW4,59,not available
14,Break the Rules,0A5qqtFMG1qrNQEcjvr1A2,Charli XCX,25uiPmTg16RbhZWAqwLBy5,SUCKER,5Ws5ktkIUJFpaIImvH3tYU,48,https://p.scdn.co/mp3-preview/b9ea578aa41edf98f1f7a8cc5b0e1924fdd02927?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Tribulations,5JOO8UMaEpOfhhatQQsAqm,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,6aSk2vxoY3xtz7cXKuY9EL,52,https://p.scdn.co/mp3-preview/67ce1787bfcf19b4e99b4803cf4839f2ebbf35d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Work from Home,0SJPThTy7ynySPF4euczx7,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,Work from Home,7wFsG5BDL7B2UqoK8FgTfk,15,not available
17,What's My Name?,0VLOWOmhJ4nkeqau1kow2A,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Loud,121b7YNnpJ3UlJgMKCXDbL,2,not available
18,Hands To Myself,1LoriJC05IrHIDwj3q0KC1,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Revival (Deluxe),7lDBDk8OQarV5dBMu3qrdz,66,not available
19,Woman,1kJtfldK9F7XmsSiSNlbth,Kesha,6LqNN22kT3074XbTVUrhzX,Rainbow,1IYVB8NfiRqhdZlTxjspNh,68,https://p.scdn.co/mp3-preview/b7759c3f7098d4c2f9312867df675caf638e1f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Making The Most Of The Night,13zEyjK3DZm0YtZObaaS1O,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Emotion,6UjZgFbK6CQptu8aOobzPV,47,not available
21,Crown On The Ground,7MKFtAnWUeJBYTXZCsHQxH,Sleigh Bells,59pWgeY26Q6yJy37QvJflh,Treats,1IWkF6zpOq73txmrYpljIT,43,https://p.scdn.co/mp3-preview/1cd5cb8660cff3f5811de1bac39b0853c46a2f15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,2qxJFvFYMEDqd7ui6kSAcq,The Middle,1D8u1ccrRXyFMOGTEXTgTX,27,not available
23,Heads Will Roll,18oWEPapjNt32E6sCM6VLb,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,It's Blitz! (Deluxe Edition),2SIaQf1NRVarE8HDX5j8zG,60,not available
24,Midnight City,1eyzqe2QqGZUmfcPZtrIyt,M83,63MQldklfxkjYDoUE4Tppz,"Hurry Up, We're Dreaming",6R0ynY7RF20ofs9GJR5TXR,71,https://p.scdn.co/mp3-preview/2620971cb1ef9fda9aa2d3a5ce3a74dc9be73dd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,7/11,02M6vucOvmRfMxTXDUwRXu,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,72,https://p.scdn.co/mp3-preview/c17eaf47f9624029dadcd7672b7896c84923e28c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Black Panther The Album Music From And Inspired By,3pLdWdkj83EYfDN6H2N8MR,79,not available
27,I Need A Forest Fire,0TLAptKgYxe7F0KewWH6X6,James Blake,53KwLdlmrlCelAZMaLVZqU,The Colour In Anything,1WyrGCkFDlH1xPadZ5qTkL,62,not available
