Turning The Tables: Mary Lou Williams,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,200,npr_music
1,Libra,4D2MFfSi1OarSHLtHLYjVW,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Zodiac Suite,0rNgP6dA7elgUCINGUUeyI,24,https://p.scdn.co/mp3-preview/e60b69aeda39508565343f91d5aa2dfb4d9991c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Kool Bongo,3bW9qEtiZRXw2vksIFZ5Dd,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Mary Lou Williams Plays in London (Jazz Connoisseur),4LByhKT5zKIrQOLkTdTDHq,12,https://p.scdn.co/mp3-preview/b14a25440b1244d40dfa932b7381a1092338dd1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Mama, Pin a Rose on Me",3oC2QeU7PSQmLyDUpoNYYq,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,A Keyboard History,0dbDJH9gszT5PaYHLspumL,10,https://p.scdn.co/mp3-preview/896a011e5e59aa51a680781165568b947a5d79c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Play it Momma,2zDgbu45JKHKTtRPzzXIMV,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Zoning,7iOHcFy0XcPYjKtrnx61dz,11,https://p.scdn.co/mp3-preview/8c276479cf127468ae26df1fc03a3a0a3e24b203?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Roll 'Em,1udOCcNbNsh7nfyA3Cl7IB,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Live At the Cookery,2jAY2R5L9Q4cFTIOLjRssC,10,https://p.scdn.co/mp3-preview/857347001b650344ad99b8d981e89eedabd608d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,The Lord Says,2rNUiYo5PT2ttVwKYhhbA2,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Mary Lou's Mass,1KuLMVUjXCTb8hArSPa9S4,9,https://p.scdn.co/mp3-preview/dfa134139e516ab371b2bc41464f77dd338b8941?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Praise The Lord,3Ck8xIzxTvJqN42l7TsOa1,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Mary Lou Williams Presents Black Christ of the Andes,35TchegKRAVtmhwSfDA8hy,32,https://p.scdn.co/mp3-preview/a3b5f20223ac709f5210f08a253f0223b91ad998?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ode to Saint Cecilie,6L2UMjkjxqW2gUVrdgabgJ,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Free Spirits,0sUQgmvEFnU4gMqzKCNcQJ,15,https://p.scdn.co/mp3-preview/ad2a943d2a0986bc5a75e3cd39431493528f3a13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Dat dere,5Ehhc1V4s68P1yRh64MJgT,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Free Spirits,0sUQgmvEFnU4gMqzKCNcQJ,21,https://p.scdn.co/mp3-preview/e6920850d8f133ba6e33b54a0630f4bb558b2152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Harmony Grits,1rAlivKmULePfr7qrs9jBx,Mary Lou Williams' Girl Stars,2cQ2uIGGX07Z4qWr7OIdpf,The Mary Lou Williams Collection 1927-59,5IZbs98ubFbyQz8wWFy3Mq,6,https://p.scdn.co/mp3-preview/bd88b558b7d7d54115cf5d156dc6041f8e7e74d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Gemini,7n7x7m0RsarpbbJlXFMlht,Mary Lou Williams Collective,1I1Bc1b4ao0a0CeDyMGQpa,Zodiac Suite: Revisited,179fRvGk1WHfb0YnQ0MKIz,6,https://p.scdn.co/mp3-preview/c03cb10e73bfd8c5739062722e1b9cce1129402e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Soul on Soul,5Frs09BKbjGZ4NRr9eT6yA,Dave Douglas,3SQrLX0O6RbBjmSIkwCgJb,Soul on Soul,4Cc519U1IVJ32c9GgNi5Gs,5,https://p.scdn.co/mp3-preview/1e28b3fa0a928871030588fbcb0c208597bd5094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Benny's Bop (Limehouse Blues) [Wardell's Riff],43JhOtYBiAZ9jwUfRGdrTF,Benny Goodman Sextet,33N6sGOKJwLGOnq31ZmEl1,The Mary Lou Williams Collection 1927-59,5IZbs98ubFbyQz8wWFy3Mq,6,https://p.scdn.co/mp3-preview/31db644936dcd79b22a18d5473a18260fdd2e3c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Froggy Bottom,3iLSDEY6t2GIIFnRmJZETf,Geri Allen,0jqAOYfo9ipclW7ATXPhHg,KC After Dark (More Music From Robert Altman's Kansas City),4UGoVqMZKSk8Hr5MdtcA1N,5,not available
15,Caravan,2arjG3ZElCcDJzYXpT4F5r,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,That Devilin' Tune: A Jazz History (1895-1950),4d3P3Dzeg9KZsZE7mEsVua,8,https://p.scdn.co/mp3-preview/47d713dffa4dc11e208a71187d1c1aa0bf3ac180?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Yacht Club Swing,249guHhQU0VFWprw4DadSh,Fats Waller,0DYWCXTkNqGFZIf67SrWEa,A Handful Of Keys,0CxUaFPhPDyEJYua5ypfDq,25,https://p.scdn.co/mp3-preview/0b5b452dfeef6869fd5274d9401841bf4bdfc558?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,There Will Never Be Another You - Live,1QZpiAckAiMuKJJHd1rHuA,Marian McPartland,7Ga404k4zEweLxPtX0Ghma,On 52nd Street (Live),26XySwoLgSBlHzGhOJVomO,13,not available
