Heavy Rotation 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Zeppelin over China,7i5pJyRGFTuYmjWMKuqf1U,Guided By Voices,4oV5EVJ0XFWsJKoOvdRPvl,Zeppelin over China,19xRZ5vUptFPjqUTqqHp5E,14,https://p.scdn.co/mp3-preview/af6241e0ad04a4f27e4ed87bc11966ecf72befe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Runaway,0NNqAxV8wNEg8ePxgdmcmI,LCG and the X,59gF9XXvms4nKdQDBXEscg,Runaway,77zY3fISPfJ2Uw4OOGTN8J,14,https://p.scdn.co/mp3-preview/0d8b641afb1dba81ddf1aeeb1aa11dd4597b5a55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,6's to 9's (feat. Rationale),4DAaQ5InUO23d8yNRbB0Yj,Big Wild,0PxzGnCYBpSuaI49OR94cA,Superdream,7LZAgsQQr0cm61SmUdgKlz,64,https://p.scdn.co/mp3-preview/a6beaef9400ba799e9836ecd93675e14ea7b6c17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Rayz,3WkDUCUXd3Ofg5CfHzjCKY,Royal Canoe,5fLcxlU1oDJrMNOZsewCpK,Waver,5xJYNzjlUiKt0iM3dilclL,28,https://p.scdn.co/mp3-preview/1bec569a4c877a568153f4cd64ae99b3c347d73e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Moderation,6V0PPYLaQ5fCAPftwIgpuN,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Moderation,7kytZHAdRdVINFw8W1TB50,60,not available
26,Here We Go,5e0V02HX24tvQpCT5KwSy1,Sean McConnell,42N7nSYb8pRmVpBpkLSHVC,Secondhand Smoke,6f2cc60Myw81IWCokY1hll,34,https://p.scdn.co/mp3-preview/53c34cdc0d6cdae315ae763154292fb874b83071?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Old Black Magic,2101msXT4EW6S1QWDMqFA5,Josh Ritter,6igfLpd8s6DBBAuwebRUuo,Old Black Magic,4fBlyjkl18CQinati1cdsv,42,https://p.scdn.co/mp3-preview/a85802c1b516218db1077ab050ccf7c43ba271cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Black Myself,5cH2yuvqPh7IsqetGmSoAE,Our Native Daughters,6RnVRG8PIgQT6vYzbfHZXW,Songs of Our Native Daughters,4h2VDUKuFcJ0cJTQFcNc3A,30,https://p.scdn.co/mp3-preview/2d5a0e36cabc9bde4b612ac656275f59f10d106f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Nunya (feat. Dom Kennedy),0tkmYNfaEaH9HpR59ApRtE,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,While We Wait,73ZvpuYhKDr2FW4vlPsTpW,68,https://p.scdn.co/mp3-preview/ff1d00b4efa20fed4e5c7edc3ad542bd37a4e1fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Woman,0nfgfn2J249Rgd5xp3IZsK,Karen O,6emHCSoB4tJxTVXakbrpPz,Woman,0MPD9qqVWjlxbkzuTglkt5,38,https://p.scdn.co/mp3-preview/fa84c6ecebb02bbe477d0a13db395c4857e84027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,The Other Side,3cKvk0dnoyxSlmwiXixJAz,Greg Cox,0sSaM0P7mPCUyS7QE0HANt,The Other Side,3zpUFxXSDC8V6q9xTCPIoO,38,https://p.scdn.co/mp3-preview/18e52afc950238bf051cc80c4970e01df0191b05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dandelion Crown,37jq6QEnslX6VEViAyFOXH,The Suitcase Junket,7Iew8GtdYcaznLxIJpJxeS,Dandelion Crown,30bh15rJNCh0bxcH7TUvag,8,not available
33,First Off (feat. Travis Scott),3WRIaWsws011vHMd9uzPjG,Future,1RyvyyTE3xzB2ZywiAwp0i,Future Hndrxx Presents: The WIZRD,3LpIwZdzFwc10psLingT8x,71,https://p.scdn.co/mp3-preview/6efd5258507b6c144f649262903251679d1ecf0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
