Wade in the Water,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,607,npr_music
1,Wade in the Water,61UuDZcUx3ihS7gtMtT2tM,Sweet Honey In The Rock,3d4KAl1xvEw3akBK6CVCCA,Live at Carnegie Hall,5CiaSqeNxbvT1UPsRQQRC3,20,not available
2,Heavy Load,4YNC8Gch8D3FEqNqMJaxXf,Mighty Clouds Of Joy,1i6bV1rRKRPTyssKZuLfwS,Pray for Me,5q7Pj6VxhacUkDKfQt7oaL,23,https://p.scdn.co/mp3-preview/c2322e055416dc3435b7c62e451b09648b38abb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I Don't Feel Noways Tired,5AbixNDTsg6ZIosMfBkm6y,The Barrett Sisters,6lcF0RyeV8GwjQx0BkPa1c,What Will You Do With Your Life,6gULv0pNqAiTbjDG8pKlE5,5,https://p.scdn.co/mp3-preview/c4b574181504d7b3c0508a6affb89f8f3764d9d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Never Grow Old,0aRrC0fJzS8aWJgjNELnKl,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Amazing Grace,5pIUimaQ6XePPXbMUi3te0,29,https://p.scdn.co/mp3-preview/4822ac76aa7b9f017ea87b27a0a1fd82a39cfe1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Walk with Me,0xLq5NIL7bu8vSyRMP2HjJ,Fannie Lou Hamer,2u9SbaJNaqZNtBIS5KE65S,The Songs My Mother Taught Me,7Gs0MIZVU6Q35AcvQjmDTj,4,https://p.scdn.co/mp3-preview/cff658632e819b1043e5dc54dbb1635b9ce5a991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Joshua Fought the Battle of Jericho - Live,0ZPmOG4Abk884I0JmJMo93,Odetta,2wkz8hACugzAvF0voupg3H,Odetta in Japan (Live),0WxfihjeCCruTbOYcV5gOH,5,https://p.scdn.co/mp3-preview/38958df9aa6b68b256e9cf6f3b82d7c5f96a8671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Joe Louis Is A Fighting Man,4CXIW3Hm1mWFtvOISC3Onb,The Dixieaires,4W9TZaIjjZA9PSX1cTunXw,Hot Harmony Groups 1941-1949 - When The Old Gang's Back On The Corner - Volume 3,0oVMGd0s3WvLbbaKs0t7KZ,4,https://p.scdn.co/mp3-preview/3a74415ea61c30b49c42fb86e3eef066dde0b78f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,This Little Light of Mine,65GjjyCsSzDPOKX25zexeE,The Freedom Singers,22G5U8LP2zMHdKSk4CydiY,Sing For Freedom: The Story of the Civil Rights Movement Through Its Songs,1zpgiafncHNnCWAZ32QJOM,5,https://p.scdn.co/mp3-preview/cdef8e5a72213e080faaa6473d594ae99b92da9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Steal Away To Jesus,7Jtb2dJLUXeX0f2uPYh9PZ,The Fisk Jubilee Singers,0UGSKGxAJfltNONQ4AtETL,Fisk Jubilee Singers Vol. 2 (1915-1920),7vQH9T1VLoMnFwCfvKYMGp,10,https://p.scdn.co/mp3-preview/9d76bbf15a9a9e8efc1085346b4b7743c8b095a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Swing Low Sweet Chariot,1siD82j4pTDwTto8UMfXVd,The Princely Players,1BwUZwik4BvrjHxG1xiWQ1,Wade in the Water: African American Sacred Music Traditions Vol. I-IV,0ZvYqogoWJWtZLPEatMB43,5,https://p.scdn.co/mp3-preview/852627e6f7c95a532c2facf7bb4f8c1e3d8db24d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Wade in the Water,6sBDcm29M8F8UfbkRAFG1t,The Howard University Chamber Choir,4cWxODUpvaRDqE6CctAiwa,"Wade in the Water, Vol. 1: African-American Spirituals: The Concert Tradition",2ko9YdlV1WcGgthSFukSjR,9,https://p.scdn.co/mp3-preview/b87e59bdf9304028cea7fe6c120fd415270ba343?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,There Is a Balm in Gilead,1lmSXGl2cdkGoPU5O3j10k,Paul Robeson,6ccc2jvU6SYt0OyInCkIbG,The Best of Paul Robeson,0sbJenYFatLQRWUwITz8va,5,https://p.scdn.co/mp3-preview/fc0483a317ce4d14f965670dbe22f28a9c1eac4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ol' Man River - Showboat,3BBomdZczbfIEh0fxHG4cB,Paul Robeson,6ccc2jvU6SYt0OyInCkIbG,Voice of the People,3NvjbMHRgGNyIyx0M2GFjJ,17,https://p.scdn.co/mp3-preview/74031988cec84e71af978717144b672c2f889504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Plaisir D'amour,4xObiSuSvmIutVsburffk5,Marian Anderson,670lYhY8JzIi5zTNdGtX3M,Ave Maria,0e1RmNsEWlOagP1QdP7am7,3,https://p.scdn.co/mp3-preview/c5c89c0c0df82b08f9f3b2d0e316245fa061718b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,"America (My Country, 'Tis of Thee) [Live at Lincoln Memorial] - Restored",0Xtr5H8i06qJRTeH3Whj3o,Traditional,1U5zgr455OGyIkLNXvDdrf,Let Freedom Ring,2lr6bQncC5D5ouqtPFNQI6,7,https://p.scdn.co/mp3-preview/3fd7662d8db54b9d1b85b9d763ac63a462687a08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
