Roséwave: Wine & Whine,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1913,npr_music
1,Teenage Dream,55qBw1900pZKfXJ6Q9A2Lc,Katy Perry,6jJ0s89eD6GaHleKKya26X,Katy Perry - Teenage Dream: The Complete Confection,5BvgP623rtvlc0HDcpzquz,70,not available
2,Ivy,2ZWlPOoWh0626oTaHrnl2a,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Blonde,3mH6qwIy9crq0I9YQbOuDf,77,https://p.scdn.co/mp3-preview/1faa6f5d71e4993a75450736b2b023ef5888f42f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Trying To Be Cool,0djnjvuq3Lg71aZ3UK61D3,Phoenix,1xU878Z1QtBldR7ru9owdU,Bankrupt!,6LWQbomcYVtk6GReV2ZXhC,3,not available
4,In the Aeroplane Over the Sea,4OciRObYGzPzlU40U7YRc8,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,In the Aeroplane Over the Sea,5COXoP5kj2DWfCDg0vxi4F,65,https://p.scdn.co/mp3-preview/23f5b39b7eb6b13081ec4a8705405e1c75fbd836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,My Girls,2gE0khQ948RYQOeTgCUL2a,Animal Collective,4kwxTgCKMipBKhSnEstNKj,Merriweather Post Pavilion,5O9OXl9zAWMJTzawofxuan,56,https://p.scdn.co/mp3-preview/8a10bb8cc7a550c598977985566cd47bed0f3b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,We R Who We R,0Ji2g9AlYLVHAMG5PJoHPU,Kesha,6LqNN22kT3074XbTVUrhzX,Cannibal,3GhnFolMJn8Ua8KieFZSBQ,9,not available
7,I Love It (feat. Charli XCX),6HZ9VeI5IRFCNQLXhpF4bq,Icona Pop,1VBflYyxBhnDc9uVib98rw,THIS IS... ICONA POP,59ZxtwIOD1wowkNvVHXqtP,64,https://p.scdn.co/mp3-preview/35149f91f3f5689e5ea40adb1e518b852aee5f79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,6V3F8MZrOKdT9fU686ybE9,Return Of The Mack,6plavTFCGXv5vpy0jZVtOV,73,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Ribs,2MvvoeRt8NcOXWESkxWn3g,Lorde,163tK9Wjr9P9DmM0AVK7lm,Pure Heroine,0rmhjUgoVa17LZuS8xWQ3v,68,not available
10,Girlfriend,5HbCnVLXRyZVxnreOPgJCK,Avril Lavigne,0p4nmQO2msCgU4IF37Wi3j,The Best Damn Thing,5dfbrFuG8lfC4Yi75J8NmK,12,not available
11,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,6LuN9FCkKOj5PcnpouEgny,American Teen,6kf46HbnYCZzP6rjvQHYzg,84,https://p.scdn.co/mp3-preview/6f984c9c6e43eccb00fefdce091212f08887258a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Polish Girl,5g3TDpgy1J1woAUVuj21EE,Neon Indian,0KydPQPUUoTNhmiHKOg5Er,Era Extraña,1S23RKAbHcn3AF2F7ns3sN,56,https://p.scdn.co/mp3-preview/356e9d416cc429bb47f480454c5cf62defc4f261?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,See You Again,0G71WvIkF2K6HViJeFvOcM,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Hannah Montana 2 / Meet Miley Cyrus,3BdqKi8c48NUvZ7ppk3wHV,57,not available
14,Your Best American Girl,172rW45GEnGoJUuWfm1drt,Mitski,2uYWxilOVlUdk4oV9DvwqK,Puberty 2,16i5KnBjWgUtwOO7sVMnJB,59,https://p.scdn.co/mp3-preview/9be3679be4314855260ca9010e4a6a73f74e4d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,4undIeGmofnAYKhnDclN1w,79,not available
16,Oxford Comma,2Ml0l8YWJLQhPrRDLpQaDM,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,7JcfNKXoHSaog85a1hd4lx,60,https://p.scdn.co/mp3-preview/4eff744f8eb466e0d27082132e9cef2895c747df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Feels Like We Only Go Backwards,0LtOwyZoSNZKJWHqjzADpW,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Lonerism,3C2MFZ2iHotUQOSBzdSvM7,75,not available
18,Redbone,3kxfsdsCpFgN412fpnW85Y,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"""Awaken, My Love!""",4xnq1L6P551Qcb9gBXNMK7,21,not available
19,Naive,2RUhtNBh43RtSg0WBPPq3m,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,Inside In / Inside Out,4MhInH4XT7ReDV5fCZjaSz,63,not available
