NPR Music's New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,34039,npr_music
1,Bleeding White,4JupJNxn2gzsCOKDaUHnqU,The Avett Brothers,196lKsA13K3keVXMDFK66q,Closer Than Together,0TlxSUyEa0YzcLrnXfqasZ,53,not available
2,Locked Up,73IEgQKzdaHtaHQFKiRTEP,The Avett Brothers,196lKsA13K3keVXMDFK66q,Closer Than Together,0TlxSUyEa0YzcLrnXfqasZ,49,not available
3,What It Is,5KUEcs3C38RfOdiDQNclTk,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,56,https://p.scdn.co/mp3-preview/e012427281401a0c1ba8c3f23e75b16f116ab0a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,New Love Cassette,4SsWVvNKAHJP1T2bP6d2ut,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,61,https://p.scdn.co/mp3-preview/d75ccf98fd8ce989406ebfbe149959fd10bd1ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Citizens,3vWA7q5FAbI3HYLrz25DtG,Wilco,2QoU3awHVdcHS8LrZEKvSM,Ode to Joy,0RR7qfOCOOHXbPAO1P3G5b,52,https://p.scdn.co/mp3-preview/97b29b10eea3e4ced7ff85c0784e7fbd28a85c05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Come Thru (with Usher),3TTMUI5dFcbeNSDTTDY9M8,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,75,not available
7,Fun Girl,78mXeWyY9ZEqOCkTl3nGfI,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,69,not available
8,Lost,0QrUw86ZKRgNGGgrvC5yC5,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,63,not available
9,Savage Nomad,08VqVNSBQNzYzRDNhEoOav,Danny Brown,7aA592KWirLsnfb5ulGWvU,uknowhatimsayin¿,4G3BRVsGEpWzUdplFJ1VBl,60,https://p.scdn.co/mp3-preview/197e7c70072fba7b73fe8ee8675f3e74f8b919b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
