Late Night Vibes [Chillhop / Ambient / Lofi Hip Hop],Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,100857,chillhopmusic
1,Chance Of Rain,0qe2gxtyYx8Xh37QR2lOBr,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Chance Of Rain,6rNH7ZoJ6K5Yz8fOPvbETE,32,https://p.scdn.co/mp3-preview/050bb042a1670ebda2e74cf9b73a108f614545b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,While You Sleep,6hv1AUktgRGpY6coub12NG,Late Era,6SRj6cRWRVlDvFB0gHHVkN,Memoir Collections I - Beginnings,538wzM7bIQT5TAuv79sHRU,66,https://p.scdn.co/mp3-preview/bfcf046fdbc08acefa921c2fe18468182fa34954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Oh Badu,5ielVeSFmgdmJeGex9J4lf,less.people,0QmdasntOdQpEwRd40wyp3,self reflection,1J9M3bgYSuSjy8d779gNuG,42,https://p.scdn.co/mp3-preview/91599e6b7ea01db198b859973099c18f8df58f9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Late Again,19RK6Ik6fMtgpoUvXs2jTM,Middle School,6AjXxPL8C44rc1yJdi6RZB,The Finish Line,5e5ZeUKvE0Iuqvw6XPa0Le,39,https://p.scdn.co/mp3-preview/37752f9060338365486fd0d15ab3dd8d6cf6ed00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Always Fading,3lIyeLRCrAuKCO7zi5gVho,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Always Fading,4AYLK2TME1dlnNq2d1tr5l,31,not available
6,Valentines Without You (Again),5T1zCW7au6gFUyflxdITew,Middle School,6AjXxPL8C44rc1yJdi6RZB,Valentines Without You (Again),4rilk6Uxw6HeteXFw0Ixce,30,https://p.scdn.co/mp3-preview/df04121d989d34a65f13e91abc6af2ec35158299?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Atoms,0aeZHxDchdwx3oRf0jMvxy,Andrew Stephen,0WV5PCjDIgKRginwqx99NT,In Your Atmosphere,1x3QHnxHi289vnwAChN4T7,25,https://p.scdn.co/mp3-preview/23767da9cbdf2a36f52cc411768e018c5796974e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Night Walk,3oyKL3bDTetiiTZANu6l3R,Kyle McEvoy,6rRqxCKHpl9C5Imf2uinft,Night Walk,7D5ILtH1tgmg0vg9DGw53n,49,https://p.scdn.co/mp3-preview/3865884ff8c5490ca088dc32f6ff56e7ba5fc0c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,meadow,0GfirXtoxdsOeudxrY2mkh,mommy,0DJoMHFNyxWdoGqi8XMdfk,Inaudible,6mOgPOHFf2JTZBqpIxBMBd,37,https://p.scdn.co/mp3-preview/c58b362aea9eef1992cfe0f394987af6a3657b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
