French Indie Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,192482,spotify_france
1,What Are You so Afraid Of,5NwyQFaZbL6w8SaFcPFDn8,Videoclub,3rp4f58JlRHkk8hpdLCer1,What Are You so Afraid Of,3MZSEI7ImutXhDjC7kS7T4,50,https://p.scdn.co/mp3-preview/62a0a7e2bff8341e3acaf00889c4e4c251ff7dbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Écoute Chérie,1zyUz3eZ3sytdaR9lfW17q,Vendredi sur Mer,0wuuYZFptujAsRthrdea2B,Premiers émois,3VCwYQFMhuSzcuQ1B33TNZ,53,https://p.scdn.co/mp3-preview/456d286485cf8628256b3071b4ac64173a9587a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ah bah d'accord,563Eth8vD7v0W0eytAjRI6,Juniore,1vxsourLLLfobrxyWAcuQH,Ah bah d'accord,6LXEuzn0ZqvFxhFEK0ARt8,45,https://p.scdn.co/mp3-preview/3e7d6e8ea45b7cd1741433ca5d427bc0a957023d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,White Lies,45lac7ljUIj66aAOVjRCwe,S+C+A+R+R,579T5fNgfbDetyamUTAetw,White Lies / What Do You Need?,5tMtIelh0FozyT0TB3tKAk,45,https://p.scdn.co/mp3-preview/c9d9ba203d7584916eab32c0c180417acf996c89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Prime of Your Life,02fMscVZ46N4l46yHZQkqT,Saint DX,4AHuSBzDte0ospEtW9rL18,Prime of Your Life,1HsFfl5EWqDX5cW5uerxdt,40,https://p.scdn.co/mp3-preview/7f5b5c74dc5d015d9d5514547116cd28025c74b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Imperfection,08HQangRGeCDnmxjlXB175,Elephanz,2CD8tl357w6zYA3XYuOJPO,Imperfection,0aTFBEgYhxBhj4GGcmi7Bq,54,https://p.scdn.co/mp3-preview/0ef17d777c6ef3e9d176fcc5c2be5ed71c25b989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,À l'affût,6E0jyRvFAeWlFvnGJSJN2f,MonteRosso,2jmgwssZmQ2Eq2ibRXkSA1,Aimants,5gCpyRmNUWTJXfC5q5aYPP,40,https://p.scdn.co/mp3-preview/97eee62ae3681d0f05129b505fde7517992e6b65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fragile,59mA0B0QAQxCgXSoFx4AZf,Miel De Montagne,2iGwIqfIXRskkGakunO9sf,Miel de Montagne,0IOiwcIywlRenbyorrUzJO,44,https://p.scdn.co/mp3-preview/77b02019376904ee5ef39939c6415b82b7f03198?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Edelweiss,12NG9pyCWHHVU6qqi2eeY8,The Rodeo,66g3ybCzTYusaxjoARIBEw,Edelweiss,2QoIKHk0Jws9zK6KxfwtfU,38,https://p.scdn.co/mp3-preview/00950051920d5d106917f4aafe3825ccd56f1d35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Addicted To Joy,6GeL3xpwOQ3wJu5qLMQJQc,Naive New Beaters,0xW1QQBD5O09HptO2fEaI4,Addicted To Joy,5gaIsDft0N9SndZihl8cd0,42,not available
11,Trop vite - Version single,6CTpcnesbiKz2ZaqaYFnrE,Izïa,6T08mUIMB32dtqq5ryxQZ3,Trop vite,0LazgOCpkmxWQF0dBVnA1B,49,not available
12,Mon désir,639Tb5Jo1RF0jPkfKZxkzJ,Octavio Mai,6ZXmURSoCG0PwYiubsaqoG,La nuit reviendra - EP,6swgKDfVmwHbI6STDHbaKT,37,https://p.scdn.co/mp3-preview/b552514bbb921fb5d9a950e77a80a0447807b8b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Feu rouge,314LZAYaJXobwhsUapt0nJ,Pépite,0oA0cg7ajEwV0EXKCAlQ63,Virages,3crUeoNMVNSugoQe0S0NtV,47,https://p.scdn.co/mp3-preview/7c3df55a1e70933e55bad9a5e71d6bce27b6a02d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
