French Touch All-Star,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,264759,spotify_france
1,Music Sounds Better With You - Radio Edit,1mv4lh1rW1K6xhxhJmEezy,Stardust,2w7IutHv5g4e8LumrwtjWR,Music Sounds Better With You,7Kusf5plZjl76X5ARWJbNO,65,https://p.scdn.co/mp3-preview/90f925424294d179199cac8cd35228061e2c5fdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cassius 1999 (Radio Edit),4CHGyhVoq5AVpG47klsVrL,Cassius,4sf3QZW8a3xZ14IGsOAzoy,1999 (Deluxe Edition),2HKgnzlGIJddpRwDlxit43,51,https://p.scdn.co/mp3-preview/0951ce5c7282cf9ea9f9638bb9f505fc2a2b43c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You Are My High,4HUMMFH06dIfzUG2ht1BJN,Demon,4LiDDSfUo671okhAa6OSHY,Midnight Funk,3QiAIhmPhyyTWhFoqXexat,49,https://p.scdn.co/mp3-preview/157964a19429e637f89e1477b0340ff6738a6d92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Sound of Violence,0mJXMlZntHgMGKUyrPkMcp,Cassius,4sf3QZW8a3xZ14IGsOAzoy,Au Rêve (Deluxe Edition),5At8zb3djitRXkrKQ8Wo97,44,https://p.scdn.co/mp3-preview/c3774a1c7a66b517512bcddfab345dc45d0e4af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Midnight City,6GyFP1nfCDB8lbD2bG0Hq9,M83,63MQldklfxkjYDoUE4Tppz,"Hurry up, We're Dreaming",6EB14IXV5oyOiItGBv7mtG,74,https://p.scdn.co/mp3-preview/02908bccf4315244e40852d1ef4725c052106edf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Embody,037kphlOPmjJmefgXl2FS4,SebastiAn,5tOWIviwLM1EIqGAbF8VSU,Total,5WXzljd68vlJL83jHUFcCo,46,https://p.scdn.co/mp3-preview/b9596fba22432b3c4def7bccfe2a28cbd6d1993a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,D.A.N.C.E,33yAEqzKXexYM3WlOYtTfQ,Justice,1gR0gsQYfi6joyO1dlp76N,Justice,4GGazqHvuKwxBjWLFaJkDL,68,https://p.scdn.co/mp3-preview/49f75305315925159a3eb9c9883f009a0b6d4267?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,If I Ever Feel Better,1Rcv4ZShoftlDh5dZ3JUVf,Phoenix,1xU878Z1QtBldR7ru9owdU,if i ever feel better,0LCOGmBBXonkoUQyoH7w0j,42,https://p.scdn.co/mp3-preview/45feaa94c6d1464026690757ae457df4839036c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Flat Beat - Radio Edit,5UJS6tW0EvYT1lsPOb07Jc,Mr. Oizo,0b9ukmbg0MO5eMlorcgOwz,Flat Beat,26ac4Qu0zXl9S5qP4vV0Rk,46,https://p.scdn.co/mp3-preview/e07f63643db99a54d354d5185f9d89fb91daac27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
