Top of the Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,129606,spotify_france
1,The Runner,0AWYvdcS6N463VlsbrzijH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,7CwnnH6mZCAKwKLgwrLWRU,66,https://p.scdn.co/mp3-preview/c5d8e1f2a045d2e5917e4eab92352a31852aa399?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Summer Is a Curse,0cSNN4fgW1RFDQV58eVRKK,The Faim,6VsU92soWFLtVsSP65rkrN,Summer Is a Curse,1yQQOHHAxZAc1sI5K4sHrJ,67,https://p.scdn.co/mp3-preview/9362178f7985e3430aecab91583fd5f853243ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,66,not available
4,BLOW (with Chris Stapleton & Bruno Mars),6EbduYTr62sSzvl36wWiFM,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,BLOW (with Chris Stapleton & Bruno Mars),4uoEruXjt0APvHaSqrwqPH,73,https://p.scdn.co/mp3-preview/8acd45964c8ca84fd08928b1952a6996a493ae4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Disappointed,2SL5Pl0apOvmKPxEC4SRQY,Last Train,4S47feOS2ATuhc7Ao5ilfG,Disappointed,0MhPaOWZOs6lJ4Gy1ALVYq,39,not available
6,Darkside,6GGpso9iwdxajUMNRlPAm5,blink-182,6FBDaR13swtiWwGhX1WQsP,Darkside,4ZkVdtYgr99rWfRs0fNO4D,60,not available
7,Shockwave,2UnqgtIfVMfZOvCDGZuUMI,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Shockwave,7hK48vJsNdxAT9hLwpWsAd,63,https://p.scdn.co/mp3-preview/2cae3e9f01697236625d55683c89f6c16bd93f29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Come Around,6Mf8ozEDo35UcgKgKajrBY,Papa Roach,4RddZ3iHvSpGV4dvATac9X,Who Do You Trust?,4o6vvGb6VGYz725fP45kAx,62,https://p.scdn.co/mp3-preview/cb98bed80e36e6ebfec46a3605213585b16e5850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Miracle Pill,7Az7CZGlPdRMq8E4rfOAS3,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,Miracle Pill,6YkjHyoVbR8Qx9STl3veBl,59,https://p.scdn.co/mp3-preview/10d4de87e78f64958d454f8a880623bdcd5e3c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Pick Your Poison,2oXl8o2g4iPAEZL1YbmYVH,Black Pistol Fire,0Nrwy16xCPXG8AwkMbcVvo,Pick Your Poison,7DVKYtrPILCQxbUgP7EJ0a,53,https://p.scdn.co/mp3-preview/94dd313cc4b42320838064888b7de2fdabb38b78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Stay,0L9hT0pfJDBdtg7AAaw5eQ,The Score,2q3GG88dVwuQPF4FmySr9I,Stay,66be16N5NifO81LjK0caj3,52,not available
12,The Rush,0GY2MWZBsPjHJetTPAacuG,JJ Wilde,1pLZeUSXJwVVJSPhmBSwf6,"Wilde Eyes, Steady Hands",4PNTQIrZzdj2FJEVzyrxTP,50,https://p.scdn.co/mp3-preview/b8e50621765b30b4a33fa39c8ff453088262dcf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,History of Violence,1aML2CdNXjkJJvIhzqN6Ka,Theory of a Deadman,74eX4C98E4FCrAMl39qRsJ,History of Violence,3Pe76n9u3N2DlLHgiEA13G,60,https://p.scdn.co/mp3-preview/c06fcafb8701ac8aaae8e6c9cda7317dfc9de0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,16,2wGfZBcArmMVrd4iUEDuF3,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,16,2fyUUI6qFR57zGMRX84EB0,68,https://p.scdn.co/mp3-preview/65e93ff2946269e5d1647d56e76a25c255275914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Out For Blood,4x241uAmPrxKZdCZKt2r5t,Sum 41,0qT79UgT5tY4yudH9VfsdT,Out For Blood,1HpntKICUDQq2auvGXclE4,62,https://p.scdn.co/mp3-preview/29e718305d81bd19c4c0429b1f593f21c8f02b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Sober,0cqXXyYVBPinGEDkTN1CFx,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,Sober,0NIv1Jyc6rRo0QoAINeT3v,60,https://p.scdn.co/mp3-preview/2804ad27e114036f949d9b0c43c30cc6d70eacdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Boneshaker,1fvmljBBL2lsyewZBKYj93,Airbourne,6urzdpGY5yUimWZsgJUoTb,Boneshaker,0qluDo8WVqgdZ4aSm1dm3T,55,not available
18,Oh No!!!,5iN7u2S31T8Mu5LC5JaCxO,grandson,4ZgQDCtRqZlhLswVS6MHN4,Oh No!!! / Rock Bottom,5o45LGmkLHsW07jhD3GCz9,58,not available
19,Freaking Out,5DKjRqVLXvuS11SvOo7vFg,The Wrecks,458aS6ALc3QkzwfR5USt34,Freaking Out,5gDkphdmmgfPtELUSCqShR,48,https://p.scdn.co/mp3-preview/f5db964a8bd0c35f4808de1745e95226ff0a80ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Hope For The Underrated Youth,6AYD3ztnzQhAJQ3SOWwqtP,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,Hope For The Underrated Youth,486SJxMPXQrwatQ4S1cU8G,71,not available
21,Shine A Little Light,365TSrFPqM66giaxJuafR3,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,"""Let's Rock""",0aA9rYw8PEv9G7tVIJ9dKg,66,https://p.scdn.co/mp3-preview/7fb7f9f4bc8bf7fb2d24022688cbc51afdc183fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
