Standards de la Chanson Française,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,La vie en rose,4FmiciU3ZmfgABlbCSXcWw,Édith Piaf,1WPcVNert9hn7mHsPKDn7j,de l'accordeoniste a milord,7l3ydaHRFTcEGM0D9rlfqS,60,https://p.scdn.co/mp3-preview/ac438f868a89c8d849e7bb23ac3f3ae4e13183fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Mamy Blue,0P63efIEcuG9zKYzBff6gQ,Nicoletta,1XspV6teuaJMwVq0QBXZA0,Les Plus Grands Succes,0R9eQ7VFLVuTgm8L7v2aoA,40,not available
28,Douce France,1YwQo6MrcSn0RQfnk0iG8D,Charles Trenet,4a16JEaHldo5vZuRojtGTZ,Platinum,4WDKGsDi7616S6Egs0quLq,7,not available
29,"Poupée de cire, poupée de son",1OJcI2EzUidsTVl532wkWN,France Gall,22HVxZPA6UhBp8wahxDA6I,France Gall CD Story,31UwyKsz2yvAEUf98XD5Xb,48,not available
30,Lady Lay,1qB3PKYW5muVtgi5OEA68t,Pierre Groscolas,3RAqlLiVsYkndio9mey84r,Les Plus Grands Tubes 70's,5p9k85pZ6CRxssmNuNZm6c,45,not available
31,Armstrong,2tBJhIMLX1bDjlaE8sSb4Y,Claude Nougaro,115Iq0OjPxUUyWOIiF2pIR,Best Of,0ghJEu8n6iOLO5dzHxOBN5,47,not available
32,Tous les garçons et les filles - Slow,0Yg1hSAUgd2AAneReFOVzS,Françoise Hardy,7x3f7c0fBanNlQwpx1255g,Tous les garçons et les filles,0TcP4beTgxQmREuHJ7BBY2,56,https://p.scdn.co/mp3-preview/aa6ef422269a2f12490c3024b97abef9c72ef083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Aimer à perdre la raison,5okI57GiUG0innS360o2bH,Jean Ferrat,4GAdDePOvBsOl3n3nVHWpt,Ferrat Chante Aragon: L'intégrale,1zRWFeLiYxPW48gefbBpV5,38,https://p.scdn.co/mp3-preview/18bc388eed568af7f07f7a3ea147d1efad471235?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Et maintenant,5z3LJpwfI91bj3ogU8l0sk,Gilbert Bécaud,31GFatrHl2ijnS4ZAWA9s0,Edition 60e anniversaire,50RvSoNqk5x7zFROrImpIL,39,https://p.scdn.co/mp3-preview/27a6d677fce501c961febe3affbbf8bfe140ea87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Je suis venu te dire que je m'en vais,35arjnsPj4gLO8aFclgexb,Serge Gainsbourg,01C9OoXDvCKkGcf735Tcfo,Vu De L'Extérieur,352XdbgCcdCMStQtgVDX3X,5,not available
36,Chanson pour l'Auvergnat,4KN47jMjOFK5QY5NHL8TGE,Georges Brassens,5UWyW1PcEM8coxeqg3RIHr,Best Of 40 chansons,2PLglMBWIXjWckXd5ZgXXM,3,not available
