Lyricistes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,96258,spotify_france
1,XNXX,2bpe4mIntXNrleUkVvL7pu,Dinos,1QPdp5duV6lV4XINCzjwQ2,XNXX,7xnlPUEtsvKXnCckgvFSiq,57,not available
2,Seul,6HZ6l2DMhjgy30J6zLQWsR,313,29leSwIXuQmc0D8VkujVAB,Seul,6RFaA5ikl90w8ZKtPVAq5p,45,not available
3,Attila,1XxoY3UR0pRlKZ95LEv5gy,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,FLAG,5UVNJ6QyEjGLP2rBWO5oRI,47,not available
4,On le fait,0hkzNQghLoFVbApNxQzLZv,A2h,2ktpq7bp4m1quizyEmp4r1,Seulement l'amour (Réédition),0m9pCGv94EVIwcj5Ixxe5x,47,https://p.scdn.co/mp3-preview/7fe39bceca10d8a1140bb7ce046a789b074bca06?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Agression,3QZO73KTlEV7C6ZwABEjbC,Fadah,3Ynhr0fF9z2Iz5tQFxjE2O,Furieux,2aKSISgH05EwF2Dgd29wDM,28,https://p.scdn.co/mp3-preview/f113fa0b70fdd03adfd0fd016b232f8462d0c7d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Fame,0mgValTYuxAgLmKf1yULRB,Lefa,25yJrwrn5I0EUdQEiTtNSO,Fame,4o5Ygff5fWOKsnikZhj8He,57,https://p.scdn.co/mp3-preview/8ecd4e1dfa74e72155873f934cfa880c11d330cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,On a,6R6uZ8Bh0jLGcPWmPqrwSc,ARM,4I9lZHjWI8LqY8owHeFao4,On a,0gWo6bNgaxtlHtJRR4sQ4A,27,https://p.scdn.co/mp3-preview/ab62745fa9d8bcef9fced3c974fb40ccb528c59c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Partir loin,3Jn50ITWCvxYM5q5YiZKQx,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Partir loin,3lpTqyPYnVWGLuicfmNnBL,59,https://p.scdn.co/mp3-preview/3e11581cfc38678effb3f4128e758956d234a1d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,260,0SvQa4yLvfHSHCjtzAdOaU,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,Platinum,6oN9dQmUhn0rRMDC1fxvgO,53,https://p.scdn.co/mp3-preview/65aee3f5b67197deaa212f3e452e1bcd1500cdd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,VINGTBALAIS,107ulAYy8trLqr4G5jqRES,Jasem,1B5j0XtxRTmIU7cMtc4gyx,VINGTBALAIS,3VL65kk5Uh110ZtUMiLeWz,29,https://p.scdn.co/mp3-preview/af92a89f37d044640c8ed4f3f6b4d5e0b7f937af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Relations,5LXELovh5URwmbq2MAnkOi,Lonepsi,5iu7PzNW2d8xKOE8IsXgef,Relations,1L6rB13l1V82HtRnZH5DKq,54,https://p.scdn.co/mp3-preview/10151a29309ad7af5802763b2f5e2a121be9096a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
