Indie Station,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,dead girl in the pool.,5MAjVARSIDzwz8jFG36hFu,girl in red,3uwAm6vQy7kWPS2bciKWx9,dead girl in the pool.,52BIjApb3xOtj4e1SL6bVN,65,https://p.scdn.co/mp3-preview/e5ce5865d64765e35988e9526585b5a22a5ed5e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Forgotten Eyes,6N1ngx4OdhaksnPwMXKUFe,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Forgotten Eyes,1aQWvziTqtpK4nJ3Dmnecy,55,https://p.scdn.co/mp3-preview/1d2dbde81661befe84381769cd30457be01bc412?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The Game,64kY8ox52wBR7sWI3pcNwj,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,4o8zheBB9DDkWKjUIEfGNe,54,not available
27,Divine,1inPW4zoPlwfPaSRinhcaT,All Tvvins,7F0pUx0AO9CXaNbCoxbbNX,Divine,7LBdk7OFBBHbrwL8BQZg0f,46,https://p.scdn.co/mp3-preview/efa288b2d669e62a55c87b8d33f98bd319a5d804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Flesh and Blood,2KTJVSyWl3HzUnKFDHJm2S,Half Moon Run,3ceQN2NVlLg1hgTzljDE4n,Flesh and Blood,21A1mTXZv6KgP7ar2RX4NQ,48,not available
29,Someday Baby,3X5ttIkuVuJFAwVuaEEBP7,Sage,5dDQASlR9FyeP4VO0jw35F,Mon inconnue (Bande originale du film),2Q1cbD2eDjRtkivrvxx3A8,41,https://p.scdn.co/mp3-preview/2c93aa6fc07928e4f8a0d528645f95799e0be51d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Lately,2eozBltJ8YldbOryyWzSFc,Metronomy,54QMjE4toDfiCryzYWCpXX,Lately,5jGDLc4GRBOwSW4RsFySNl,55,not available
31,More,3wACqF2VNhmiUMwXn7U13j,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,More,6PpFASXIMxwhBs17Og4NBX,55,https://p.scdn.co/mp3-preview/3028197cd6a0a971bbcf240942e29d0f9a960538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Missing Home,29j2Y1N3vpyvm385G4TFSS,flora cash,6GpcBKNmZDIrRzYkPJu7Wd,Missing Home,7mb7CpPeL9DJCQGAEIbkHS,63,https://p.scdn.co/mp3-preview/1644b4a1a658681d3c9b3966ab581629134f50f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Blankenship,2zzpa4MjaTFEAveQL64aYT,DIIV,4OrizGCKhOrW6iDDJHN9xd,Blankenship,3jk7rwdXGIbwLYhNTgEPyu,54,https://p.scdn.co/mp3-preview/93ae971865b312f14d5b46b85fc75074d0daa1f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,A Way Out,4ob7EFju1WyQZgHf976WqX,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV,A Way Out,542p3Lkv6W09EeV1wMt5J9,40,https://p.scdn.co/mp3-preview/6ad1b7c1a6c2ee6924273487a91d7701f91c67da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,So Good Looking,0I0onONP8E5RG8oxpWoGIY,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,So Good Looking,1ARM5SvfZKZeuww6C2gim1,61,https://p.scdn.co/mp3-preview/1d910c37b704ebf2d33c004fed11cd639453e925?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Ocean,63GORU4u0r4goj11Npvint,Pablo Alfaya,5v7l25gR3hlSPtAWclblGu,Ocean,6sOmvWBD4feIkUmGLjdG9O,36,https://p.scdn.co/mp3-preview/8fa24ab6787b5a23d2dba6ac85712df27883bcf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Are You Bored Yet? (feat. Clairo),1yY9uOKV3A9pPedzTfvbg1,Wallows,0NIPkIjTV8mB795yEIiPYL,Are You Bored Yet? (feat. Clairo),6TmYayLFvDWXdniWHfPXkE,12,not available
38,You Ain't The Problem,0QDe6nlExlt3AM1NHTh4nn,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,You Ain't The Problem,6J37CAUxNhrqlX9iuSzVVR,63,not available
39,Once - Radio Edit,2ejWngctDbSpkS2p4f2CNq,I Me Mine,49Aanvac9LY0no4ysTsYvw,Once (Radio Edit),5buI1L7jZvn7Fy49faJUSH,32,https://p.scdn.co/mp3-preview/30245f199b82fb69d0537fe1f2e2a7b59f1ac328?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Hunger,7AaSbMyCeUxcGsvCmzmfEJ,Bat For Lashes,6l77PmL5iuEEcYjGl8K6s7,The Hunger,12VmOUL6Ja2xjWQljhi1X9,47,https://p.scdn.co/mp3-preview/282db17fb805527474d37edf12fd88f3dd744246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Spell - Edit,3ZSCrLcWCsUbldyHS87zTG,Hot Chip,37uLId6Z5ZXCx19vuruvv5,A Bath Full of Ecstasy,6lkUImwpLYQnkiygVaMoAJ,53,https://p.scdn.co/mp3-preview/8fc0c9830abd68c34dda574e47d218899012513f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,When Am I Gonna Lose You,5wCVLW9qMtIY9IkBeyYnh6,Local Natives,75dQReiBOHN37fQgWQrIAJ,Violet Street,0ORZb7kyr8aaP2LpL3mhuY,70,not available
43,Turn The Light,0167rjkh1i0R2vM8H8qu00,Karen O,6emHCSoB4tJxTVXakbrpPz,Turn The Light,56H9Xp1X7QENnDuAMp5VU2,44,https://p.scdn.co/mp3-preview/68939cef55ffe15584921e5314f6fd148997d863?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Gretel,36zqSzaPzQWZYDCNm1klgY,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,House of Sugar,2kCDZ3gCr5hXFgbFsPMcxP,57,https://p.scdn.co/mp3-preview/11801b94574caea33f40d44fcba158a33ca05481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Dirty Air,2XBcbELp9GyzFfEdNFpcpk,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Dirty Air,4aJSpKresEm4EVdy8J0OmP,47,https://p.scdn.co/mp3-preview/9601ba67aa89a616dded1312faad064c73bff147?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Zero Summer,6chlcIvs0TU1hczL0lZceb,One True Pairing,5Ijj1CZ7i0VFZ6Ghrmij2K,One True Pairing,6Av7M70YOAZtzobiLgG67H,33,https://p.scdn.co/mp3-preview/246bdcb24549ae367dec2b511dedae6d1690fba2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Elvis,7DYSMXzMaHMTIfUm21SN4s,Talisco,0ZR3khgseh3xy3s8iBYWrI,Elvis,67dLz2xGDTPGmOOd8rLuCm,50,https://p.scdn.co/mp3-preview/e82065e8b5aff281dc2abff352f18b5540a0bf27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Waiting For Your Love,6RY8937sT5RRsg6RhCLHpx,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,Waiting For Your Love / Complainer / 4th of July,3dWEcM19QGna19OlHepl4Q,58,https://p.scdn.co/mp3-preview/31c5331a3d84cd11ef8a24d7eef00c74a2e13601?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,10/10,0tByDZgQzoNfFFmpgleB0s,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,10/10,1dIQCUmv1flCLWByivrbxQ,76,https://p.scdn.co/mp3-preview/c4c347185ae8a5646fb7ab3f8b17a9f34a18d248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Pills,3uv9BS9PNubCZtM0mCLtgs,Love Fame Tragedy,04Ye3owBSFJF5hnYWHtq9Q,"I Don't Want To Play The Victim, But I'm Really Good At It",2E8f8Dz7kvzo8cBmzMMZxM,52,https://p.scdn.co/mp3-preview/8941a4072e76a54058486f89d65b696b5b809fe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
