Dancefloor Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,65218,spotify_france
1,Music Sounds Better With You - Radio Edit,1mv4lh1rW1K6xhxhJmEezy,Stardust,2w7IutHv5g4e8LumrwtjWR,Music Sounds Better With You,7Kusf5plZjl76X5ARWJbNO,65,https://p.scdn.co/mp3-preview/90f925424294d179199cac8cd35228061e2c5fdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Freed From Desire,3u5N55tHf7hXATSQrjBh2q,Gala,3OqTvcWgb0xaainosGVvuZ,Come Into My Life (The Album),3vcwGUl0WiJVssOR1dXEbe,71,https://p.scdn.co/mp3-preview/7d8eb17dd92596a0ececbe055d1defa72499bd67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I Follow Rivers - The Magician Remix,6UAgnw2w3AVwLg1p7sE7v4,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,Wounded Rhymes,2eEnzl61veDi3zQylslIap,60,https://p.scdn.co/mp3-preview/0c6e2d9b741146f2f24982a0a5cfb9c2086ed136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Push The Feeling On - Mk Dub Revisited Edit,5cqz21gHUmfNgUY0JNzO3G,Nightcrawlers,1gALaWbNDnwS2ECV09sn2A,Push The Feeling On,4BshRbs6nRZLaYTw6bpm2o,7,not available
5,Tell Me Why - Radio Edit,09ouJVawz1vpR6xBzE1YoH,Supermode,7urnl0uH1w3NCoErxw7AUK,Tell Me Why (Remixes),4saYMVPzI4LhRr6iOJjWxL,47,https://p.scdn.co/mp3-preview/a956926e187fe00c525eedcf5c545d77b8e9f201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Cream - Radio Edit,30jfUVpU8VomfI3VNEi45W,Federico Franchi,3hR8ERMvJ5ZeXp1S6nBwvy,Cream,6b8sUgm8ABesiMqJQpF2vO,36,not available
7,Starlight (Radio Edit),4UfupbARPxljVkBmuZlJnY,The Supermen Lovers,08dJ0NJ9jMf8qdLmdhQ2yA,Starlight - EP,3UO75WLhEfcx45md7M3bBX,62,https://p.scdn.co/mp3-preview/55aa614d8b5de57221e17b8cac03e5879911c5ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lola's Theme Recut,5l1RaiuYKyZu54clACy05X,The Shapeshifters,60FV7KyxIH9FH1uq7u8inP,Lola's Theme Recut,76PNfY6YXPVlvCVrOH7NAL,39,https://p.scdn.co/mp3-preview/7105ea33e4898baa5ab2a27792eee46137169bf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Weekend - Radio Edit,4c2wdAMuL7KkGVeyRqmYQu,Michael Gray,2aM5jpQ0WTcQDeHsil8Ihz,The Weekend,1XZgd0Eg278X2wZh2b9bOF,43,https://p.scdn.co/mp3-preview/284f92eea20a85bebf625feda8a4aa024942f0a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Pjanoo - Radio Edit,0F2BxpbxH8Yc3pLub48hrb,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Pjanoo,7zlMxh1NR0Shklu48L4e7x,66,https://p.scdn.co/mp3-preview/a6cdf8dc3b5a2ce5d972ce4a95c645ae95deae81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,You Are My High,4uLfmvbkAby7yiwTdAw5Vj,Demon,4LiDDSfUo671okhAa6OSHY,You Are My High - EP,3sKO6OWLBzJkNyfeSIKcg0,38,https://p.scdn.co/mp3-preview/2a1f10e9673d7b91d1aac6468ed600cc7867e79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lucky Star,5EMwg8P4A3Qj7BPtau1Mn0,Superfunk,1CbopBMbfM0ned5OAsTkv4,Hold Up (Remastered),6P9Y3V5y09D0577sYb0ZjR,49,https://p.scdn.co/mp3-preview/1ffa73c393cb2d13158dc9d15fe932efb6f2e4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Four to the Floor - Thin White Duke Mix; Short Version,0Hx249i8UGY4cWLjmo1eIH,Starsailor,0G8zjE6SsFTlbglCkU8pm3,Four To The Floor,6UXbFDhwOmwxVBFJPC0L3x,55,https://p.scdn.co/mp3-preview/70374bc6d27a625bea844f4eb9f00efb7bf29678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Infinity 2008 - Klaas Vocal Edit,3aQz0z86zrKjd1mcZlonxE,Guru Josh Project,4ME85YvMUi1hdqhbind7gy,Infinity 2008,1uyF93NDsuRn4LqZIl3lyY,68,https://p.scdn.co/mp3-preview/9da076eb20507c0624c80954ee8d7788599f79df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Word Hold on (Children of the Sky) [Radio Edit],1c0zagykmGPDYuxJeDqZhJ,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Word Hold on (Children of the Sky) [Radio Edit],5NeL55BkApry2hAFHImIhF,64,https://p.scdn.co/mp3-preview/962c579694e558bdb3d8f945143ffe3c9255f3ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Sing Hallelujah!,1ohbjkuczl6hEoYEo931PH,Dr. Alban,6BkcAbUkfIBM4XudxieMq8,One Love (2nd Edition),5YPI9qfm2uuMxlq4CEUOFu,46,not available
17,No Stress,3AMExQQyUUBr9e6WftMVCp,Laurent Wolf,0U2M5hyVn2T78XKlRHJFcn,Wash My World,096zju7jYYYpvaimFPiPrT,34,https://p.scdn.co/mp3-preview/02966a1a821e6f7c3a2db7ceedbd5f89e193fd26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Another Chance - Radio Edit,0EvphKjVl4hVGvvAFYoJt1,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Dance Floor Anthems,7yhnBLWv6EZ5BRY8oYLdYC,59,https://p.scdn.co/mp3-preview/e4fe82db9241ef04a792bd58e20f853d9403df01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Levels - Radio Edit,0JhKJg5ejeQ8jq89UQtnw8,Avicii,1vCWHaC5f2uS3yhpwWbIA6,Levels,4mkvtXQd6rD7zuAHhexEvb,23,not available
20,Give It Up,51hFuz0vN2FWCaxwRMPqaA,The Good Men,6i3dwduFX5pMgkijTVRvmX,Give It Up,7iLCdMvKh70DgMELSxTMcF,38,https://p.scdn.co/mp3-preview/0a928d3fd3b9c944d691b14b0ca47939eba54bf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Call on Me - Radio Mix,1xNcBAoUw8Hz6LqK2jt4Ff,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Call on Me (Radio Mix),7thKR3tw162CqNqIRdwZ3z,73,https://p.scdn.co/mp3-preview/1ebddc935c487dde01a4c10380cc4cd76a466ecd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),0vwDxngkhZuwNbcxzebCXI,68,https://p.scdn.co/mp3-preview/70879783cc51d0acd3724e3df8c22b53491d57c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Turn On The Music - Axwell Radio Edit,3qN7k8fKNGywNWQJW17I3G,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Turn On The Music,632c0Wm7gCUIiYUimXzQHX,34,https://p.scdn.co/mp3-preview/b5b03f686d7e4be012c8c53b6aec6ef423d88f9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Love Don't Let Me Go (Walking Away),6YnRn7r3TnEZmAwT86vhih,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Love Don't Let Me Go (Walking Away),3Xr3qXhwqvsLwuQygwqYTY,32,https://p.scdn.co/mp3-preview/da6ee2e65a4f717730c32e7f106bd0a3524b95e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Better Off Alone,45e8T07myBjutIx2xh8Kq5,Alice DJ,2tbvDi9eXf9XXp06LupkED,Who Needs Guitars Anyway?,4hh4HKVYz1pVbT30pwWlI1,47,https://p.scdn.co/mp3-preview/76797ac0f4194d1aae869a094690eced2597cc04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Outro lugar,3hl5B6GYsN4K5sjfQvx8JD,Salome de Bahia,6alPczkkZlUZwomoKjrtMc,Brasil,5KnTaowvR3YCd4RCs4EgtF,40,https://p.scdn.co/mp3-preview/442c8ac91d4d462fb3cf3f7f5dd731119954a36f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Show Me Love - Radio Edit,7xL1F0tk9Xz8bMJoJcZyaV,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,Show Me Love,1kvnktiEZMKlCpkJ3VFe0w,7,not available
28,Free - Mood II Swing Radio Edit,0dc6CJ6BsiKxyPvW4yABLo,Ultra Nate,1cK2Abwkni7m51wJCSGllN,Free,6TpwXfNBW8BSwCAuBDjJSN,61,https://p.scdn.co/mp3-preview/f31c5e6571324aac294c10a8bf60adac06f8e00f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Delirious (feat. Tara McDonald) - Radio Edit,0yl1LvI69CJrQlXJoYnU97,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Delirious (feat. Tara McDonald),2PQ0hJ46YJ02vvvca2ORp9,48,https://p.scdn.co/mp3-preview/4e39bb4475b6fe13a8d94e8d5908b44a4680a6d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Get Get Down - Radio Edit,5o9DZHMGopB2DoSSMTNzQR,Paul Johnson,4BqZuFqHJ8CLn3ig0f1m0G,Get Get Down,4FID9Q7vasOmiTmSQu4p1I,57,https://p.scdn.co/mp3-preview/d9bd0b02e8f1f67ad7bc20a0fce21760c0b83639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Pasilda - Knee Deep Mix,5ZYq4PAOce0Uu8Bx84Ft0K,Afro Medusa,6D1DgoF2TYTbPQbRPEriaI,Pasilda,2rwMv1F2ad5I05A0CojRpZ,6,https://p.scdn.co/mp3-preview/dfb9569fdc878e2bb4ccea432d7da4488a564057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Voices - Eric Prydz Remix,0VLTLD2ja6tvmdhATY99Qx,Steve Angello,4FqPRilb0Ja0TKG3RS3y4s,Voices,09Xt0CHdlakD8kIWI7RPqd,34,https://p.scdn.co/mp3-preview/b1ea38ecef86b66ed338be8890de82d50f845f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Can't Get Enough! - Vocal Club Mix,0qJDy1QsmmnZt343XTzxQd,Soulsearcher,37eRNhw77Tm4Ois5CezSvY,Can't Get Enough,6DZRjWOhvrKPhskYeCi2Jm,53,https://p.scdn.co/mp3-preview/991a43185b4bc178958bfcce041104137d374f16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Gym tonic - Original,4DgPcCPpxVN28ZOQBZBhu4,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Paradise,2ZHeCVucwVH7H3qC4abtTd,44,https://p.scdn.co/mp3-preview/b514742ae528a78e5fc4f0b678a87640baca3f57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,The Rhythm of the Night,0ofMkI3jzmGCElAOgOLeo3,Corona,26T6b8maqEVltcmE4kSDUl,The Rhythm of the Night,6rrPmmb2lQd5pNRL6HKBZx,69,https://p.scdn.co/mp3-preview/7b4d293b8e25bd860a4c12017647a900a75d8611?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,My My My,6gBvxdyFb3Dx3GLPuFNtAH,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,Nympho,1uMVJdDja65BhqoTKwbjlH,46,https://p.scdn.co/mp3-preview/e110cb1c17fc4886efc33384f24cca2fe6247c37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Meet Her At The Loveparade - Radio Edit,6ol8U7Aq2l6XaD0mwOURoO,Da Hool,0wOXK4GjUAFUDhd7mvKBbW,Meet Her At The Loveparade (Remixes),0bC2uzHDJ3nb5JFk9DC7C9,0,not available
38,Stereo Love - Radio Edit,1AguHaKOuggrVTebp7cZEI,Edward Maya,6XwwFnewNgWp81MYMK8zLq,Stereo Love,0tGht9KBhk71vOJCHZzhVk,63,https://p.scdn.co/mp3-preview/76f0bef27ec7986f93e1ef76bd5123409961d8bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cassius 99 remix (Radio edit),5NL6WBPlPDfEaJXUDDv7e5,Cassius,4sf3QZW8a3xZ14IGsOAzoy,1999,0hbGOLBd2yz1biUze5qVVW,2,not available
40,Gypsy Woman (She's Homeless) - Radio Edit,4UJ1AKSbXAbPlPVFe66wK7,Crystal Waters,2sd9Q3r0Jhqpe3w9WVuG43,Music For Girls Night Out,0qiop0l73dDZfXckujBG7k,60,not available
41,Put Your Hands Up For Detroit,2T1Xemp92qxuUCAFBWfRrj,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,Put Your Hands Up For Detroit,5NaES6denS6wM2M2zV1YkR,59,https://p.scdn.co/mp3-preview/90e692887bf9764752e70afafea353927b9733df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Vous êtes fous - Techno version,1bpD8ZWvP7XYI3DHVSPLJv,Benny B,5UH09fEGItBT1759YMWeCI,Vous êtes fous ! (feat. Daddy K),2SHdt4EdgFUbAELM7SiQTc,35,https://p.scdn.co/mp3-preview/99287915476d54651c02a7106c0844073661be33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
