Electro Chill,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Wild,2ssDiLvEwzThX6MNstpdaf,The Avener,0e6qzpphJHtObTSwD75mi0,Wild,1ySxLRePAUFGXbOpu05GOg,58,not available
22,The Only Difference (feat. Justin Nozuka) - Bakermat Rework,3dvD6Ix4Oj2aG3HSr0kkG3,Beatchild,4k7KKAyXbpBKe0iziD7c2P,The Only Difference (feat. Justin Nozuka) [Bakermat Rework],6fUMmh6zLOp5hkAGYvJosB,54,https://p.scdn.co/mp3-preview/3cf9c985bc8515db79932f4ac9575f88fdce6338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,All Your Days,0mp6WVhgI5FF6DGtYcyBNm,Shallou,7C3Cbtr2PkH2l4tOGhtCsk,All Your Days,5VBNYd2VnQz9g51247TQ2v,62,https://p.scdn.co/mp3-preview/1eb11128221fc14440be3f21fb9f310da417947e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,You're Not Alone - 10am Mix,7AHW6VnJc5B9B1EKw5x9b0,Spada,2hPCF7VDHhihvNdobslOHw,You're Not Alone (10am Mix),3FlIVfbMN19y4X4DacIWsE,50,https://p.scdn.co/mp3-preview/68710533e97b1531a8a7a7a16d4fa22defb2460e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Stumble,0WuY3LtwPXuAX5FJeZrYwt,Kraak & Smaak,7c5qu1gNlg8jWDzzmlp89O,Juicy Fruit,11iALnEnEAb4MX7nhgPB0t,42,https://p.scdn.co/mp3-preview/ef806e8bbe0344512d1d3b87d66ee597511135a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Noir,04UhmoQBsMmFjQ6nORSipG,QQUN,6YT6wIufKUelDFn9fPwDaa,Noir,44Gfn6sq0HaifBxlTNo4cd,53,https://p.scdn.co/mp3-preview/be6a1f97c072d27ab74674981efae17ba6ac41d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Ocean,2RVHcCb9HnL0fP4jkMGebQ,Ehrling,5wo7dlNLNdFmaaU7NTtdoT,Sax Art,6xjL5Ql2bA3oKnPDFa41sI,57,https://p.scdn.co/mp3-preview/eb2b8bc48ccc6ca9630b155460fa3a839b469ab0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Recognise,510UgVCpnUaQ5ACHW2J8gu,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Recognise,03qoJ4Ioczrn4dBFrKRHxU,66,https://p.scdn.co/mp3-preview/a04dce028fe7b3bb76e471c0b813b2d2cbc377f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,We Were Young - Robotaki Remix,7G8esqtJKX74x7Cv6SqF5n,Petit Biscuit,6gK1Uct5FEdaUWRWpU4Cl2,We Were Young (Remixes),7rwVFjZqWnkz1FSafuCe18,55,https://p.scdn.co/mp3-preview/e709adfc6233cdcccf570444dee505dab42cae50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Want You (feat. Carla Katz),0m8bHSPFRFu4UACOSPo8Yu,Boris Way,6B4RvAzPbZcxMjhZvFSDis,Want You (feat. Carla Katz),3UWKctS1f4gu5TXnMWOEjH,51,https://p.scdn.co/mp3-preview/7ae507ee304311dbe4cd373856f06cea19feb7e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
